date,JWN
2016-06-29,28.9505196142
2016-06-30,29.0881244077
2016-07-01,29.2257292012
2016-07-05,28.6370864734
2016-07-06,29.3021763087
2016-07-07,29.9290425903
2016-07-08,30.8234737482
2016-07-11,31.3127352362
2016-07-12,31.8172861458
2016-07-13,31.4197611867
2016-07-14,31.2439328395
2016-07-15,31.0681044922
2016-07-18,31.4274058975
2016-07-19,30.9304996987
2016-07-20,31.4962082942
2016-07-21,31.5267871373
2016-07-22,31.2362881287
2016-07-25,32.6734937499
2016-07-26,33.5832143293
2016-07-27,32.7040725929
2016-07-28,33.0786634197
2016-07-29,33.8125556518
2016-08-01,33.437964825
2016-08-02,31.1445515997
2016-08-03,31.809641435
2016-08-04,32.1077851543
2016-08-05,33.2927153207
2016-08-08,34.2253700324
2016-08-09,33.2697811885
2016-08-10,33.8125556518
2016-08-11,36.3582443319
2016-08-12,39.2785238388
2016-08-15,40.4863881375
2016-08-16,40.2570468149
2016-08-17,39.5537334258
2016-08-18,39.8060088806
2016-08-19,40.2417573934
2016-08-22,39.8595218559
2016-08-23,40.4328751622
2016-08-24,39.9741925171
2016-08-25,39.6989829301
2016-08-26,39.46799583
2016-08-29,40.3842446603
2016-08-30,39.6142876601
2016-08-31,38.8520302299
2016-09-01,39.29090572
2016-09-02,39.9376696002
2016-09-06,38.5132491498
2016-09-07,39.2447083
2016-09-08,38.5517469998
2016-09-09,38.2668629097
2016-09-12,38.7288371099
2016-09-13,37.8587856996
2016-09-14,38.0435753797
2016-09-15,39.8067769101
2016-09-16,39.48339497
2016-09-19,38.9829229199
2016-09-20,38.3130603298
2016-09-21,39.321704
2016-09-22,38.8751289399
2016-09-23,39.7066825001
2016-09-26,39.6527855101
2016-09-27,39.8144764801
2016-09-28,39.8683734701
2016-09-29,39.6373863701
2016-09-30,39.9453691702
2016-10-03,39.35250228
2016-10-04,39.7682790601
2016-10-05,40.8077210104
2016-10-06,41.5314805906
2016-10-07,42.2167423207
2016-10-10,41.7855664006
2016-10-11,41.6854719906
2016-10-12,41.9934547907
2016-10-13,41.3312917705
2016-10-14,41.2927939205
2016-10-17,41.0156094004
2016-10-18,41.0156094004
2016-10-19,41.1388025205
2016-10-20,40.8924162804
2016-10-21,41.6777724206
2016-10-24,42.1859440407
2016-10-25,41.6854719906
2016-10-26,41.6007767206
2016-10-27,40.4227425103
2016-10-28,40.5767339103
2016-10-31,40.0377640102
2016-11-01,39.16001303
2016-11-02,39.22160959
2016-11-03,38.6595409798
2016-11-04,38.7981332399
2016-11-07,39.8991717502
2016-11-08,40.0762618602
2016-11-09,40.2610515402
2016-11-10,43.140690721
2016-11-11,45.2118750515
2016-11-14,45.8509393617
2016-11-15,44.8884931114
2016-11-16,44.8884931114
2016-11-17,45.0424845115
2016-11-18,45.3812655916
2016-11-21,44.4496176213
2016-11-22,44.5805103113
2016-11-23,45.3504673115
2016-11-25,44.8235867755
2016-11-28,43.436651247
2016-11-29,43.6613502991
2016-11-30,43.3281758425
2016-12-01,43.4211547606
2016-12-02,43.8085669194
2016-12-05,44.3199509691
2016-12-06,44.3664404281
2016-12-07,46.5591932471
2016-12-08,47.6439472918
2016-12-09,47.0705772967
2016-12-12,45.2574883934
2016-12-13,45.2109989344
2016-12-14,44.1804825919
2016-12-15,42.8322882792
2016-12-16,39.1131315545
2016-12-19,39.3920683089
2016-12-20,40.1126549243
2016-12-21,39.6787533064
2016-12-22,37.377525083
2016-12-23,37.772685485
2016-12-27,37.9353985917
2016-12-28,37.509245217
2016-12-29,37.4162662989
2016-12-30,37.1373295445
2017-01-03,36.8971340061
2017-01-04,37.904405619
2017-01-05,35.3009959117
2017-01-06,35.2312617231
2017-01-09,34.9058355097
2017-01-10,35.3862265867
2017-01-11,34.7896118621
2017-01-12,34.8903390234
2017-01-13,34.2472348397
2017-01-17,34.3867032169
2017-01-18,34.3324655147
2017-01-19,33.2632079563
2017-01-20,34.5881575395
2017-01-23,34.4099479464
2017-01-24,34.8593460507
2017-01-25,34.874842537
2017-01-26,34.3402137579
2017-01-27,33.1857255246
2017-01-30,33.8598226809
2017-01-31,34.2627313261
2017-02-01,33.952801599
2017-02-02,33.7126060606
2017-02-03,34.0147875445
2017-02-06,33.2244667405
2017-02-07,33.1469843087
2017-02-08,34.5029268646
2017-02-09,35.2932476686
2017-02-10,34.8670942939
2017-02-13,34.3712067306
2017-02-14,35.2080169936
2017-02-15,35.7348975296
2017-02-16,34.2317383534
2017-02-17,35.401723073
2017-02-21,35.5411914502
2017-02-22,35.138282805
2017-02-23,34.0457805172
2017-02-24,35.9983377976
2017-02-27,37.1760707604
2017-02-28,36.4342672061
2017-03-01,35.6065706086
2017-03-02,36.4264587476
2017-03-03,36.1922049936
2017-03-06,35.5284860239
2017-03-07,34.3806426293
2017-03-08,35.2551899776
2017-03-09,34.8803839712
2017-03-10,34.7085978849
2017-03-13,34.0448789152
2017-03-14,34.1854311676
2017-03-15,34.6227048418
2017-03-16,34.5992794664
2017-03-17,34.2947495862
2017-03-20,33.2484161516
2017-03-21,32.6471648497
2017-03-22,32.7642917267
2017-03-23,32.4909956803
2017-03-24,32.7564832682
2017-03-27,33.15471465
2017-03-28,34.0292619983
2017-03-29,35.8564412795
2017-03-30,36.2702895783
2017-03-31,36.3639910799
2017-04-03,36.2937149537
2017-04-04,34.2947495862
2017-04-05,33.9199435798
2017-04-06,34.9194262635
2017-04-07,34.7710655527
2017-04-10,35.4504014393
2017-04-11,36.3639910799
2017-04-12,36.2546726613
2017-04-13,36.3639910799
2017-04-17,35.9969935319
2017-04-18,35.981376615
2017-04-19,36.332757246
2017-04-20,37.3790906806
2017-04-21,37.1838792189
2017-04-24,36.8793493387
2017-04-25,36.816881671
2017-04-26,37.2307299697
