date,TIF
2019-10-18,88.49
2019-10-21,89.57
2019-10-22,90.96
2019-10-23,92.43
2019-10-24,97.67
2019-10-25,98.55
2019-10-28,129.72
2019-10-29,126.8
2019-10-30,123.89
2019-10-31,124.51
2019-11-01,127.0
2019-11-04,127.64
2019-11-05,124.3
2019-11-06,124.69
2019-11-07,125.0
2019-11-08,125.67
2019-11-11,125.57
2019-11-12,124.15
2019-11-13,122.56
2019-11-14,123.01
2019-11-15,125.08
2019-11-18,124.58
2019-11-19,123.5
2019-11-20,123.33
2019-11-21,126.5
2019-11-22,125.51
2019-11-25,133.25
2019-11-26,133.22
2019-11-27,133.52
2019-11-29,133.8
2019-12-02,133.55
2019-12-03,133.36
2019-12-04,133.72
2019-12-05,133.55
2019-12-06,133.55
2019-12-09,133.48
2019-12-10,133.46
2019-12-11,133.43
2019-12-12,133.57
2019-12-13,133.7
2019-12-16,133.6
2019-12-17,133.7
2019-12-18,133.65
2019-12-19,133.45
2019-12-20,133.54
2019-12-23,133.52
2019-12-24,133.59
2019-12-26,133.62
2019-12-27,133.78
2019-12-30,133.48
2019-12-31,133.65
2020-01-02,133.85
2020-01-03,133.77
2020-01-06,133.65
2020-01-07,133.63
2020-01-08,133.84
2020-01-09,133.79
2020-01-10,133.83
2020-01-13,133.86
2020-01-14,134.04
2020-01-15,134.08
2020-01-16,134.12
2020-01-17,134.25
2020-01-21,134.29
2020-01-22,134.05
2020-01-23,134.21
2020-01-24,134.29
2020-01-27,134.08
2020-01-28,134.09
2020-01-29,134.09
2020-01-30,134.08
2020-01-31,134.02
2020-02-03,134.2
2020-02-04,134.08
2020-02-05,134.22
2020-02-06,134.12
2020-02-07,134.11
2020-02-10,134.21
2020-02-11,134.27
2020-02-12,134.31
2020-02-13,134.36
2020-02-14,134.27
2020-02-18,134.27
2020-02-19,134.25
2020-02-20,134.19
2020-02-21,134.24
2020-02-24,133.96
2020-02-25,133.75
2020-02-26,133.51
2020-02-27,133.0
2020-02-28,133.59
2020-03-02,133.67
2020-03-03,133.36
2020-03-04,133.69
2020-03-05,133.25
2020-03-06,132.7
2020-03-09,130.04
2020-03-10,131.92
2020-03-11,130.43
2020-03-12,127.48
2020-03-13,127.94
2020-03-16,115.68
2020-03-17,115.88
2020-03-18,111.22
2020-03-19,126.0
2020-03-20,125.44
2020-03-23,121.67
2020-03-24,126.61
2020-03-25,126.66
2020-03-26,129.12
2020-03-27,127.44
2020-03-30,128.49
2020-03-31,129.5
2020-04-01,129.34
2020-04-02,129.77
2020-04-03,128.28
2020-04-06,128.17
2020-04-07,128.4
2020-04-08,129.37
2020-04-09,127.95
2020-04-13,128.21
2020-04-14,129.17
2020-04-15,128.76
2020-04-16,127.77
2020-04-17,129.15
2020-04-20,128.95
2020-04-21,129.32
2020-04-22,128.07
2020-04-23,127.06
2020-04-24,126.35
2020-04-27,124.99
2020-04-28,126.55
2020-04-29,127.36
2020-04-30,126.5
2020-05-01,127.06
2020-05-04,127.07
2020-05-05,127.46
2020-05-06,127.9
2020-05-07,128.17
2020-05-08,128.56
2020-05-11,128.28
2020-05-12,127.64
2020-05-13,127.68
2020-05-14,127.28
2020-05-15,127.01
2020-05-18,127.66
2020-05-19,127.98
2020-05-20,125.69
2020-05-21,126.36
2020-05-22,125.07
2020-05-26,125.37
2020-05-27,127.54
2020-05-28,127.82
2020-05-29,128.13
2020-06-01,128.5
2020-06-02,117.03
2020-06-03,114.24
2020-06-04,114.53
2020-06-05,121.99
2020-06-08,122.18
2020-06-09,124.56
2020-06-10,121.05
2020-06-11,119.47
2020-06-12,119.12
2020-06-15,120.1
2020-06-16,120.76
2020-06-17,121.49
2020-06-18,120.9
2020-06-19,120.88
2020-06-22,121.91
2020-06-23,121.94
2020-06-24,121.44
2020-06-25,120.35
2020-06-26,119.57
2020-06-29,120.31
2020-06-30,121.94
2020-07-01,122.23
2020-07-02,122.22
2020-07-06,122.91
2020-07-07,122.01
2020-07-08,121.58
2020-07-09,120.99
2020-07-10,121.3
2020-07-13,121.17
2020-07-14,121.74
2020-07-15,122.5
2020-07-16,122.02
