date,WYND
2018-02-12,38.22637979
2018-02-13,38.7555214928
2018-02-14,39.9879944033
2018-02-15,40.3002208739
2018-02-16,39.794085332
2018-02-20,39.6922009048
2018-02-21,39.8072317097
2018-02-22,39.3569682731
2018-02-23,39.3043827623
2018-02-26,38.7883874371
2018-02-27,38.111348985
2018-02-28,38.0521902853
2018-03-01,37.99631818
2018-03-02,38.2526725454
2018-03-05,38.3512703782
2018-03-06,38.6536370656
2018-03-07,38.5747587993
2018-03-08,38.2822518952
2018-03-09,39.7973719264
2018-03-12,39.0808943412
2018-03-13,38.9132780254
2018-03-14,38.3677033503
2018-03-15,38.3908403183
2018-03-16,38.4271984107
2018-03-19,38.5428832502
2018-03-20,38.6519575275
2018-03-21,38.9758750782
2018-03-22,38.076838611
2018-03-23,37.1480546136
2018-03-26,37.8157214017
2018-03-27,37.3265397946
2018-03-28,37.2802658588
2018-03-29,37.822331964
2018-04-02,36.7183680668
2018-04-03,37.0687278665
2018-04-04,37.4984144133
2018-04-05,37.4951091322
2018-04-06,36.4506402953
2018-04-09,36.3118184878
2018-04-10,36.1465544314
2018-04-11,36.8505793119
2018-04-12,37.0290644929
2018-04-13,36.3779241104
2018-04-16,36.9464324647
2018-04-17,37.6041834095
2018-04-18,37.9545432092
2018-04-19,37.7132576867
2018-04-20,37.924795679
2018-04-23,38.2454079486
2018-04-24,38.281766041
2018-04-25,38.919685299
2018-04-26,38.3379558202
2018-04-27,38.2586290731
2018-04-30,37.7496157791
2018-05-01,38.000817145
2018-05-02,35.882131941
2018-05-03,34.8707159154
2018-05-04,35.1351384058
2018-05-07,35.3400658358
2018-05-08,35.8490791297
2018-05-09,36.6423466008
2018-05-10,37.1348334891
2018-05-11,36.9232954968
2018-05-14,36.8043053761
2018-05-15,36.5762409782
2018-05-16,37.2372972041
2018-05-17,36.1168069012
2018-05-18,36.136638588
2018-05-21,36.0242590296
2018-05-22,35.8623002542
2018-05-23,35.7829735071
2018-05-24,35.8854372222
2018-05-25,35.677204511
2018-05-29,35.8589949731
2018-05-30,36.6291254763
2018-05-31,35.8424685675
2018-06-01,35.6615044256
2018-06-04,36.3716596154
2018-06-05,35.8811400513
2018-06-06,35.8298917387
2018-06-07,36.4155867405
2018-06-08,35.317408612
2018-06-11,35.5736501754
2018-06-12,35.2808026744
2018-06-13,35.0684882363
2018-06-14,35.6468620506
2018-06-15,36.36304797
2018-06-18,35.8978962904
2018-06-19,35.5951785306
2018-06-20,34.6279583714
2018-06-21,34.7017919714
2018-06-22,34.4729078116
2018-06-25,33.897005732
2018-06-26,33.6902716522
2018-06-27,33.1143695727
2018-06-28,32.693518053
2018-06-29,32.686134693
2018-07-02,32.3834169333
2018-07-03,32.3686502133
2018-07-05,32.5606175731
2018-07-06,33.0553026927
2018-07-09,33.5942879723
2018-07-10,33.6902716522
2018-07-11,33.3358703725
2018-07-12,33.1955865326
2018-07-13,33.2841868525
2018-07-16,33.6902716522
2018-07-17,34.1258898918
2018-07-18,34.6205750114
2018-07-19,34.7165586914
2018-07-20,34.5984249315
2018-07-23,34.2218735718
2018-07-24,33.7271884522
2018-07-25,33.6681215722
2018-07-26,33.992989412
2018-07-27,33.7493385322
2018-07-30,33.6090546923
2018-07-31,34.0520562919
2018-08-01,34.1111231719
2018-08-02,34.2735570917
2018-08-03,34.3104738917
2018-08-06,34.3843074916
2018-08-07,33.7567218921
2018-08-08,32.4277170932
2018-08-09,32.737818213
2018-08-10,32.723051493
2018-08-13,32.1619161335
2018-08-14,32.8264185329
2018-08-15,32.774735013
2018-08-16,33.1217529327
2018-08-17,33.1365196527
2018-08-20,33.3654038125
2018-08-21,33.4023206124
2018-08-22,33.0405359727
2018-08-23,32.5384674932
2018-08-24,32.4867839732
2018-08-27,32.6123010931
2018-08-28,32.8116518129
2018-08-29,32.8264185329
2018-08-30,32.5606175731
2018-08-31,32.6344511731
2018-09-04,32.5384674932
2018-09-05,31.549097254
2018-09-06,30.7738444546
2018-09-07,30.5597270148
2018-09-10,30.352992935
2018-09-11,29.6884905355
2018-09-12,30.0576585352
2018-09-13,30.5449602948
2018-09-14,31.4547467098
2018-09-17,31.4323749127
2018-09-18,32.1184433569
2018-09-19,32.0065843714
2018-09-20,32.8119690667
2018-09-21,32.7746827382
2018-09-24,31.6933792121
2018-09-25,32.2303023423
2018-09-26,32.1333578883
2018-09-27,32.0214989028
2018-09-28,32.3347040621
2018-10-01,30.932738111
2018-10-02,30.7686782657
