date,LM
2016-07-14,27.6119892177
2016-07-15,27.9890616961
2016-07-18,28.5375307557
2016-07-19,28.126178961
2016-07-20,28.3318548584
2016-07-21,28.1347487901
2016-07-22,28.3747040036
2016-07-25,28.2975755421
2016-07-26,28.3832738327
2016-07-27,28.3747040036
2016-07-28,28.8117652855
2016-07-29,29.2573963964
2016-08-01,29.0345808409
2016-08-02,28.4518324651
2016-08-03,29.051720499
2016-08-04,28.5203910976
2016-08-05,29.2745360545
2016-08-08,29.2831058835
2016-08-09,28.9745920375
2016-08-10,29.051720499
2016-08-11,29.0602903281
2016-08-12,28.888893747
2016-08-15,29.2745360545
2016-08-16,29.0688601572
2016-08-17,28.9831618666
2016-08-18,29.351664516
2016-08-19,29.2831058835
2016-08-22,29.0859998153
2016-08-23,29.5916197296
2016-08-24,29.4887817809
2016-08-25,29.360234345
2016-08-26,29.3430946869
2016-08-29,29.4373628065
2016-08-30,29.7373068235
2016-08-31,29.6430387039
2016-09-01,29.1802679349
2016-09-02,29.8058654559
2016-09-06,29.6687481911
2016-09-07,29.8230051141
2016-09-08,29.7458766526
2016-09-09,29.3173851998
2016-09-12,29.9515525499
2016-09-13,28.9403127213
2016-09-14,28.7174971659
2016-09-15,29.2659662254
2016-09-16,28.8631842598
2016-09-19,28.9745920375
2016-09-20,28.6060893881
2016-09-21,29.2402567383
2016-09-22,29.6687481911
2016-09-23,29.0688601572
2016-09-26,28.2975755421
2016-09-27,28.5975195591
2016-09-28,28.9403127213
2016-09-29,28.2461565678
2016-09-30,28.6917876787
2016-10-03,28.6832178496
2016-10-04,28.5975195591
2016-10-05,29.5809636706
2016-10-06,29.3221625886
2016-10-07,28.8390672356
2016-10-10,28.5975195591
2016-10-11,27.6140754476
2016-10-12,28.2093179361
2016-10-13,27.6227021503
2016-10-14,27.5623152312
2016-10-17,27.3552743656
2016-10-18,27.3466476628
2016-10-19,27.6227021503
2016-10-20,27.5968220421
2016-10-21,27.4846749066
2016-10-24,27.5968220421
2016-10-25,27.2086204191
2016-10-26,27.1654869054
2016-10-27,26.6651381469
2016-10-28,25.2503588988
2016-10-31,24.7758902485
2016-11-01,24.9570510059
2016-11-02,24.6723698157
2016-11-03,24.4567022474
2016-11-04,24.6033561938
2016-11-07,25.2331054933
2016-11-08,25.0864515469
2016-11-09,25.9836286311
2016-11-10,26.9584460399
2016-11-11,26.9756994453
2016-11-14,27.2172471218
2016-11-15,27.6054487448
2016-11-16,27.4242879874
2016-11-17,27.5623152312
2016-11-18,27.5623152312
2016-11-21,27.7262225831
2016-11-22,27.7348492858
2016-11-23,27.8038629077
2016-11-25,27.8642498268
2016-11-28,27.1482335
2016-11-29,26.9670727426
2016-11-30,27.5191817175
2016-12-01,27.7521026913
2016-12-02,27.0619664727
2016-12-05,27.0360863645
2016-12-06,27.3984078792
2016-12-07,28.243824747
2016-12-08,28.761426911
2016-12-09,28.8131871274
2016-12-12,28.0022770705
2016-12-13,27.932792512
2016-12-14,26.925266414
2016-12-15,26.9513231234
2016-12-16,26.1522507008
2016-12-19,26.8210395762
2016-12-20,27.1510912291
2016-12-21,27.246632497
2016-12-22,26.6386426102
2016-12-23,26.3954466555
2016-12-27,26.8210395762
2016-12-28,26.2043641197
2016-12-29,25.8743124668
2016-12-30,25.9785393046
2017-01-03,26.6646993196
2017-01-04,27.4464006026
2017-01-05,27.0555499611
2017-01-06,27.3769160441
2017-01-09,26.6907560291
2017-01-10,27.0642355309
2017-01-11,27.611426429
2017-01-12,27.9154213724
2017-01-13,28.0109626403
2017-01-17,27.2987459158
2017-01-18,27.5158851611
2017-01-19,27.4203438932
2017-01-20,27.9241069422
2017-01-23,28.4799834101
2017-01-24,28.8360917724
2017-01-25,28.9229474705
2017-01-26,28.1933596064
2017-01-27,27.246632497
2017-01-30,27.8719935234
2017-01-31,27.5245707309
2017-02-01,29.0879732969
2017-02-02,29.496195078
2017-02-03,30.5558345949
2017-02-06,30.3647520591
2017-02-07,30.138927244
2017-02-08,29.9391591384
2017-02-09,30.3994943383
2017-02-10,30.5732057346
2017-02-13,30.8598295383
2017-02-14,30.9119429572
2017-02-15,31.2680513194
2017-02-16,31.2506801798
2017-02-17,31.8760412062
2017-02-21,32.5708867911
2017-02-22,32.4492888137
2017-02-23,32.3711186854
2017-02-24,32.2668918477
2017-02-27,32.5535156515
2017-02-28,32.7619693269
2017-03-01,32.527458942
2017-03-02,32.5969435005
2017-03-03,32.1887217194
2017-03-06,31.9889536138
2017-03-07,31.6849586704
2017-03-08,31.9976391836
2017-03-09,31.7110153798
2017-03-10,31.4851905647
2017-03-13,31.7110153798
2017-03-14,31.380963727
2017-03-15,31.9052906063
2017-03-16,32.1499764833
2017-03-17,31.2673595698
2017-03-20,31.0576288181
2017-03-21,30.4284365629
2017-03-22,30.3847426563
2017-03-23,30.4896080322
2017-03-24,30.3323099684
2017-03-27,30.5857346267
2017-03-28,31.3023146951
2017-03-29,31.1188002873
2017-03-30,31.7829476678
2017-03-31,31.5557393534
2017-04-03,31.2236656632
2017-04-04,31.1537554126
2017-04-05,31.1537554126
2017-04-06,31.6606047293
2017-04-07,31.7130374172
2017-04-10,31.9752008569
2017-04-11,31.9664620756
2017-04-12,32.2723194218
2017-04-13,32.141237702
2017-04-17,32.5257440802
2017-04-18,32.5869155494
2017-04-19,32.6480870187
2017-04-20,33.0151158342
2017-04-21,32.7092584879
2017-04-24,33.390883431
2017-04-25,33.4870100256
2017-04-26,33.3297119618
2017-04-27,33.7229571213
2017-04-28,32.6655645813
2017-05-01,32.7616911758
2017-05-02,32.6568258
2017-05-03,32.5082665175
2017-05-04,31.9577232942
2017-05-05,32.1062825767
2017-05-08,31.7916864491
2017-05-09,32.4733113922
2017-05-10,32.7791687385
2017-05-11,32.6480870187
2017-05-12,32.6131318934
2017-05-15,33.0238546155
2017-05-16,33.2685404925
2017-05-17,32.2985357658
2017-05-18,32.7354748319
2017-05-19,33.2947568365
2017-05-22,33.3209731805
2017-05-23,33.146197554
2017-05-24,33.1549363353
2017-05-25,32.7092584879
2017-05-26,32.5956543307
2017-05-30,31.8878130437
2017-05-31,32.2198867339
2017-06-01,33.1025036474
2017-06-02,33.2335853672
2017-06-05,33.2248465859
2017-06-06,33.2685404925
2017-06-07,33.3209731805
2017-06-08,33.635569308
2017-06-09,34.17737375
2017-06-12,34.4502294251
2017-06-13,34.6262653444
2017-06-14,34.749490488
2017-06-15,34.6350671404
2017-06-16,34.9783371832
2017-06-19,35.6912826568
2017-06-20,35.4712377575
2017-06-21,34.9871389792
2017-06-22,35.3744180019
2017-06-23,34.7230851001
2017-06-26,35.1455713067
2017-06-27,35.1983820825
2017-06-28,34.3182024855
2017-06-29,33.596455216
2017-06-30,33.58765342
2017-07-03,33.3764103168
2017-07-05,33.4380228886
2017-07-06,33.4468246845
2017-07-07,34.2301845258
