date,VAR
2016-12-08,80.0640590137
2016-12-09,80.6830654342
2016-12-12,80.8952962069
2016-12-13,81.5231455762
2016-12-14,80.302818633
2016-12-15,80.7007513319
2016-12-16,80.5238923546
2016-12-19,80.5681070989
2016-12-20,80.0198442694
2016-12-21,79.9933154228
2016-12-22,79.8252993944
2016-12-23,80.4796776103
2016-12-27,80.9837256956
2016-12-28,80.1613314512
2016-12-29,79.7987705478
2016-12-30,79.3919949001
2017-01-03,80.1878602978
2017-01-04,78.8260461728
2017-01-05,78.5430718091
2017-01-06,78.8879468148
2017-01-09,79.2062929739
2017-01-10,79.5776968262
2017-01-11,79.6838122126
2017-01-12,79.719184008
2017-01-13,80.1878602978
2017-01-17,79.6395974682
2017-01-18,79.3919949001
2017-01-19,79.1267064341
2017-01-20,79.5157961841
2017-01-23,79.5865397751
2017-01-24,79.851828241
2017-01-25,81.7265334001
2017-01-26,76.4649788261
2017-01-27,78.5253859114
2017-01-30,77.68
2017-01-31,77.65
2017-02-01,79.11
2017-02-02,78.6
2017-02-03,79.78
2017-02-06,78.26
2017-02-07,78.43
2017-02-08,79.21
2017-02-09,80.08
2017-02-10,80.4
2017-02-13,80.17
2017-02-14,80.6
2017-02-15,81.12
2017-02-16,81.93
2017-02-17,83.61
2017-02-21,83.54
2017-02-22,83.54
2017-02-23,84.03
2017-02-24,84.72
2017-02-27,84.26
2017-02-28,83.89
2017-03-01,85.53
2017-03-02,86.03
2017-03-03,86.92
2017-03-06,86.18
2017-03-07,86.06
2017-03-08,86.66
2017-03-09,87.36
2017-03-10,87.84
2017-03-13,88.19
2017-03-14,88.23
2017-03-15,90.22
2017-03-16,89.89
2017-03-17,91.52
2017-03-20,91.51
2017-03-21,90.74
2017-03-22,91.36
2017-03-23,91.34
2017-03-24,91.18
2017-03-27,91.65
2017-03-28,91.35
2017-03-29,91.14
2017-03-30,91.17
2017-03-31,91.13
2017-04-03,91.49
2017-04-04,91.24
2017-04-05,91.03
2017-04-06,91.35
2017-04-07,90.78
2017-04-10,90.43
2017-04-11,90.04
2017-04-12,89.44
2017-04-13,88.86
2017-04-17,89.26
2017-04-18,88.41
2017-04-19,88.65
2017-04-20,89.32
2017-04-21,89.0
2017-04-24,88.4
2017-04-25,88.37
2017-04-26,90.06
2017-04-27,89.02
2017-04-28,90.74
2017-05-01,90.83
2017-05-02,91.19
2017-05-03,91.76
2017-05-04,91.58
2017-05-05,92.13
2017-05-08,95.55
2017-05-09,96.01
2017-05-10,96.58
2017-05-11,96.41
2017-05-12,96.29
