date,VIAB
2017-01-24,38.2427015672
2017-01-25,38.1310712051
2017-01-26,38.9310888005
2017-01-27,39.0427191627
2017-01-30,39.4985431415
2017-01-31,39.2008621757
2017-02-01,38.7450381969
2017-02-02,38.6799204857
2017-02-03,38.9776014514
2017-02-06,38.90318121
2017-02-07,38.7636432573
2017-02-08,39.1357444645
2017-02-09,40.8288049571
2017-02-10,40.6055442328
2017-02-13,40.4194936292
2017-02-14,41.1636960436
2017-02-15,41.5450997809
2017-02-16,41.0799732719
2017-02-17,40.9218302589
2017-02-21,41.5823099016
2017-02-22,41.4055618282
2017-02-23,40.8008973666
2017-02-24,40.8288049571
2017-02-27,40.4660062801
2017-02-28,40.4194936292
2017-03-01,40.7078720648
2017-03-02,39.1822571154
2017-03-03,39.3590051888
2017-03-06,39.2473748266
2017-03-07,39.9357620599
2017-03-08,40.9311327891
2017-03-09,41.340444117
2017-03-10,40.6799644742
2017-03-13,40.3264683274
2017-03-14,40.5227269218
2017-03-15,41.083465763
2017-03-16,41.1582309418
2017-03-17,40.5601095112
2017-03-20,40.0647902015
2017-03-21,39.3451753554
2017-03-22,39.7844207809
2017-03-23,40.1489010277
2017-03-24,40.2423575012
2017-03-27,41.4105634203
2017-03-28,41.9713022615
2017-03-29,42.3357825083
2017-03-30,43.3264211277
2017-03-31,43.5694079588
2017-04-03,42.7189540497
2017-04-04,42.5694236921
2017-04-05,42.354473803
2017-04-06,42.5974606341
2017-04-07,42.3077455662
2017-04-10,41.8965370827
2017-04-11,41.8591544933
2017-04-12,41.4386003624
2017-04-13,40.9058984633
2017-04-17,41.083465763
2017-04-18,41.2049591786
2017-04-19,41.4105634203
2017-04-20,41.429254715
2017-04-21,40.2797400906
2017-04-24,39.9526424333
2017-04-25,40.1395553804
2017-04-26,40.5414182165
2017-04-27,40.4759986851
2017-04-28,39.7750751336
2017-05-01,39.812457723
2017-05-02,39.6816186601
2017-05-03,36.6910115072
2017-05-04,34.0742302484
2017-05-05,34.4106735531
2017-05-08,34.0275020116
2017-05-09,33.8592803593
2017-05-10,32.6630374981
2017-05-11,32.2611746619
2017-05-12,32.3452854881
2017-05-15,31.5509054631
2017-05-16,31.653707584
2017-05-17,31.4481033422
2017-05-18,31.7658553522
2017-05-19,32.8966786819
2017-05-22,32.9340612713
2017-05-23,32.0742617149
2017-05-24,32.4667789037
2017-05-25,32.635000556
2017-05-26,32.8312591505
2017-05-30,32.7564939716
2017-05-31,32.5135071405
2017-06-01,32.9994808028
2017-06-02,32.9434069187
2017-06-05,32.9060243293
2017-06-06,32.7751852663
2017-06-07,32.5695810246
2017-06-08,32.952752566
2017-06-09,33.083591629
2017-06-12,33.7284412963
2017-06-13,33.4480718757
2017-06-14,32.7995984395
2017-06-15,32.855987434
2017-06-16,32.9593672572
2017-06-19,33.2977012239
2017-06-20,32.1511250033
2017-06-21,32.4894589701
2017-06-22,32.0665415117
2017-06-23,32.0571433459
2017-06-26,32.9781635886
2017-06-27,33.2789048924
2017-06-28,32.9593672572
2017-06-29,32.2826993237
2017-06-30,31.5496423959
2017-07-03,32.0665415117
2017-07-05,31.0139469486
2017-07-06,31.0797341088
2017-07-07,31.2019102634
2017-07-10,31.9537635228
2017-07-11,32.0853378431
2017-07-12,32.4236718099
2017-07-13,32.4236718099
2017-07-14,32.8277929368
2017-07-17,33.1943214007
2017-07-18,33.3258957211
2017-07-19,34.021359986
2017-07-20,33.730016848
2017-07-21,33.8709893341
2017-07-24,34.0401563175
2017-07-25,32.9029782627
2017-07-26,32.3014956552
2017-07-27,33.3728865498
2017-07-28,33.5138590359
2017-07-31,32.818394771
2017-08-01,33.3916828813
2017-08-02,32.0383470144
2017-08-03,32.9593672572
2017-08-04,28.4012568723
2017-08-07,28.739590839
2017-08-08,28.9181559881
2017-08-09,28.3542660436
2017-08-10,28.2602843862
2017-08-11,28.8147761649
2017-08-14,28.410655038
2017-08-15,28.2696825519
2017-08-16,28.0253302426
2017-08-17,27.4520421323
2017-08-18,26.8693558563
2017-08-21,26.4182439007
2017-08-22,26.7471797017
2017-08-23,26.8881521878
2017-08-24,26.9257448508
2017-08-25,27.4332458009
2017-08-28,27.6588017787
2017-08-29,27.5178292925
2017-08-30,27.3768568064
2017-08-31,26.8787540221
2017-09-01,26.8035686962
2017-09-05,25.7791686303
2017-09-06,26.5216237239
2017-09-07,25.5630108182
2017-09-08,25.6287979784
2017-09-11,25.5536126525
2017-09-12,25.4784273265
2017-09-13,26.2302805859
2017-09-14,25.9013447849
2017-09-15,26.1948176242
2017-09-18,25.8634773218
2017-09-19,25.6930737377
2017-09-20,26.2421519531
2017-09-21,25.9392122481
2017-09-22,26.1664170269
2017-09-25,26.4125555373
2017-09-26,26.119082698
2017-09-27,26.4409561346
2017-09-28,26.3652212083
2017-09-29,26.3557543426
2017-10-02,25.9486791138
2017-10-03,26.0812152348
2017-10-04,26.6397603161
2017-10-05,25.8445435902
2017-10-06,25.7025406035
2017-10-09,24.0647728228
2017-10-10,24.1973089438
2017-10-11,23.8659686414
2017-10-12,23.2600892312
2017-10-13,24.6138510383
2017-10-16,24.8599895487
2017-10-17,25.153462388
2017-10-18,24.4434474542
2017-10-19,25.1155949249
2017-10-20,25.2765316432
2017-10-23,24.9073238776
2017-10-24,24.2825107359
2017-10-25,24.1215740175
2017-10-26,23.9511704334
2017-10-27,23.3452910233
2017-10-30,22.9382157945
2017-10-31,22.7488784789
2017-11-01,23.4588934127
2017-11-02,22.1524659345
2017-11-03,22.0293966793
2017-11-06,22.8908814656
2017-11-07,23.4588934127
2017-11-08,23.004483855
2017-11-09,23.4588934127
2017-11-10,23.5630289363
2017-11-13,23.402092218
2017-11-14,23.2316886338
2017-11-15,23.2979566943
2017-11-16,22.4270050422
2017-11-17,24.7558540251
2017-11-20,24.7747877566
2017-11-21,25.8066761271
2017-11-22,25.2575979116
2017-11-24,24.888390146
2017-11-27,25.1250617906
2017-11-28,25.588938214
2017-11-29,26.904832558
2017-11-30,26.8101639002
2017-12-01,26.8858988265
2017-12-04,27.6243143576
2017-12-05,27.3971095788
2017-12-06,27.3971095788
2017-12-07,28.0597901837
2017-12-08,27.7284498812
2017-12-11,27.8893865996
2017-12-12,28.0124558547
2017-12-13,27.9461877943
2017-12-14,28.3153955598
2017-12-15,28.8205170558
2017-12-18,29.220802015
2017-12-19,29.4781280601
2017-12-20,29.725923511
2017-12-21,30.2691673841
2017-12-22,30.7171053145
2017-12-26,30.374003921
2017-12-27,29.5257810314
2017-12-28,29.3637609289
2017-12-29,29.3637609289
2018-01-02,29.725923511
2018-01-03,28.5441298222
2018-01-04,28.1724366459
2018-01-05,27.7340293097
2018-01-08,27.8102740638
2018-01-09,27.6768457441
2018-01-10,27.7912128753
2018-01-11,29.3637609289
2018-01-12,32.175286237
2018-01-16,29.907004802
2018-01-17,30.4597792693
2018-01-18,32.356367528
