date,ETFC
2017-01-09,35.5837510847
2017-01-10,35.9058201428
2017-01-11,36.0424555008
2017-01-12,35.8375024638
2017-01-13,36.0424555008
2017-01-17,34.9054541291
2017-01-18,35.4959140689
2017-01-19,35.3690383793
2017-01-20,35.5154334057
2017-01-23,35.3592787109
2017-01-24,35.8375024638
2017-01-25,36.1010135114
2017-01-26,36.5109195853
2017-01-27,37.35025107
2017-01-30,37.0379416804
2017-01-31,36.549958259
2017-02-01,36.6768339486
2017-02-02,33.4268643624
2017-02-03,33.9343671206
2017-02-06,33.9636461259
2017-02-07,34.4516295472
2017-02-08,34.217397505
2017-02-09,34.9396129686
2017-02-10,34.7053809263
2017-02-13,35.2909610319
2017-02-14,35.9936571587
2017-02-15,36.6085162696
2017-02-16,36.276687543
2017-02-17,36.276687543
2017-02-21,36.3938035642
2017-02-22,36.4621212432
2017-02-23,36.1693311904
2017-02-24,35.9058201428
2017-02-27,36.3059665483
2017-02-28,33.6806157415
2017-03-01,35.3299997056
2017-03-02,34.1881184997
2017-03-03,34.6224237447
2017-03-06,34.3540328629
2017-03-07,34.2271571734
2017-03-08,34.0514831417
2017-03-09,33.9929251311
2017-03-10,34.3052345208
2017-03-13,34.8712952896
2017-03-14,34.6370632473
2017-03-15,34.4223505419
2017-03-16,34.9688919738
2017-03-17,34.5589858999
2017-03-20,34.0710024786
2017-03-21,32.8315245883
2017-03-22,32.8412842568
2017-03-23,32.9291212726
2017-03-24,32.8315245883
2017-03-27,32.7436875725
2017-03-28,33.4268643624
2017-03-29,33.4854223729
2017-03-30,34.0417234733
2017-03-31,34.0514831417
2017-04-03,33.9246074521
2017-04-04,33.7879720942
2017-04-05,33.348787015
2017-04-06,33.7489334205
2017-04-07,34.0417234733
2017-04-10,33.4171046939
2017-04-11,33.2609499991
2017-04-12,32.9193616042
2017-04-13,32.4216185144
2017-04-17,33.0169582884
2017-04-18,32.9193616042
2017-04-19,32.9096019357
2017-04-20,33.7879720942
2017-04-21,33.7196544152
2017-04-24,34.5980245736
2017-04-25,34.6468229157
2017-04-26,34.6468229157
2017-04-27,34.0222041364
2017-04-28,33.7196544152
2017-05-01,33.9929251311
2017-05-02,33.9734057943
2017-05-03,35.1640853424
2017-05-04,35.0567289897
2017-05-05,34.9396129686
2017-05-08,34.8322566159
2017-05-09,34.7736986053
2017-05-10,34.4321102104
2017-05-11,34.0417234733
2017-05-12,33.5537400519
2017-05-15,34.1393201575
2017-05-16,34.4321102104
2017-05-17,32.5972925461
2017-05-18,32.5875328777
2017-05-19,33.2316709938
2017-05-22,33.5342207151
2017-05-23,33.8953284469
2017-05-24,33.7684527573
2017-05-25,34.3442731945
2017-05-26,34.2369168418
2017-05-30,33.9050881153
2017-05-31,33.7782124257
2017-06-01,34.080762147
2017-06-02,33.7489334205
2017-06-05,34.3247538577
2017-06-06,34.1783588312
2017-06-07,34.4028312051
2017-06-08,35.3592787109
2017-06-09,36.0522151692
2017-06-12,36.1693311904
2017-06-13,36.345005222
2017-06-14,36.48164058
2017-06-15,36.3547648905
2017-06-16,36.1595715219
2017-06-19,36.7158726223
2017-06-20,36.1595715219
2017-06-21,35.9350991481
2017-06-22,35.61303009
2017-06-23,35.3690383793
2017-06-26,35.8082234586
2017-06-27,36.3254858852
2017-06-28,36.7841903013
2017-06-29,36.7744306328
2017-06-30,37.1160190278
2017-07-03,37.5259251017
2017-07-05,37.7699168124
2017-07-06,37.5844831123
2017-07-07,37.7601571439
2017-07-10,37.7503974755
2017-07-11,37.5747234438
2017-07-12,37.9163118388
2017-07-13,38.4628532707
2017-07-14,38.5506902865
2017-07-17,38.5702096234
2017-07-18,39.1069913869
2017-07-19,38.7166046498
2017-07-20,38.6482869708
2017-07-21,40.6294996615
2017-07-24,40.4831046351
2017-07-25,40.9125300459
2017-07-26,40.1219969033
2017-07-27,39.7413698346
2017-07-28,40.0341598874
2017-07-31,40.0146405506
2017-08-01,40.1707952454
2017-08-02,40.1024775664
2017-08-03,40.0536792243
2017-08-04,40.2195935875
2017-08-07,40.1219969033
2017-08-08,40.2391129244
2017-08-09,40.161035577
2017-08-10,39.1850687343
2017-08-11,39.1069913869
2017-08-14,39.5364167977
2017-08-15,39.3705024344
2017-08-16,39.4485797818
2017-08-17,38.6580466392
2017-08-18,38.7654029919
2017-08-21,38.882519013
2017-08-22,39.6632924872
2017-08-23,39.6144941451
2017-08-24,39.95608254
2017-08-25,40.0829582296
2017-08-28,40.0439195559
2017-08-29,39.6925714925
2017-08-30,39.9268035347
2017-08-31,40.024400219
2017-09-01,40.0048808822
2017-09-05,38.9801156973
2017-09-06,39.155789729
2017-09-07,38.5409306181
2017-09-08,38.7068449814
2017-09-11,39.4680991187
2017-09-12,39.7706488399
2017-09-13,39.6925714925
2017-09-14,39.7413698346
2017-09-15,40.0731985611
2017-09-18,40.4635852982
2017-09-19,40.6978173405
2017-09-20,40.7758946879
2017-09-21,40.7758946879
2017-09-22,40.8149333616
2017-09-25,40.6587786668
2017-09-26,40.893010709
2017-09-27,42.1227289308
2017-09-28,42.1617676045
2017-09-29,42.56191401
2017-10-02,42.6107123522
2017-10-03,43.3134084789
2017-10-04,43.1865327893
2017-10-05,43.9282675898
2017-10-06,42.8937427365
2017-10-09,43.362206821
2017-10-10,42.9327814102
2017-10-11,43.1767731209
2017-10-12,42.9230217418
2017-10-13,42.8059057207
2017-10-16,43.4207648316
2017-10-17,42.7278283733
2017-10-18,42.8644637313
2017-10-19,42.6399913574
2017-10-20,42.1617676045
2017-10-23,41.7225825253
2017-10-24,42.5716736784
2017-10-25,42.3764803099
2017-10-26,42.5911930153
2017-10-27,42.2496046204
2017-10-30,42.425278652
2017-10-31,42.5423946732
2017-11-01,42.493596331
2017-11-02,43.3817261579
2017-11-03,42.9620604155
2017-11-06,43.0401377629
2017-11-07,42.5716736784
2017-11-08,42.4350383205
2017-11-09,42.0446515834
2017-11-10,41.8884968886
2017-11-13,42.5521543416
2017-11-14,42.8156653891
2017-11-15,42.7083090364
2017-11-16,42.9620604155
2017-11-17,43.1182151104
2017-11-20,43.3817261579
2017-11-21,43.8209112371
2017-11-22,43.6647565423
2017-11-24,43.7916322318
2017-11-27,44.0453836109
2017-11-28,45.1970244853
2017-11-29,46.6316957441
2017-11-30,46.9830438074
2017-12-01,47.7150189395
2017-12-04,49.3253642299
2017-12-05,48.7202647874
2017-12-06,48.2127620292
2017-12-07,48.64218744
2017-12-08,49.1692095351
2017-12-11,48.4469940715
2017-12-12,48.64218744
2017-12-13,47.5295852393
2017-12-14,47.2660741918
2017-12-15,48.6812261137
2017-12-18,48.5836294295
2017-12-19,48.3786763925
2017-12-20,48.3493973872
2017-12-21,48.7593034611
2017-12-22,48.5153117505
2017-12-26,48.3103587135
2017-12-27,48.3005990451
2017-12-28,48.4860327452
2017-12-29,48.3786763925
2018-01-02,48.6226681032
2018-01-03,49.4034415773
2018-01-04,50.0670990304
2018-01-05,50.2330133936
2018-01-08,50.5258034464
2018-01-09,51.2089802363
2018-01-10,51.4236929417
2018-01-11,51.6872039892
2018-01-12,52.6436514951
2018-01-16,52.3801404475
2018-01-17,52.7022095056
2018-01-18,52.3606211107
2018-01-19,52.9754802216
2018-01-22,53.6586570115
2018-01-23,53.6391376746
2018-01-24,53.8636100484
2018-01-25,52.9071625426
2018-01-26,52.2044664159
2018-01-29,51.3553752627
2018-01-30,51.0918642152
2018-01-31,51.4334526101
2018-02-01,52.7998061899
2018-02-02,51.3065769206
2018-02-05,49.1399305298
2018-02-06,51.0235465362
2018-02-07,50.311090741
2018-02-08,47.314872534
2018-02-09,48.2810797082
2018-02-12,48.9935355034
2018-02-13,48.847140477
