date,FL
2019-12-06,34.2407722734
2019-12-09,34.1376632979
2019-12-10,33.6822653229
2019-12-11,32.7886542021
2019-12-12,33.2526445917
2019-12-13,31.9036354959
2019-12-16,32.0754837884
2019-12-17,32.8659859337
2019-12-18,34.5329143706
2019-12-19,34.3095115904
2019-12-20,34.3095115904
2019-12-23,34.5415067852
2019-12-24,34.5500991998
2019-12-26,35.1343833942
2019-12-27,33.931445347
2019-12-30,33.5361942743
2019-12-31,33.5018246158
2020-01-02,32.7285072997
2020-01-03,32.7370997144
2020-01-06,33.3299763234
2020-01-07,33.8111515423
2020-01-08,33.7853742984
2020-01-09,33.1151659578
2020-01-10,33.5963411767
2020-01-13,33.4330852988
2020-01-14,33.5963411767
2020-01-15,33.5877487621
2020-01-16,34.1634405418
2020-01-17,34.3542977515
2020-01-21,34.3629730793
2020-01-22,34.5104536504
2020-01-23,34.1374145587
2020-01-24,33.48676498
2020-01-27,33.2612064594
2020-01-28,33.7036481729
2020-01-29,34.0853625924
2020-01-30,33.8424534163
2020-01-31,32.940219334
2020-02-03,34.310921113
2020-02-04,34.8314407759
2020-02-05,35.7597008414
2020-02-06,35.9679087065
2020-02-07,35.1177265905
2020-02-10,33.8511287441
2020-02-11,34.310921113
2020-02-12,35.6642722365
2020-02-13,35.5341423208
2020-02-14,35.0309733133
2020-02-18,34.5972069276
2020-02-19,34.2154925081
2020-02-20,35.1524279013
2020-02-21,33.6949728452
2020-02-24,32.2548684445
2020-02-25,30.6325821618
2020-02-26,29.7476987349
2020-02-27,29.1143998117
2020-02-28,31.448062967
2020-03-02,29.2098284165
2020-03-03,27.5268148398
2020-03-04,29.1751271057
2020-03-05,26.5638534634
2020-03-06,26.3122689597
2020-03-09,25.2452036507
2020-03-10,25.1324243905
2020-03-11,21.7230205984
2020-03-12,18.6432792596
2020-03-13,20.0660330049
2020-03-16,20.5258253738
2020-03-17,20.8294618438
2020-03-18,19.0596949899
2020-03-19,19.0596949899
2020-03-20,17.5415126398
2020-03-23,15.8064470968
2020-03-24,17.7150191941
2020-03-25,18.7387078645
2020-03-26,20.3089421809
2020-03-27,19.3459808045
2020-03-30,19.4761107203
2020-03-31,19.1290976117
2020-04-01,17.4807853458
2020-04-02,17.3159541192
2020-04-03,15.8932003739
2020-04-06,19.1724742502
2020-04-07,19.5888899805
2020-04-08,20.0747083326
2020-04-09,21.6883192876
2020-04-13,20.031331694
2020-04-14,20.3002668532
2020-04-15,19.3980327708
2020-04-16,19.2071755611
2020-04-17,20.2231945075
2020-04-20,19.7637772448
2020-04-21,20.1083401918
2020-04-22,19.056981456
2020-04-23,19.4633890345
2020-04-24,20.3557187179
2020-04-27,21.8841646112
2020-04-28,22.4142614528
2020-04-29,24.2430955564
2020-04-30,22.6439700842
2020-05-01,21.0536795594
2020-05-04,20.6296020861
2020-05-05,20.285039139
2020-05-06,20.2762041917
2020-05-07,20.6296020861
2020-05-08,22.7588243999
2020-05-11,22.7146496631
2020-05-12,21.8134850323
2020-05-13,20.7091166123
2020-05-14,21.6897957693
2020-05-15,22.4584361896
2020-05-18,23.8543578726
2020-05-19,24.4109595562
2020-05-20,25.0205709241
2020-05-21,25.9040656601
2020-05-22,23.7041637674
2020-05-26,24.9322214505
2020-05-27,26.0100850284
2020-05-28,25.2502795555
2020-05-29,24.4728041878
2020-06-01,25.7980462918
2020-06-02,25.7450366076
2020-06-03,27.4766862902
2020-06-04,28.722413868
2020-06-05,29.5087241831
2020-06-08,31.028335129
2020-06-09,30.144840393
2020-06-10,28.6605692365
2020-06-11,25.8952307128
2020-06-12,26.1161043968
2020-06-15,25.8157161865
2020-06-16,26.5313469227
2020-06-17,25.656687134
2020-06-18,25.8422210286
2020-06-19,24.8173671348
2020-06-22,26.0807646073
2020-06-23,26.6285313437
2020-06-24,25.43581345
2020-06-25,25.9305705022
2020-06-26,23.9427073462
2020-06-29,26.0012500811
2020-06-30,25.7627065024
2020-07-01,25.4976580816
2020-07-02,25.974745239
2020-07-06,26.1691140809
2020-07-07,25.1972698713
2020-07-08,25.4976580816
2020-07-09,24.7290176612
2020-07-10,25.4799881868
2020-07-13,24.7290176612
2020-07-14,24.3137751353
2020-07-15,25.753871555
2020-07-16,25.5241629236
2020-07-17,24.4904740825
2020-07-20,24.3402799774
2020-07-21,26.6992109225
2020-07-22,26.2309587124
2020-07-23,27.3353271325
2020-07-24,26.3458130281
2020-07-27,26.3899877649
2020-07-28,26.6020265016
