date,DFS
2017-09-11,49.2050394863
2017-09-12,49.0359209453
2017-09-13,50.1351914614
2017-09-14,49.5940121304
2017-09-15,50.2535744401
2017-09-18,50.9469604579
2017-09-19,51.1499027071
2017-09-20,51.0230638014
2017-09-21,51.1583586341
2017-09-22,51.9278479954
2017-09-25,52.3506443477
2017-09-26,53.0102066574
2017-09-27,54.1686686628
2017-09-28,54.4223464743
2017-09-29,54.5238175988
2017-10-02,55.098820638
2017-10-03,55.5892644067
2017-10-04,55.3778662306
2017-10-05,55.7837507288
2017-10-06,55.5977203338
2017-10-09,55.284851033
2017-10-10,55.2510273249
2017-10-11,54.8282309725
2017-10-12,53.9572704867
2017-10-13,54.016461976
2017-10-16,55.2594832519
2017-10-17,54.6760242857
2017-10-18,55.2933069601
2017-10-19,55.5216169904
2017-10-20,56.2911063516
2017-10-23,56.5194163819
2017-10-24,56.9844923695
2017-10-25,55.098820638
2017-10-26,56.3925774762
2017-10-27,56.4686808196
2017-10-30,56.2403707893
2017-10-31,56.2572826434
2017-11-01,56.5701519442
2017-11-02,56.5955197253
2017-11-03,57.0267720047
2017-11-06,56.6716230687
2017-11-07,56.1811793
2017-11-08,55.8852218534
2017-11-09,55.3609543765
2017-11-10,54.7605835561
2017-11-13,54.9635258053
2017-11-14,54.2955075685
2017-11-15,55.1918358355
2017-11-16,54.8113191184
2017-11-17,55.0142613675
2017-11-20,55.6569118231
2017-11-21,55.8006625829
2017-11-22,55.6816483726
2017-11-24,55.5966382225
2017-11-27,55.5456321323
2017-11-28,57.4923645716
2017-11-29,58.6655046442
2017-11-30,60.0171660322
2017-12-01,60.4592188132
2017-12-04,62.4314542975
2017-12-05,62.210427907
2017-12-06,62.0064035466
2017-12-07,62.4399553125
2017-12-08,62.7374908382
2017-12-11,63.2050466642
2017-12-12,63.8341217756
2017-12-13,62.7544928682
2017-12-14,62.6269776429
2017-12-15,63.4090710247
2017-12-18,64.5737100822
2017-12-19,64.5652090672
2017-12-20,64.3866877518
2017-12-21,64.6417182024
2017-12-22,65.5683288394
2017-12-26,65.6788420347
2017-12-27,65.4238115841
2017-12-28,65.8828663951
2017-12-29,65.389807524
2018-01-02,65.381306509
2018-01-03,65.8658643651
2018-01-04,66.5204425215
2018-01-05,66.4439333863
2018-01-08,65.9423735002
2018-01-09,66.5119415065
2018-01-10,67.5575663538
2018-01-11,68.3141566905
2018-01-12,68.4416719157
2018-01-16,67.1070125578
2018-01-17,67.0985115428
2018-01-18,66.4949394765
2018-01-19,66.5799496266
2018-01-22,67.0475054527
2018-01-23,66.9199902274
2018-01-24,66.9369922574
2018-01-25,68.2631506004
2018-01-26,68.8412196216
2018-01-29,69.1217531172
2018-01-30,67.7700917293
2018-01-31,67.8380998494
2018-02-01,68.535183081
2018-02-02,67.1325156029
2018-02-05,63.6556004602
2018-02-06,64.7267283526
2018-02-07,65.1432780885
2018-02-08,61.5473487356
2018-02-09,63.0010223038
2018-02-12,64.5652090672
2018-02-13,65.0327648932
2018-02-14,65.9763775603
2018-02-15,66.7924750021
