date,UTX
2021-10-11,81.3415452473
2021-10-12,81.187712088
2021-10-13,81.1515160505
2021-10-14,80.6900165725
2021-10-15,82.2735932127
2021-10-18,82.1650051002
2021-10-19,82.5541125032
2021-10-20,82.961317925
2021-10-21,82.8979748594
2021-10-22,83.1242000937
2021-10-25,82.6174555688
2021-10-26,80.6809675632
2021-10-27,80.6809675632
2021-10-28,80.7081145913
2021-10-29,80.409497282
2021-11-01,80.1289779915
2021-11-02,79.4503022885
2021-11-03,80.2375661039
2021-11-04,79.6855765322
2021-11-05,82.5088674564
2021-11-08,82.0835640159
2021-11-09,82.3369362783
2021-11-10,81.6039665191
2021-11-11,80.5814284601
2021-11-12,80.409497282
2021-11-15,80.8528987412
2021-11-16,80.4456933195
2021-11-17,79.1335869605
2021-11-18,79.1064399324
2021-11-19,77.7593276197
2021-11-22,79.00631672
2021-11-23,79.4705243412
2021-11-24,79.3612990186
2021-11-26,75.5475148359
2021-11-29,75.4929021746
2021-11-30,73.6542759099
2021-12-01,71.9521812985
2021-12-02,74.3278320663
2021-12-03,73.8272160041
2021-12-06,76.2392752127
2021-12-07,77.3770389904
2021-12-08,78.7332534133
2021-12-09,78.4237816658
2021-12-10,78.4237816658
2021-12-13,76.7580954953
2021-12-14,76.002620347
2021-12-15,75.9389055754
2021-12-16,75.2744515293
2021-12-17,74.8921629
2021-12-20,73.7543991223
2021-12-21,76.1664583309
2021-12-22,76.5214406296
2021-12-23,77.2769157779
2021-12-27,77.5863875255
2021-12-28,78.2963521227
2021-12-29,78.1780246898
2021-12-30,78.0961056978
2021-12-31,78.3327605636
2022-01-03,79.1610525937
2022-01-04,81.9371962112
2022-01-05,81.5276012512
2022-01-06,81.9736046521
2022-01-07,82.3194848405
2022-01-10,81.6732350148
2022-01-11,82.5743439267
2022-01-12,82.8929177844
2022-01-13,83.3389211852
2022-01-14,84.0397836723
2022-01-18,82.6016502573
2022-01-19,81.6459286841
2022-01-20,80.4262459145
2022-01-21,79.379503239
2022-01-24,80.2077952692
2022-01-25,82.2011574076
2022-01-26,80.9905767482
2022-01-27,81.2636400548
2022-01-28,82.219361628
2022-01-31,82.0919320849
2022-02-01,82.5834460369
2022-02-02,84.2309279869
2022-02-03,84.4766849629
2022-02-04,84.6587271673
2022-02-07,85.5871424099
2022-02-08,86.5337618729
2022-02-09,87.3802581235
2022-02-10,86.5246597627
2022-02-11,86.7158040773
2022-02-14,85.1684453397
2022-02-15,85.5962445201
2022-02-16,86.2424943458
2022-02-17,85.8875120472
2022-02-18,84.9864031353
2022-02-22,85.141139009
2022-02-23,83.9578646803
2022-02-24,86.251596456
2022-02-25,89.7931739445
2022-02-28,93.9844982073
2022-03-01,94.0119522963
2022-03-02,92.1908310555
2022-03-03,91.3580570207
2022-03-04,91.1384243083
2022-03-07,89.8572334856
2022-03-08,86.8006782372
2022-03-09,90.1592284652
2022-03-10,90.1500771022
2022-03-11,88.6950103822
2022-03-14,88.8048267384
2022-03-15,89.3356057935
2022-03-16,87.670057724
2022-03-17,89.4545735128
2022-03-18,89.2440921633
2022-03-21,91.458722014
2022-03-22,92.7765182887
2022-03-23,92.6392478434
2022-03-24,93.0785132684
2022-03-25,93.7374114057
2022-03-28,92.9686969121
2022-03-29,92.5019773981
2022-03-30,92.2731933227
2022-03-31,90.6625534313
2022-04-01,91.6692033634
2022-04-04,90.8730347807
2022-04-05,90.4246179928
2022-04-06,90.1043202871
2022-04-07,92.410463768
2022-04-08,91.8796847128
2022-04-11,93.4445677891
2022-04-12,93.8929845771
2022-04-13,94.5976395295
2022-04-14,95.4212622013
2022-04-18,95.4487162903
2022-04-19,95.6775003658
2022-04-20,96.0618576126
2022-04-21,93.0968159944
2022-04-22,91.96204698
2022-04-25,91.1567270343
2022-04-26,90.7723697875
2022-04-27,90.4520720818
2022-04-28,89.7565684924
2022-04-29,86.8555864153
2022-05-02,86.224142367
2022-05-03,87.3040032032
2022-05-04,89.4637248758
2022-05-05,88.145928601
2022-05-06,87.212489573
2022-05-09,83.9637557012
2022-05-10,83.9088475231
2022-05-11,83.2774034748
2022-05-12,83.7166688997
2022-05-13,84.1193288726
2022-05-16,84.6318052016
2022-05-17,86.8921918674
2022-05-18,84.7507729209
2022-05-19,83.0943762144
2022-05-20,82.9378549517
2022-05-23,84.549103244
2022-05-24,85.8196876116
2022-05-25,86.14193727
2022-05-26,87.4677644362
2022-05-27,89.0421841961
2022-05-31,87.5782500334
2022-06-01,87.2928289073
2022-06-02,88.6094489404
2022-06-03,88.6923131383
2022-06-06,89.502540851
2022-06-07,92.5408947735
2022-06-08,91.3623817369
2022-06-09,89.6590621137
2022-06-10,87.918913958
2022-06-13,84.6595888412
2022-06-14,84.0795394559
2022-06-15,84.9634242334
2022-06-16,82.4222554982
2022-06-17,81.8329989799
2022-06-21,85.5526807517
2022-06-22,85.2212239602
2022-06-23,84.4846533123
2022-06-24,86.7311937883
2022-06-27,87.2928289073
2022-06-28,86.3444941982
2022-06-29,85.9025518095
2022-06-30,88.4897562102
2022-07-01,89.3276053221
2022-07-05,85.5526807517
2022-07-06,86.4733940616
2022-07-07,86.4918083278
2022-07-08,87.5782500334
2022-07-11,87.2007575764
2022-07-12,87.0074077813
2022-07-13,84.5306889778
2022-07-14,82.9378549517
2022-07-15,83.9966752581
2022-07-18,82.680055225
2022-07-19,86.3813227306
2022-07-20,87.3112431735
2022-07-21,87.3664859721
2022-07-22,86.7404009214
2022-07-25,87.071857713
2022-07-26,83.0851690813
2022-07-27,83.1127904806
2022-07-28,85.0647026975
2022-07-29,85.8196876116
2022-08-01,85.8473090109
2022-08-02,86.3168727989
2022-08-03,87.0350291806
2022-08-04,85.4237808883
2022-08-05,85.6539592158
2022-08-08,83.9690538588
2022-08-09,84.6503817081
2022-08-10,86.0130374066
2022-08-11,85.764444813
2022-08-12,87.4769715693
2022-08-15,88.5081704763
2022-08-16,87.5138001017
2022-08-17,87.4585573031
2022-08-18,87.7071498968
2022-08-19,86.4940111958
2022-08-22,84.993793871
2022-08-23,85.5957329211
2022-08-24,86.4106657889
2022-08-25,89.0221552062
2022-08-26,86.6051384051
2022-08-29,85.3086542972
2022-08-30,84.1140367978
2022-08-31,83.1138919146
2022-09-01,81.5210685821
2022-09-02,81.1136021482
2022-09-06,80.7153963151
2022-09-07,80.9839537374
2022-09-08,80.1597602689
2022-09-09,81.5303291829
2022-09-12,81.3080747644
2022-09-13,77.5297496501
2022-09-14,80.0115906565
2022-09-15,79.2800031957
2022-09-16,78.9003185641
2022-09-19,78.6688035448
2022-09-20,78.8540155602
2022-09-21,78.0853856963
2022-09-22,77.2797134293
2022-09-23,75.9647081199
2022-09-26,75.0942116474
2022-09-27,75.0108662405
2022-09-28,77.1408044177
2022-09-29,76.2517867437
2022-09-30,75.8072779068
2022-10-03,76.9648530031
2022-10-04,79.2059183895
2022-10-05,78.9095791649
2022-10-06,78.0483432932
2022-10-07,77.7983070724
2022-10-10,77.937216084
2022-10-11,78.3354219171
2022-10-12,76.8537257938
2022-10-13,78.5947187387
2022-10-14,76.483301763
2022-10-17,78.2242947079
2022-10-18,80.9006083305
2022-10-19,81.1506445513
2022-10-20,80.7894811213
2022-10-21,81.9933592214
2022-10-24,83.0953707131
2022-10-25,81.8266684076
2022-10-26,83.826958174
2022-10-27,85.0123150726
2022-10-28,88.0497921253
2022-10-31,87.8090165053
2022-11-01,88.4850403615
2022-11-02,87.1885562536
2022-11-03,87.7904953037
2022-11-04,88.1794405361
2022-11-07,89.0591976093
2022-11-08,89.151803617
2022-11-09,88.0960951291
2022-11-10,90.6057179379
2022-11-11,86.7255262151
2022-11-14,86.0772841612
2022-11-15,88.70729478
2022-11-16,87.373768269
2022-11-17,88.0497921253
2022-11-18,88.8228940767
2022-11-21,89.6053105094
2022-11-22,90.2107517966
2022-11-23,90.4715572742
2022-11-25,90.7882496398
2022-11-28,90.2573242033
2022-11-29,90.7509917144
2022-11-30,91.9525598076
2022-12-01,92.6790893522
2022-12-02,94.0855760349
2022-12-05,93.7781981506
2022-12-06,91.9618742889
2022-12-07,92.2506232105
2022-12-08,92.6697748709
2022-12-09,91.5334081472
2022-12-12,92.7349762403
2022-12-13,93.0423541246
2022-12-14,93.0982410126
2022-12-15,91.7383267367
2022-12-16,91.5986095166
2022-12-19,90.8534510092
2022-12-20,91.4495778151
2022-12-21,92.9212658671
2022-12-22,91.7569556994
2022-12-23,92.4927997254
2022-12-27,92.8281210537
2022-12-28,92.3437680239
2022-12-29,93.4521913036
2022-12-30,94.0017457028
2023-01-03,93.899286408
2023-01-04,93.927229852
2023-01-05,93.9644877774
2023-01-06,95.4361758294
2023-01-09,92.7722341656
2023-01-10,93.0702975686
2023-01-11,92.7629196843
2023-01-12,93.7781981506
2023-01-13,91.9153018822
2023-01-17,91.6824398486
2023-01-18,89.1768443677
2023-01-19,87.7796721664
2023-01-20,87.8914459425
2023-01-23,89.6518829161
2023-01-24,92.6511459082
2023-01-25,93.1541279007
2023-01-26,93.3776754529
2023-01-27,92.7722341656
2023-01-30,91.9432453262
2023-01-31,93.0050961992
2023-02-01,91.6731253673
2023-02-02,90.3132110914
2023-02-03,89.866115987
2023-02-06,90.9465958226
2023-02-07,91.1608288935
2023-02-08,90.955910304
2023-02-09,91.1421999308
2023-02-10,93.7129967812
2023-02-13,93.6664243745
2023-02-14,94.4208973632
2023-02-15,94.5047276952
2023-02-16,94.0483181095
2023-02-17,94.5513001019
2023-02-21,93.7502547065
2023-02-22,93.6198519678
2023-02-23,93.3217885648
2023-02-24,93.3030567727
2023-02-27,92.8722255529
2023-02-28,91.870074672
2023-03-01,91.8232451916
2023-03-02,92.7223712155
2023-03-03,92.7411030077
2023-03-06,93.2000319157
2023-03-07,91.9543677368
2023-03-08,91.2238278424
2023-03-09,89.8470411183
2023-03-10,89.9126023908
2023-03-13,91.2800232189
2023-03-14,92.0854902819
2023-03-15,89.7533821574
2023-03-16,91.860708776
2023-03-17,89.6784549888
2023-03-20,91.3455844914
2023-03-21,91.7951475034
2023-03-22,90.5682151166
2023-03-23,89.9126023908
2023-03-24,90.3247018185
2023-03-27,90.7648989343
2023-03-28,90.6618740774
2023-03-29,91.5048047248
2023-03-30,91.1957301541
2023-03-31,91.7202203347
2023-04-03,94.2021827966
2023-04-04,93.2000319157
2023-04-05,92.4975897096
2023-04-06,91.982465425
2023-04-10,93.3030567727
2023-04-11,93.3967157335
2023-04-12,95.0825770283
2023-04-13,95.2324313656
2023-04-14,95.2324313656
2023-04-17,96.5717545054
2023-04-18,98.0234683982
2023-04-19,97.4896123215
2023-04-20,96.3188753112
2023-04-21,95.7662874423
2023-04-24,95.96297126
2023-04-25,94.6798434968
2023-04-26,91.4860729327
2023-04-27,93.0876411628
2023-04-28,93.565301863
2023-05-01,93.9680353945
2023-05-02,92.6006145665
2023-05-03,90.9990463364
2023-05-04,89.8376752222
2023-05-05,90.4558243636
2023-05-08,89.481771171
2023-05-09,90.1654815851
2023-05-10,90.1935792733
2023-05-11,89.481771171
2023-05-12,89.9032364947
2023-05-15,90.5682151166
2023-05-16,89.4068440024
2023-05-17,90.4464584675
2023-05-18,90.5869469088
2023-05-19,90.5869469088
2023-05-22,90.1440480734
2023-05-23,88.6551541161
2023-05-24,88.259372178
2023-05-25,87.7505096863
2023-05-26,87.882436999
2023-05-30,87.467808302
2023-05-31,86.8270184976
2023-06-01,88.6645774955
2023-06-02,90.5398300114
2023-06-05,90.2288584886
2023-06-06,91.8214096202
2023-06-07,92.90509826
2023-06-08,93.3668438544
2023-06-09,93.6118517208
2023-06-12,93.6872387566
2023-06-13,93.9416700024
2023-06-14,91.2748536106
2023-06-15,92.3491188709
2023-06-16,92.1041110045
2023-06-20,92.0664174866
2023-06-21,93.3574204749
2023-06-22,91.3313938874
2023-06-23,91.3219705079
2023-06-26,90.9827288468
2023-06-27,90.9638820878
2023-06-28,90.3419390424
2023-06-29,92.1606512814
2023-06-30,92.311425353
2023-07-03,92.7166306705
2023-07-05,92.5752799783
2023-07-06,92.3962357683
2023-07-07,91.8025628612
2023-07-10,91.8591031381
2023-07-11,92.3773890093
2023-07-12,91.2371600926
2023-07-13,91.5669783743
2023-07-14,90.6246404267
2023-07-17,90.7659911188
2023-07-18,90.2382818681
2023-07-19,90.0592376581
2023-07-20,91.5575549949
2023-07-21,90.8319547752
2023-07-24,91.4162043027
2023-07-25,82.0776352414
2023-07-26,81.3237648832
2023-07-27,80.2589230024
2023-07-28,82.3037963488
2023-07-31,82.8597757379
2023-08-01,82.8974692558
2023-08-02,80.5322010072
2023-08-03,79.7877540286
2023-08-04,79.6746734748
2023-08-07,80.5416243867
2023-08-08,81.238954468
2023-08-09,82.7090016663
2023-08-10,81.2483778474
2023-08-11,81.832627375
2023-08-14,81.4556921959
2023-08-15,80.7206685967
2023-08-16,80.230652864
2023-08-17,80.7960556326
2023-08-18,81.412819416
2023-08-21,81.1471365554
2023-08-22,80.9668517572
2023-08-23,81.6405475822
2023-08-24,80.7960556326
2023-08-25,80.3595766473
2023-08-28,81.3558873745
2023-08-29,80.9858291044
2023-08-30,82.0106058523
2023-08-31,81.6405475822
2023-09-01,81.8682757484
2023-09-05,80.7011688966
2023-09-06,79.2399131635
2023-09-07,80.017984398
2023-09-08,79.2114471428
2023-09-11,72.9678999195
2023-09-12,71.6964176582
2023-09-13,71.6964176582
2023-09-14,71.6394856166
2023-09-15,71.9241458244
2023-09-18,71.3358480617
2023-09-19,71.2409613258
2023-09-20,70.6241975423
2023-09-21,68.9257249694
2023-09-22,67.9199255687
2023-09-25,68.3658932275
2023-09-26,68.565155373
2023-09-27,69.1534531356
2023-09-28,68.3184498596
2023-09-29,68.2899838388
2023-10-02,67.6921974025
2023-10-03,66.9710582096
2023-10-04,66.5345792244
2023-10-05,65.8324173786
2023-10-06,66.2024756487
2023-10-09,69.2578285452
2023-10-10,69.5994207945
2023-10-11,69.5614661001
2023-10-12,69.5519774265
2023-10-13,69.5045340585
2023-10-16,70.1972072307
2023-10-17,70.1118091684
2023-10-18,70.4439127441
2023-10-19,70.1118091684
2023-10-20,68.8403269071
2023-10-23,69.3906699754
2023-10-24,74.372223611
2023-10-25,74.4006896318
2023-10-26,75.1028514776
2023-10-27,75.1123401512
2023-10-30,74.5525084093
2023-10-31,77.2283143621
2023-11-01,77.9494535551
2023-11-02,78.5472399913
2023-11-03,78.4903079498
2023-11-06,78.1866703949
2023-11-07,78.4428645818
2023-11-08,78.9457642822
2023-11-09,78.2151364156
2023-11-10,78.0158742702
2023-11-13,77.835589472
2023-11-14,76.5641072107
2023-11-15,76.5071751691
2023-11-16,76.6874599674
2023-11-17,76.1617451103
2023-11-20,75.674264061
2023-11-21,74.6993019625
2023-11-22,76.2955634376
2023-11-24,76.4484986687
2023-11-27,75.9610176194
2023-11-28,76.6492261596
2023-11-29,77.3756685075
2023-11-30,77.8822664607
2023-12-01,78.6851764242
2023-12-04,79.4594110319
2023-12-05,79.0388391462
2023-12-06,79.0579560501
2023-12-07,77.9013833646
2023-12-08,77.7293312296
2023-12-11,78.2741629905
2023-12-12,77.4616945751
2023-12-13,79.5454370994
2023-12-14,78.2454876347
2023-12-15,76.7352522271
2023-12-18,77.1271487569
2023-12-19,78.9719299826
2023-12-20,78.0352016919
2023-12-21,78.3888644139
2023-12-22,79.5549955514
2023-12-26,80.338788611
2023-12-27,80.4534900343
2023-12-28,80.4534900343
2023-12-29,80.4248146785
2024-01-02,81.4571274887
2024-01-03,81.8299071146
2024-01-04,81.6387380757
2024-01-05,81.6100627199
2024-01-08,82.0497515094
2024-01-09,82.0115177016
2024-01-10,82.2791543561
2024-01-11,81.5527120082
2024-01-12,82.5181156548
2024-01-16,81.7247641432
2024-01-17,81.2946338056
2024-01-18,81.6960887874
2024-01-19,81.7534394991
2024-01-22,81.2659584498
2024-01-23,85.5959371816
2024-01-24,85.5385864699
2024-01-25,86.9245620022
2024-01-26,86.417964049
2024-01-29,86.1025351348
2024-01-30,86.599574636
2024-01-31,87.0966141372
2024-02-01,88.1002515916
2024-02-02,87.9186410046
2024-02-05,88.1671607552
2024-02-06,88.205394563
2024-02-07,87.8708487449
2024-02-08,87.0201465216
2024-02-09,86.5135485685
2024-02-12,87.1157310411
2024-02-13,86.590016184
2024-02-14,87.3546923398
2024-02-15,87.7370304176
2024-02-16,86.9914711658
2024-02-20,86.96279581
2024-02-21,86.2267950101
2024-02-22,86.1407689425
2024-02-23,86.6025981517
2024-02-26,86.6122195935
2024-02-27,86.9970772678
2024-02-28,86.516005175
2024-02-29,86.2754691285
2024-03-01,86.4005478727
2024-03-04,86.5063837331
2024-03-05,86.650705361
2024-03-06,86.8431341981
2024-03-07,87.1221560119
2024-03-08,87.4396635932
2024-03-11,87.9399785697
2024-03-12,86.5448695005
2024-03-13,87.1317774538
2024-03-14,88.2863504766
2024-03-15,89.4120591738
2024-03-18,89.9219955922
2024-03-19,91.2689974521
2024-03-20,91.2593760103
2024-03-21,90.6917109407
2024-03-22,91.9232554984
2024-03-25,92.0098484751
2024-03-26,92.4235704749
2024-03-27,93.760950893
2024-03-28,93.8379224279
2024-04-01,94.0592155906
2024-04-02,94.8193094972
2024-04-03,93.8571653116
2024-04-04,95.5505390783
2024-04-05,97.8404422402
2024-04-08,98.0232496355
2024-04-09,97.7538492635
2024-04-10,97.522934659
2024-04-11,96.9648910313
2024-04-12,96.310632985
2024-04-15,96.2336614502
2024-04-16,97.0226196824
2024-04-17,96.9360267057
2024-04-18,96.8975409383
2024-04-19,97.7153634961
2024-04-22,97.7153634961
2024-04-23,97.5421775427
2024-04-24,97.1958056358
2024-04-25,97.8596851239
2024-04-26,97.5710418682
2024-04-29,98.5620503795
2024-04-30,97.6768777287
2024-05-01,97.388234473
2024-05-02,98.0328710774
2024-05-03,97.5614204264
2024-05-06,98.0521139611
2024-05-07,99.3221442862
2024-05-08,100.005266658
2024-05-09,101.7371261922
2024-05-10,102.2951698199
2024-05-13,101.7948548433
2024-05-14,101.6986404247
