date,FLIR
2017-12-18,45.650741257
2017-12-19,45.3260967887
2017-12-20,45.0110006872
2017-12-21,45.2306131216
2017-12-22,45.2210647549
2017-12-26,44.7054529524
2017-12-27,45.049194154
2017-12-28,44.8868719199
2017-12-29,44.5144856181
2018-01-02,44.982355587
2018-01-03,45.3356451554
2018-01-04,45.4597739227
2018-01-05,46.0708693924
2018-01-08,47.4267374657
2018-01-09,47.1593831977
2018-01-10,47.4649309325
2018-01-11,47.9900911018
2018-01-12,48.0091878352
2018-01-16,48.0664780355
2018-01-17,48.5534447379
2018-01-18,49.0308630735
2018-01-19,50.0334415785
2018-01-22,49.5369265094
2018-01-23,49.0022179734
2018-01-24,49.4987330425
2018-01-25,49.8711193443
2018-01-26,50.415376247
2018-01-29,50.0716350453
2018-01-30,49.1549918408
2018-01-31,48.8971859396
2018-02-01,49.0977016405
2018-02-02,47.6845433669
2018-02-05,45.8130634911
2018-02-06,46.2236432598
2018-02-07,46.2140948931
2018-02-08,44.3617117507
2018-02-09,44.91551702
2018-02-12,45.5266124897
2018-02-13,46.0326759255
2018-02-14,46.8538354629
2018-02-15,47.2453184981
2018-02-16,46.8729321963
2018-02-20,46.615126295
2018-02-21,46.1281595927
2018-02-22,45.851256958
2018-02-23,46.4548150834
2018-02-26,47.5565481695
2018-02-27,46.9817309072
2018-02-28,47.0392126334
2018-03-01,47.0966943597
2018-03-02,46.8763477424
2018-03-05,47.6044496081
2018-03-06,48.3804529122
2018-03-07,47.9397596777
2018-03-08,48.1696865827
2018-03-09,49.3768028335
2018-03-12,48.6870221188
2018-03-13,49.2139379426
2018-03-14,48.5241572278
2018-03-15,48.2942303228
2018-03-16,47.834376513
2018-03-19,47.3649424154
2018-03-20,47.997241404
2018-03-21,48.4858360769
2018-03-22,47.4799058679
2018-03-23,47.1254352228
2018-03-26,48.4666755015
2018-03-27,47.834376513
2018-03-28,47.1062746474
2018-03-29,47.9110188146
2018-04-02,47.4511650048
2018-04-03,48.418774063
2018-04-04,48.6007995294
2018-04-05,49.1277153532
2018-04-06,48.0834639933
2018-04-09,48.1217851441
2018-04-10,49.0510730516
2018-04-11,49.1181350655
2018-04-12,49.3576422581
2018-04-13,49.2139379426
2018-04-16,49.9707806713
2018-04-17,50.7276234
2018-04-18,50.8425868525
2018-04-19,50.4976964951
2018-04-20,50.3731527549
2018-04-23,49.8558172188
2018-04-24,48.9265293114
2018-04-25,49.9899412467
2018-04-26,50.6893022492
2018-04-27,52.1071848296
2018-04-30,51.3024406623
2018-05-01,51.3503421009
2018-05-02,51.5994295812
2018-05-03,51.4269844025
2018-05-04,52.2317285698
2018-05-07,52.1550862681
2018-05-08,52.8065458321
2018-05-09,53.0652136001
2018-05-10,52.9789910108
2018-05-11,52.94066986
2018-05-14,52.9310895722
2018-05-15,52.6724218042
2018-05-16,52.4424948993
2018-05-17,52.1550862681
2018-05-18,52.0976045419
2018-05-21,52.3945934607
2018-05-22,51.8197761984
2018-05-23,51.8772579247
2018-05-24,52.5095569132
2018-05-25,51.7216733511
2018-05-29,51.1836065282
2018-05-30,51.9426650819
2018-05-31,51.788931704
2018-06-01,52.5864236022
2018-06-04,53.1533154335
2018-06-05,53.0572320722
2018-06-06,53.1629237696
2018-06-07,52.9515403749
2018-06-08,52.9034986943
2018-06-11,52.6921152995
2018-06-12,52.1348318044
2018-06-13,52.336606863
2018-06-14,52.1732651489
2018-06-15,52.7113319718
2018-06-18,52.5768152661
2018-06-19,51.8850150652
2018-06-20,52.2309151656
2018-06-21,52.0963984599
2018-06-22,51.3469482423
2018-06-25,50.0113895212
2018-06-26,50.1651228992
2018-06-27,49.9633478406
2018-06-28,49.9153061599
2018-06-29,49.9345228322
2018-07-02,50.3668979577
2018-07-03,49.5790143956
2018-07-05,49.8192227987
2018-07-06,49.7423561097
2018-07-09,50.3476812855
2018-07-10,50.8857481084
2018-07-11,50.4341563106
2018-07-12,50.6167146969
2018-07-13,50.7608397388
2018-07-16,50.5782813524
2018-07-17,51.1932148643
2018-07-18,52.0387484432
2018-07-19,52.3654318714
2018-07-20,51.8850150652
2018-07-23,50.9530064613
2018-07-24,50.3572896216
2018-07-25,56.2952413457
2018-07-26,56.9582165382
2018-07-27,56.6507497823
2018-07-30,55.6418744894
2018-07-31,56.3048496819
2018-08-01,57.2752916303
2018-08-02,56.468191396
2018-08-03,55.843649548
2018-08-06,55.9205162369
2018-08-07,56.4874080682
2018-08-08,57.169599933
2018-08-09,57.2656832942
2018-08-10,57.0446915634
2018-08-13,57.2176416136
2018-08-14,58.0535668563
2018-08-15,57.5155000334
2018-08-16,57.5731500501
2018-08-17,57.8133584532
2018-08-20,58.9183171074
2018-08-21,58.9759671241
2018-08-22,58.7453670572
2018-08-23,58.9087087712
2018-08-24,59.0821113482
2018-08-27,59.5541516965
2018-08-28,59.5156177905
2018-08-29,60.3248298161
2018-08-30,60.0839929037
2018-08-31,60.4404315341
2018-09-04,60.9895396943
2018-09-05,60.6427345405
2018-09-06,60.7390693054
2018-09-07,59.8046220853
2018-09-10,60.3633637221
2018-09-11,60.5463997755
2018-09-12,60.3440967691
2018-09-13,60.9221053589
2018-09-14,60.613834111
2018-09-17,59.9491242328
2018-09-18,60.2477620042
2018-09-19,59.1110117777
2018-09-20,59.3518486901
2018-09-21,58.8701748653
2018-09-24,58.8220074828
2018-09-25,59.4963508375
2018-09-26,58.5908040469
2018-09-27,58.7738401003
2018-09-28,59.2169800191
2018-10-01,59.2362469721
2018-10-02,58.8894418183
2018-10-03,58.8605413888
2018-10-04,58.0802297926
2018-10-05,57.7623250683
2018-10-08,56.4714392178
2018-10-09,56.2113353525
2018-10-10,54.2268391943
2018-10-11,53.1767902563
2018-10-12,54.0052692349
2018-10-15,53.90893447
2018-10-16,55.1323859849
2018-10-17,55.2768881324
2018-10-18,54.6218117307
2018-10-19,53.812599705
2018-10-22,53.90893447
2018-10-23,53.4946949807
2018-10-24,52.2808769422
2018-10-25,53.3405593567
2018-10-26,52.627682096
2018-10-29,51.2886288631
2018-10-30,44.6607970341
2018-10-31,44.6126296516
2018-11-01,45.999850267
2018-11-02,45.6241446837
2018-11-05,45.2677060533
2018-11-06,46.6741936217
2018-11-07,47.126967017
2018-11-08,47.088433111
2018-11-09,46.6260262392
2018-11-12,45.4700090597
2018-11-13,44.5740957456
2018-11-14,44.9401678525
2018-11-15,45.7975472606
2018-11-16,46.0094837435
2018-11-19,44.1983901623
2018-11-20,42.8786038824
2018-11-21,43.861218485
2018-11-23,44.1415745211
2018-11-26,44.5476074011
2018-11-27,43.0878225231
2018-11-28,44.5959446487
2018-11-29,44.1512419706
2018-11-30,44.3349235116
2018-12-03,44.7892936391
2018-12-04,43.3681785593
2018-12-06,43.252169165
2018-12-07,41.8890587823
2018-12-10,42.5851151479
2018-12-11,42.6141174965
2018-12-12,42.7397943403
2018-12-13,42.4401034051
2018-12-14,41.6860423423
2018-12-17,40.9319812795
2018-12-18,40.5742856472
2018-12-19,41.1736675176
2018-12-20,40.699962491
2018-12-21,40.6032879958
2018-12-24,39.9845712263
2018-12-26,40.9513161786
2018-12-27,41.5120282509
2018-12-28,41.2220047652
2018-12-31,42.0920752223
2019-01-02,41.6570399938
2019-01-03,40.5259483996
2019-01-04,41.9373960299
2019-01-07,41.5700329481
2019-01-08,42.4497708546
2019-01-09,42.807466487
2019-01-10,43.1554946698
2019-01-11,43.1168248717
2019-01-14,42.8944735327
2019-01-15,42.5464453499
2019-01-16,42.6334523956
2019-01-17,43.3971809079
2019-01-18,43.880553384
2019-01-22,43.2425017155
2019-01-23,43.2134993669
2019-01-24,44.083569824
2019-01-25,45.3500057115
2019-01-28,45.5723570505
2019-01-29,45.4176778581
2019-01-30,46.9064650846
2019-01-31,47.2544932675
2019-02-01,47.0031395799
2019-02-04,47.3318328636
2019-02-05,47.7281982941
2019-02-06,48.114896275
2019-02-07,47.9505496331
2019-02-08,48.1245637245
2019-02-11,47.9312147341
2019-02-12,49.1493133739
2019-02-13,49.9613791338
2019-02-14,49.7680301434
2019-02-15,50.667102949
2019-02-19,50.3094073167
2019-02-20,51.0441334804
2019-02-21,50.6767703985
2019-02-22,51.0162320184
2019-02-25,51.0453287287
2019-02-26,50.5021901369
