ticker,fonte,n_dias,ratio_medio,ratio_min,ratio_max,cv_pct,status
RSG,cache,251,0.842844,0.842843,0.842846,0.0001,ok
BK,cache,251,0.767353,0.767352,0.767354,0.0001,ok
BEN,cache,251,0.608222,0.608221,0.608223,0.0001,ok
SHW,cache,251,0.302987,0.302987,0.302988,0.0001,ok
SEE,cache,251,0.83927,0.839269,0.839271,0.0001,ok
HRL,cache,251,0.382958,0.382958,0.382959,0.0001,ok
ISRG,cache,251,0.111111,0.111111,0.111112,0.0001,ok
IVZ,cache,251,0.628955,0.628954,0.628956,0.0001,ok
JBL,cache,251,0.923843,0.92384,0.923845,0.0001,ok
HRB,cache,251,0.673466,0.673465,0.673467,0.0001,ok
IP,cache,251,0.609671,0.60967,0.609672,0.0001,ok
IRM,cache,251,0.566169,0.566167,0.566169,0.0001,ok
CSX,cache,245,0.286318,0.286318,0.286319,0.0001,ok
CPB,cache,251,0.709,0.708999,0.709001,0.0001,ok
SCHW,cache,251,0.875821,0.875819,0.875822,0.0001,ok
PLD,cache,251,0.74459,0.744589,0.744591,0.0001,ok
LEG,cache,251,0.6826,0.682599,0.682601,0.0001,ok
PNR,cache,251,0.569493,0.569493,0.569494,0.0001,ok
LEN,cache,251,0.858306,0.858305,0.858307,0.0001,ok
LNC,cache,251,0.677166,0.677165,0.677167,0.0001,ok
LUV,cache,251,0.88527,0.885269,0.885272,0.0001,ok
KIM,cache,251,0.608575,0.608573,0.608576,0.0001,ok
MET,cache,251,0.629527,0.629526,0.629527,0.0001,ok
PFG,cache,251,0.682736,0.682735,0.682737,0.0001,ok
PFE,cache,251,0.596436,0.596435,0.596437,0.0001,ok
CCL,cache,251,0.868774,0.868773,0.868775,0.0001,ok
PEG,cache,251,0.702514,0.702513,0.702515,0.0001,ok
MOS,cache,251,0.817406,0.817405,0.817407,0.0001,ok
PCG,cache,251,0.9334,0.933399,0.933401,0.0001,ok
ORCL,cache,251,0.857942,0.857941,0.857943,0.0001,ok
MO,cache,251,0.504457,0.504456,0.504458,0.0001,ok
MRK,cache,251,0.695368,0.695368,0.695369,0.0001,ok
MPC,cache,251,0.725984,0.725983,0.725985,0.0001,ok
OKE,cache,251,0.536725,0.536724,0.536726,0.0001,ok
NWL,cache,251,0.65631,0.65631,0.656311,0.0001,ok
NOV,cache,251,0.878908,0.878906,0.878909,0.0001,ok
NKE,cache,251,0.874371,0.87437,0.874372,0.0001,ok
NEM,cache,251,0.783137,0.783135,0.78314,0.0001,ok
MS,cache,251,0.749633,0.749631,0.749634,0.0001,ok
MUR,cache,251,0.685335,0.685333,0.685336,0.0001,ok
VZ,cache,251,0.581761,0.58176,0.581761,0.0001,ok
WY,cache,251,0.671163,0.671162,0.671164,0.0001,ok
WU,cache,251,0.562512,0.56251,0.562513,0.0001,ok
WFC,cache,251,0.746079,0.746078,0.74608,0.0001,ok
WMB,cache,251,0.566989,0.566988,0.56699,0.0001,ok
WM,cache,251,0.827081,0.827081,0.827082,0.0001,ok
ADS,cache,251,0.990782,0.990782,0.990782,0.0,ok
ADSK,cache,251,1.0,1.0,1.0,0.0,ok
