ticker,p_prof,p_ext,salto_pct,status
PFG,45.47,30.0677,-33.87,ok
PG,79.3782,58.6658,-26.09,ok
PGR,32.32,22.917,-29.09,ok
PH,98.34,82.2134,-16.4,ok
PHM,17.98,15.1608,-15.68,ok
PKI,53.8522,50.7675,-5.73,ok
PLD,43.24,31.1983,-27.85,ok
PM,88.98,52.4727,-41.03,ok
PNC,95.5328,66.4356,-30.46,ok
PNR,49.6358,27.8602,-43.87,ok
PNW,64.5933,42.414,-34.34,ok
PPG,99.77,81.168,-18.64,ok
PPL,34.34,21.4576,-37.51,ok
PRGO,145.24,112.2931,-22.68,ok
PRU,82.17,50.3558,-38.72,ok
PSA,250.46,162.8553,-34.98,ok
PSX,82.01,54.5176,-33.52,ok
PTC,35.04,,,dados_faltando
PVH,73.15,72.3813,-1.05,ok
PWR,20.52,19.918,-2.93,ok
PX,103.18,95.2371,-7.7,ok
PXD,124.47,96.6324,-22.36,ok
QCOM,50.41,37.5729,-25.47,ok
QRVO,51.66,50.72,-1.82,ok
R,56.56,41.6751,-26.32,ok
RAI,46.67,42.9948,-7.87,ok
RCL,102.73,86.8924,-15.42,ok
REGN,548.19,513.0837,-6.4,ok
RF,9.65,6.539,-32.24,ok
RHI,47.52,34.825,-26.72,ok
RHT,83.65,81.71,-2.32,ok
RIG,12.27,12.55,2.28,ok
RL,112.66,91.0417,-19.19,ok
ROK,103.98,83.353,-19.84,ok
ROP,190.2752,175.0009,-8.03,ok
ROST,54.55,49.1737,-9.86,ok
RRC,22.94,24.1517,5.28,ok
RSG,44.54,36.3603,-18.36,ok
RTN,125.0635,113.364,-9.35,ok
SBUX,60.82,47.0262,-22.68,ok
SCG,61.3,54.0467,-11.83,ok
SCHW,33.25,28.1093,-15.46,ok
SE,23.73,18.3713,-22.58,ok
SEE,44.93,36.1222,-19.6,ok
SHW,262.45,77.1861,-70.59,ok
SJM,123.95,89.5712,-27.74,ok
SLB,69.64,51.7465,-25.69,ok
SLG,114.03,63.8753,-43.98,ok
SNA,172.42,131.9464,-23.47,ok
SNDK,76.07,,,dados_faltando
SNI,54.65,52.0124,-4.83,ok
SO,47.27,30.666,-35.13,ok
SPG,195.16,114.1596,-41.5,ok
SPGI,98.6785,86.024,-12.82,ok
SPLS,9.53,8.7937,-7.73,ok
SRCL,121.78,117.87,-3.21,ok
SRE,94.85,33.8019,-64.36,ok
STI,43.31,24.2952,-43.9,ok
STJ,62.22,59.36,-4.6,ok
STT,66.57,48.583,-27.02,ok
STX,37.18,22.7337,-38.86,ok
STZ,144.17,119.765,-16.93,ok
SWK,107.23,80.0956,-25.3,ok
SWKS,79.19,62.516,-21.06,ok
SWN,6.3,7.71,22.38,ok
SYK,94.25,80.2584,-14.85,ok
SYMC,21.29,8.1639,-61.65,ok
SYY,41.1437,30.9415,-24.8,ok
T,34.2579,12.4539,-63.65,ok
TAP,94.54,71.3908,-24.49,ok
TDC,26.82,26.25,-2.13,ok
TE,26.82,26.3644,-1.7,ok
TEL,65.49,52.7698,-19.42,ok
TER,21.24,,,dados_faltando
TGNA,25.7,12.5336,-51.23,ok
TGT,73.62,54.1104,-26.5,ok
TIF,77.05,66.9133,-13.16,ok
TJX,71.36,30.6936,-56.99,ok
TMK,57.454,51.6875,-10.04,ok
TMO,142.86,134.6972,-5.71,ok
TMUS,,,,dados_faltando
TRIP,86.15,73.7921,-14.34,ok
TROW,72.09,48.231,-33.1,ok
TRV,114.29,88.0097,-22.99,ok
TSCO,86.29,14.3267,-83.4,ok
TSN,53.78,41.2358,-23.32,ok
TSS,50.15,47.067,-6.15,ok
TT,,,,dados_faltando
TWX,64.44,62.03,-3.74,ok
TXN,55.7388,40.9729,-26.49,ok
TXT,42.45,40.908,-3.63,ok
UA,80.96,,,dados_faltando
UHS,120.02,112.9285,-5.91,ok
UNH,118.92,98.4528,-17.21,ok
UNM,33.297,23.3393,-29.91,ok
UNP,78.51,62.7965,-20.01,ok
UPS,97.09,64.8826,-33.17,ok
URBN,23.09,22.75,-1.47,ok
URI,72.68,68.3773,-5.92,ok
USB,43.01,28.5864,-33.54,ok
UTX,96.9,37.3633,-61.44,ok
V,78.35,70.4323,-10.11,ok
VAR,81.35,69.5498,-14.51,ok
VFC,62.66,42.4927,-32.19,ok
VIAB,40.86,36.8079,-9.92,ok
VLO,71.58,46.5929,-34.91,ok
VMC,95.59,84.6514,-11.44,ok
VNO,100.4608,52.9666,-47.28,ok
VRSN,88.14,82.9155,-5.93,ok
VRTX,126.4,122.89,-2.78,ok
VTR,56.63,36.5829,-35.4,ok
VZ,46.2017,26.3611,-42.94,ok
WAT,135.64,130.35,-3.9,ok
WBA,86.39,57.5677,-33.36,ok
WDC,61.09,39.23,-35.78,ok
WEC,52.23,36.8254,-29.49,ok
WFC,54.89,39.7007,-27.67,ok
WFM,33.6387,32.2475,-4.14,ok
WHR,148.57,98.1398,-33.94,ok
WM,53.98,43.3804,-19.64,ok
WMB,24.41,14.8778,-39.05,ok
WMT,61.68,17.0399,-72.37,ok
WU,18.24,9.9115,-45.66,ok
WY,30.34,20.0208,-34.01,ok
WYNN,68.64,60.4094,-11.99,ok
XEC,89.51,83.9811,-6.18,ok
XEL,36.4,26.0276,-28.5,ok
XL,39.82,36.0887,-9.37,ok
XLNX,47.84,41.4256,-13.41,ok
XOM,78.11,49.6544,-36.43,ok
XRAY,61.41,50.8734,-17.16,ok
XRX,10.72,14.1308,31.82,ok
XYL,36.87,31.8067,-13.73,ok
YUM,73.322,42.8753,-41.52,ok
ZBH,102.47,90.8801,-11.31,ok
ZION,27.47,20.1404,-26.68,ok
ZTS,48.1543,43.3274,-10.02,ok
