Date,PEAK
2021-02-19,22.574968338012695
2021-02-22,22.87818717956543
2021-02-23,23.28754425048828
2021-02-24,23.72721290588379
2021-02-25,22.574968338012695
2021-02-26,22.051902770996094
2021-03-01,22.423355102539062
2021-03-02,22.567384719848633
2021-03-03,22.18077278137207
2021-03-04,22.355125427246094
2021-03-05,22.59770393371582
2021-03-08,22.923662185668945
2021-03-09,22.91609001159668
2021-03-10,23.325439453125
2021-03-11,23.598342895507812
2021-03-12,24.07592010498047
2021-03-15,24.31092071533203
2021-03-16,24.35640525817871
2021-03-17,24.629302978515625
2021-03-18,24.318498611450195
2021-03-19,24.204788208007812
2021-03-22,23.984952926635742
2021-03-23,24.06075668334961
2021-03-24,23.75753402709961
2021-03-25,23.8560848236084
2021-03-26,24.303340911865234
2021-03-29,24.045597076416016
2021-03-30,24.242687225341797
2021-03-31,24.06075668334961
2021-04-01,24.79607582092285
2021-04-05,24.470108032226562
2021-04-06,24.689945220947266
2021-04-07,24.73543357849121
2021-04-08,24.73543357849121
2021-04-09,24.553499221801758
2021-04-12,24.894620895385742
2021-04-13,25.046234130859375
2021-04-14,24.644460678100586
2021-04-15,25.129615783691406
2021-04-16,25.20542335510254
2021-04-19,25.281232833862305
2021-04-20,25.811866760253906
2021-04-21,26.016551971435547
2021-04-22,25.804296493530273
2021-04-23,25.766399383544922
2021-04-26,25.90283203125
2021-04-27,25.71332550048828
2021-04-28,25.455583572387695
2021-04-29,25.675424575805664
2021-04-30,26.031713485717773
2021-05-03,25.887680053710938
2021-05-04,25.796714782714844
2021-05-05,25.084136962890625
2021-05-06,25.43284797668457
2021-05-07,25.639371871948242
2021-05-10,25.63170623779297
2021-05-11,25.111589431762695
2021-05-12,24.56085968017578
2021-05-13,24.912708282470703
2021-05-14,25.302810668945312
2021-05-17,25.486385345458984
2021-05-18,25.547578811645508
2021-05-19,25.43284797668457
2021-05-20,25.379304885864258
2021-05-21,25.19572639465332
2021-05-24,25.585824966430664
2021-05-25,25.66231346130371
2021-05-26,25.44814109802246
2021-05-27,25.19572639465332
2021-05-28,25.53228187561035
2021-06-01,26.060060501098633
2021-06-02,26.14419937133789
2021-06-03,25.899431228637695
2021-06-04,25.769392013549805
2021-06-07,26.075355529785156
2021-06-08,26.213041305541992
2021-06-09,26.47310447692871
2021-06-10,26.725521087646484
2021-06-11,26.60313606262207
2021-06-14,27.00088119506836
2021-06-15,26.595487594604492
2021-06-16,26.182443618774414
2021-06-17,26.12125015258789
2021-06-18,25.310462951660156
2021-06-21,25.884132385253906
2021-06-22,25.761747360229492
2021-06-23,25.884132385253906
2021-06-24,25.899431228637695
2021-06-25,25.998870849609375
2021-06-28,25.66231346130371
2021-06-29,25.761747360229492
2021-06-30,25.463438034057617
2021-07-01,25.47873878479004
2021-07-02,25.555233001708984
2021-07-06,25.98356819152832
2021-07-07,26.266586303710938
2021-07-08,26.14419937133789
2021-07-09,26.587833404541016
2021-07-12,26.763763427734375
2021-07-13,26.373666763305664
2021-07-14,26.74846076965332
2021-07-15,26.98558807373047
2021-07-16,27.199750900268555
2021-07-19,26.725521087646484
2021-07-20,27.536312103271484
2021-07-21,27.63574981689453
2021-07-22,27.582202911376953
2021-07-23,27.74283218383789
2021-07-26,27.834619522094727
2021-07-27,28.278263092041016
2021-07-28,28.17882537841797
2021-07-29,28.408292770385742
2021-07-30,28.278263092041016
2021-08-02,28.0411434173584
2021-08-03,28.10233497619629
2021-08-04,28.262969970703125
2021-08-05,28.576568603515625
2021-08-06,28.029090881347656
2021-08-09,27.867170333862305
2021-08-10,27.273433685302734
2021-08-11,27.165481567382812
