linha,ano,semestre,periodo,inicio_semestre,fim_semestre,dia_no_semestre,total_dias_sem,total_dias_ano
306,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,54.0,126.0,254.0
307,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,55.0,126.0,254.0
308,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,56.0,126.0,254.0
309,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,57.0,126.0,254.0
310,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,58.0,126.0,254.0
311,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,59.0,126.0,254.0
312,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,60.0,126.0,254.0
313,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,61.0,126.0,254.0
314,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,62.0,126.0,254.0
315,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,63.0,126.0,254.0
316,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,64.0,126.0,254.0
317,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,65.0,126.0,254.0
318,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,66.0,126.0,254.0
319,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,67.0,126.0,254.0
