date,LLL
2017-08-09,181.73
2017-08-10,183.29
2017-08-11,183.63
2017-08-14,183.0
2017-08-15,181.43
2017-08-16,181.45
2017-08-17,178.59
2017-08-18,178.08
2017-08-21,180.12
2017-08-22,180.67
2017-08-23,179.28
2017-08-24,180.07
2017-08-25,179.22
2017-08-28,178.9
2017-08-29,181.83
2017-08-30,181.61
2017-08-31,181.48
2017-09-01,182.2
2017-09-05,182.85
2017-09-06,181.1
2017-09-07,181.48
2017-09-08,182.2
2017-09-11,183.26
2017-09-12,184.4
2017-09-13,182.72
2017-09-14,184.09
2017-09-15,185.65
2017-09-18,187.3
2017-09-19,189.42
2017-09-20,189.51
2017-09-21,190.32
2017-09-22,189.28
2017-09-25,189.32
2017-09-26,189.01
2017-09-27,188.97
2017-09-28,187.88
2017-09-29,188.43
2017-10-02,191.55
2017-10-03,190.44
2017-10-04,188.62
2017-10-05,189.41
2017-10-06,189.38
2017-10-09,187.69
2017-10-10,187.57
2017-10-11,187.66
2017-10-12,188.82
2017-10-13,187.56
2017-10-16,186.35
2017-10-17,186.1
2017-10-18,185.8
2017-10-19,187.57
2017-10-20,189.42
2017-10-23,189.2
2017-10-24,188.21
2017-10-25,188.48
2017-10-26,185.45
2017-10-27,189.1
2017-10-30,187.77
2017-10-31,187.18
2017-11-01,185.55
2017-11-02,187.56
2017-11-03,186.52
2017-11-06,186.4
2017-11-07,186.1
2017-11-08,187.05
2017-11-09,184.76
2017-11-10,184.22
2017-11-13,185.12
2017-11-14,184.71
2017-11-15,183.09
2017-11-16,185.19
2017-11-17,184.39
2017-11-20,189.22
2017-11-21,190.48
2017-11-22,189.2
2017-11-24,190.02
2017-11-27,192.8
2017-11-28,194.77
2017-11-29,196.45
2017-11-30,198.59
2017-12-01,195.54
2017-12-04,192.94
2017-12-05,195.05
2017-12-06,194.64
2017-12-07,193.62
2017-12-08,193.85
2017-12-11,193.41
2017-12-12,194.39
2017-12-13,193.97
2017-12-14,192.41
2017-12-15,195.05
2017-12-18,194.2
2017-12-19,192.94
2017-12-20,194.1
2017-12-21,195.28
2017-12-22,197.7
2017-12-26,197.33
2017-12-27,198.17
2017-12-28,199.05
2017-12-29,197.85
2018-01-02,198.27
2018-01-03,199.24
2018-01-04,198.27
2018-01-05,201.58
2018-01-08,203.26
2018-01-09,204.99
2018-01-10,205.73
2018-01-11,206.47
2018-01-12,209.46
2018-01-16,207.39
2018-01-17,212.61
2018-01-18,209.99
2018-01-19,210.73
2018-01-22,209.8
2018-01-23,209.2
2018-01-24,209.79
2018-01-25,209.2
2018-01-26,217.01
2018-01-29,217.46
2018-01-30,214.37
2018-01-31,212.46
2018-02-01,214.08
2018-02-02,210.5
2018-02-05,199.39
2018-02-06,202.31
2018-02-07,207.69
2018-02-08,198.79
2018-02-09,202.51
2018-02-12,204.44
2018-02-13,206.61
2018-02-14,209.0
2018-02-15,213.35
2018-02-16,212.89
2018-02-20,210.98
2018-02-21,210.66
2018-02-22,212.02
2018-02-23,213.41
2018-02-26,214.95
2018-02-27,212.84
2018-02-28,207.55
2018-03-01,203.78
2018-03-02,205.25
2018-03-05,206.23
2018-03-06,205.22
2018-03-07,205.37
2018-03-08,207.28
2018-03-09,210.4
2018-03-12,204.77
2018-03-13,206.52
2018-03-14,203.87
2018-03-15,203.75
2018-03-16,205.36
2018-03-19,206.6
2018-03-20,206.79
2018-03-21,206.35
2018-03-22,200.35
2018-03-23,201.7
2018-03-26,208.53
2018-03-27,204.52
2018-03-28,202.64
2018-03-29,208.0
2018-04-02,207.5
2018-04-03,208.43
2018-04-04,210.75
2018-04-05,213.07
2018-04-06,207.78
2018-04-09,208.67
2018-04-10,210.71
2018-04-11,210.41
2018-04-12,211.48
2018-04-13,210.32
2018-04-16,212.65
2018-04-17,213.92
2018-04-18,214.51
2018-04-19,216.06
2018-04-20,215.09
2018-04-23,214.97
2018-04-24,206.85
2018-04-25,202.0
2018-04-26,200.93
2018-04-27,197.3
2018-04-30,195.88
2018-05-01,186.98
2018-05-02,184.26
2018-05-03,183.23
2018-05-04,184.0
2018-05-07,188.4
2018-05-08,192.36
2018-05-09,193.75
2018-05-10,195.57
2018-05-11,196.1
2018-05-14,191.87
2018-05-15,192.03
2018-05-16,193.37
2018-05-17,193.95
2018-05-18,194.06
2018-05-21,196.61
2018-05-22,194.29
2018-05-23,196.19
2018-05-24,198.65
2018-05-25,198.08
2018-05-29,195.88
2018-05-30,199.03
2018-05-31,198.33
2018-06-01,200.31
2018-06-04,200.18
2018-06-05,200.45
2018-06-06,200.98
2018-06-07,202.31
2018-06-08,204.22
2018-06-11,202.3
2018-06-12,201.65
2018-06-13,200.41
2018-06-14,197.76
2018-06-15,197.48
2018-06-18,198.35
2018-06-19,193.63
2018-06-20,195.11
2018-06-21,192.9
2018-06-22,194.14
2018-06-25,192.7
2018-06-26,192.12
2018-06-27,190.75
2018-06-28,191.48
2018-06-29,192.32
2018-07-02,192.65
2018-07-03,193.63
2018-07-05,193.63
2018-07-06,193.57
2018-07-09,196.33
2018-07-10,197.3
2018-07-11,197.29
2018-07-12,202.05
2018-07-13,203.34
2018-07-16,204.2
2018-07-17,203.03
2018-07-18,203.21
2018-07-19,204.45
2018-07-20,203.56
2018-07-23,200.41
2018-07-24,200.42
2018-07-25,200.26
2018-07-26,206.41
2018-07-27,211.93
2018-07-30,211.27
2018-07-31,214.44
2018-08-01,211.7
2018-08-02,211.46
2018-08-03,211.41
2018-08-06,209.29
2018-08-07,211.56
2018-08-08,212.29
2018-08-09,210.93
2018-08-10,210.06
2018-08-13,208.54
2018-08-14,209.86
2018-08-15,208.11
2018-08-16,209.76
2018-08-17,210.38
2018-08-20,211.1
2018-08-21,211.98
2018-08-22,212.25
2018-08-23,209.86
2018-08-24,211.34
2018-08-27,211.9
2018-08-28,212.28
2018-08-29,211.1
2018-08-30,213.37
2018-08-31,213.72
2018-09-04,211.43
2018-09-05,211.0
2018-09-06,211.6
2018-09-07,209.99
2018-09-10,209.7
2018-09-11,207.5
2018-09-12,209.68
2018-09-13,213.84
2018-09-14,216.17
2018-09-17,216.79
2018-09-18,217.61
2018-09-19,214.98
2018-09-20,210.36
2018-09-21,211.46
2018-09-24,209.38
2018-09-25,212.37
2018-09-26,211.45
2018-09-27,212.09
2018-09-28,212.62
2018-10-01,212.48
2018-10-02,211.75
2018-10-03,213.47
2018-10-04,211.59
2018-10-05,210.28
2018-10-08,212.58
2018-10-09,209.16
2018-10-10,201.63
2018-10-11,195.18
2018-10-12,195.78
2018-10-15,220.91
2018-10-16,220.8
2018-10-17,220.16
2018-10-18,218.23
2018-10-19,215.23
2018-10-22,219.23
2018-10-23,215.19
2018-10-24,205.99
2018-10-25,204.38
2018-10-26,204.25
2018-10-29,186.22
2018-10-30,191.8
2018-10-31,189.47
2018-11-01,190.64
2018-11-02,185.9
2018-11-05,190.97
2018-11-06,191.32
2018-11-07,194.49
2018-11-08,192.86
2018-11-09,195.38
2018-11-12,189.47
2018-11-13,191.67
2018-11-14,190.5
2018-11-15,191.72
2018-11-16,191.43
2018-11-19,187.5
2018-11-20,185.53
2018-11-21,184.33
2018-11-23,184.81
2018-11-26,186.19
2018-11-27,180.14
2018-11-28,183.27
2018-11-29,182.94
2018-11-30,183.29
2018-12-03,182.84
2018-12-04,178.27
2018-12-06,179.48
2018-12-07,178.82
2018-12-10,183.65
2018-12-11,187.07
2018-12-12,189.63
2018-12-13,191.9
2018-12-14,191.29
2018-12-17,188.19
2018-12-18,183.89
2018-12-19,177.86
2018-12-20,172.63
2018-12-21,166.24
2018-12-24,164.06
2018-12-26,164.9
2018-12-27,169.37
2018-12-28,169.25
2018-12-31,173.66
2019-01-02,171.85
2019-01-03,167.99
2019-01-04,171.0
2019-01-07,170.68
2019-01-08,170.82
2019-01-09,170.93
2019-01-10,173.2
2019-01-11,175.58
2019-01-14,177.07
2019-01-15,178.16
2019-01-16,175.25
2019-01-17,178.0
2019-01-18,183.29
2019-01-22,178.65
2019-01-23,182.49
2019-01-24,182.48
2019-01-25,184.49
2019-01-28,184.06
2019-01-29,199.59
2019-01-30,198.95
2019-01-31,196.88
2019-02-01,198.25
2019-02-04,202.14
2019-02-05,203.0
2019-02-06,202.73
2019-02-07,202.6
2019-02-08,205.85
2019-02-11,206.59
2019-02-12,208.65
2019-02-13,208.84
2019-02-14,209.04
2019-02-15,212.24
2019-02-19,211.87
2019-02-20,212.96
2019-02-21,211.97
2019-02-22,213.85
2019-02-25,211.25
2019-02-26,209.0
2019-02-27,208.84
2019-02-28,211.75
2019-03-01,211.79
2019-03-04,209.61
2019-03-05,208.29
2019-03-06,205.9
2019-03-07,207.48
2019-03-08,208.26
2019-03-11,210.32
2019-03-12,207.53
2019-03-13,207.88
2019-03-14,206.07
2019-03-15,207.07
2019-03-18,210.35
2019-03-19,209.74
2019-03-20,207.28
2019-03-21,208.73
2019-03-22,205.3
2019-03-25,206.06
2019-03-26,205.87
2019-03-27,204.62
2019-03-28,206.21
2019-03-29,206.37
2019-04-01,211.32
2019-04-02,209.52
2019-04-03,206.67
2019-04-04,210.02
2019-04-05,212.78
2019-04-08,211.99
2019-04-09,210.93
2019-04-10,210.37
2019-04-11,213.74
2019-04-12,217.06
2019-04-15,214.38
2019-04-16,214.9
2019-04-17,215.0
2019-04-18,214.67
2019-04-22,213.34
2019-04-23,216.75
2019-04-24,215.62
2019-04-25,213.51
2019-04-26,215.41
2019-04-29,214.17
2019-04-30,218.58
2019-05-01,232.67
2019-05-02,229.86
2019-05-03,230.09
2019-05-06,230.96
2019-05-07,228.62
2019-05-08,232.01
2019-05-09,234.39
2019-05-10,235.15
2019-05-13,234.34
2019-05-14,235.51
2019-05-15,237.11
2019-05-16,238.31
2019-05-17,237.44
2019-05-20,236.95
2019-05-21,242.89
2019-05-22,243.63
2019-05-23,243.78
2019-05-24,242.15
2019-05-28,240.76
2019-05-29,240.77
2019-05-30,241.56
2019-05-31,242.06
2019-06-03,245.73
2019-06-04,248.66
2019-06-05,255.57
2019-06-06,255.85
2019-06-07,256.37
2019-06-10,254.49
2019-06-11,243.32
2019-06-12,244.03
2019-06-13,245.65
