date,CHK
2017-09-18,4.05
2017-09-19,4.04
2017-09-20,4.19
2017-09-21,4.17
2017-09-22,4.22
2017-09-25,4.37
2017-09-26,4.37
2017-09-27,4.42
2017-09-28,4.35
2017-09-29,4.3
2017-10-02,4.35
2017-10-03,4.29
2017-10-04,4.27
2017-10-05,4.3
2017-10-06,4.2
2017-10-09,4.19
2017-10-10,3.91
2017-10-11,3.95
2017-10-12,3.85
2017-10-13,3.88
2017-10-16,3.82
2017-10-17,3.78
2017-10-18,3.77
2017-10-19,3.84
2017-10-20,3.8
2017-10-23,3.61
2017-10-24,3.65
2017-10-25,3.55
2017-10-26,3.53
2017-10-27,3.77
2017-10-30,3.84
2017-10-31,3.9
2017-11-01,3.96
2017-11-02,3.66
2017-11-03,3.74
2017-11-06,4.18
2017-11-07,4.18
2017-11-08,3.97
2017-11-09,4.11
2017-11-10,4.14
2017-11-13,4.15
2017-11-14,3.94
2017-11-15,3.85
2017-11-16,3.85
2017-11-17,4.02
2017-11-20,3.87
2017-11-21,3.81
2017-11-22,3.97
2017-11-24,3.92
2017-11-27,3.81
2017-11-28,3.87
2017-11-29,4.05
2017-11-30,4.07
2017-12-01,4.09
2017-12-04,3.95
2017-12-05,3.92
2017-12-06,3.77
2017-12-07,3.7
2017-12-08,3.68
2017-12-11,3.83
2017-12-12,3.81
2017-12-13,3.72
2017-12-14,3.64
2017-12-15,3.51
2017-12-18,3.69
2017-12-19,3.61
2017-12-20,3.78
2017-12-21,3.84
2017-12-22,3.85
2017-12-26,4.0
2017-12-27,3.88
2017-12-28,4.04
2017-12-29,3.96
