Date,LLY
2019-06-06,107.9018783569336
2019-06-07,108.68244934082031
2019-06-10,104.62349700927734
2019-06-11,103.04402923583984
2019-06-12,105.82647705078125
2019-06-13,102.68586730957031
2019-06-14,102.61237335205078
2019-06-17,104.13681030273438
2019-06-18,105.28470611572266
2019-06-19,105.81732177734375
2019-06-20,106.1203384399414
2019-06-21,106.05608367919922
2019-06-24,106.18463134765625
2019-06-25,105.93669128417969
2019-06-26,102.24506378173828
2019-06-27,102.36445617675781
2019-06-28,101.7400131225586
2019-07-01,103.53070068359375
2019-07-02,104.8714370727539
2019-07-03,105.073486328125
2019-07-05,103.60415649414062
2019-07-08,102.41036987304688
2019-07-09,103.84294891357422
2019-07-10,105.17449188232422
2019-07-11,100.84923553466797
2019-07-12,99.44422149658203
2019-07-15,99.6095199584961
2019-07-16,99.930908203125
2019-07-17,98.34225463867188
2019-07-18,99.49012756347656
2019-07-19,98.06673431396484
2019-07-22,98.50753021240234
2019-07-23,99.37994384765625
2019-07-24,99.65543365478516
2019-07-25,99.0125961303711
2019-07-26,99.42584991455078
2019-07-29,99.83906555175781
2019-07-30,99.8115463256836
2019-07-31,100.05029296875
2019-08-01,101.48287963867188
2019-08-02,103.23686218261719
2019-08-05,99.82992553710938
2019-08-06,102.30018615722656
2019-08-07,102.04303741455078
2019-08-08,104.66024780273438
2019-08-09,104.47657775878906
2019-08-12,104.32044982910156
2019-08-13,106.24891662597656
2019-08-14,101.84861755371094
2019-08-15,101.79320526123047
2019-08-16,102.06101989746094
2019-08-19,103.91718292236328
2019-08-20,102.5135269165039
2019-08-21,102.92906951904297
2019-08-22,103.0676040649414
2019-08-23,101.12833404541016
2019-08-26,103.2245864868164
2019-08-27,102.25492095947266
2019-08-28,102.47657775878906
2019-08-29,103.65863037109375
2019-08-30,104.32350158691406
2019-09-03,105.23774719238281
2019-09-04,104.58206939697266
2019-09-05,105.82876586914062
2019-09-06,105.32083892822266
2019-09-09,102.56893157958984
2019-09-10,102.59664154052734
2019-09-11,103.1414794921875
2019-09-12,102.93832397460938
2019-09-13,102.4027099609375
2019-09-16,101.70088195800781
2019-09-17,102.61509704589844
2019-09-18,104.09263610839844
2019-09-19,105.59788513183594
2019-09-20,107.26936340332031
2019-09-23,105.44091033935547
2019-09-24,104.58206939697266
2019-09-25,102.86443328857422
2019-09-26,103.26152038574219
2019-09-27,103.7694320678711
2019-09-30,103.270751953125
2019-10-01,102.46733093261719
2019-10-02,98.81045532226562
2019-10-03,99.0782470703125
2019-10-04,99.91860961914062
2019-10-07,99.5769271850586
2019-10-08,98.98589324951172
2019-10-09,99.08747863769531
2019-10-10,98.73655700683594
2019-10-11,100.06634521484375
2019-10-14,99.64155578613281
2019-10-15,101.30377960205078
2019-10-16,99.68771362304688
2019-10-17,100.15868377685547
2019-10-18,100.32492065429688
2019-10-21,99.65079498291016
2019-10-22,101.43305969238281
2019-10-23,99.17981719970703
2019-10-24,99.58612823486328
2019-10-25,101.76551818847656
2019-10-28,104.34197235107422
2019-10-29,103.12300109863281
2019-10-30,104.09263610839844
2019-10-31,105.22850799560547
2019-11-01,103.89872741699219
2019-11-04,104.45279693603516
2019-11-05,102.73516082763672
2019-11-06,105.10844421386719
2019-11-07,104.1388168334961
2019-11-08,104.84063720703125
2019-11-11,104.16651916503906
2019-11-12,104.5082015991211
2019-11-13,104.15727233886719
2019-11-14,103.4560546875
2019-11-15,105.12783813476562
2019-11-18,105.94518280029297
2019-11-19,106.90180206298828
2019-11-20,106.44671630859375
2019-11-21,106.57674407958984
2019-11-22,107.9234390258789
2019-11-25,109.1030044555664
2019-11-26,108.75006866455078
2019-11-27,109.07513427734375
2019-11-29,108.99154663085938
2019-12-02,108.42499542236328
2019-12-03,109.23301696777344
2019-12-04,110.217529296875
2019-12-05,111.23917388916016
2019-12-06,111.11841583251953
2019-12-09,111.67568969726562
2019-12-10,112.0565185546875
2019-12-11,112.17723083496094
2019-12-12,113.03170776367188
2019-12-13,112.8738021850586
2019-12-16,114.09978485107422
2019-12-17,116.40314483642578
2019-12-18,120.25756072998047
2019-12-19,121.53002166748047
2019-12-20,122.99745178222656
2019-12-23,121.80862426757812
2019-12-24,121.7714614868164
2019-12-26,121.79935455322266
2019-12-27,122.15225982666016
2019-12-30,121.94791412353516
2019-12-31,122.06866455078125
