Date,OXY
2018-04-16,61.77945327758789
2018-04-17,62.03510665893555
2018-04-18,62.61243438720703
2018-04-19,62.6701774597168
2018-04-20,63.0660285949707
2018-04-23,63.70104217529297
2018-04-24,63.78350067138672
2018-04-25,63.800010681152344
2018-04-26,63.99794006347656
2018-04-27,63.53609848022461
2018-04-30,63.71757888793945
2018-05-01,63.1567268371582
2018-05-02,63.3629150390625
2018-05-03,63.74229431152344
2018-05-04,64.08866119384766
2018-05-07,63.73402786254883
2018-05-08,64.4927749633789
2018-05-09,67.95659637451172
2018-05-10,69.16068267822266
2018-05-11,70.07609558105469
2018-05-14,70.01012420654297
2018-05-15,69.498779296875
2018-05-16,69.49056243896484
2018-05-17,71.05751037597656
2018-05-18,70.44721221923828
2018-05-21,70.75238037109375
2018-05-22,70.05960845947266
2018-05-23,70.3730239868164
2018-05-24,69.16068267822266
2018-05-25,67.95659637451172
2018-05-29,67.48649597167969
2018-05-30,69.33384704589844
2018-05-31,69.4410629272461
2018-06-01,70.18331909179688
2018-06-04,70.3977279663086
2018-06-05,70.52145385742188
2018-06-06,71.304931640625
2018-06-07,71.32144165039062
2018-06-08,71.12171936035156
2018-06-11,71.68756103515625
2018-06-12,70.67235565185547
2018-06-13,70.173095703125
2018-06-14,70.18974304199219
2018-06-15,69.34097290039062
2018-06-18,69.72374725341797
2018-06-19,68.71687316894531
2018-06-20,69.2660903930664
2018-06-21,68.30912017822266
2018-06-22,69.34097290039062
2018-06-25,67.69336700439453
2018-06-26,68.8000717163086
2018-06-27,69.70710754394531
2018-06-28,69.39922332763672
2018-06-29,69.63220977783203
2018-07-02,68.66693878173828
2018-07-03,69.78199768066406
2018-07-05,70.05660247802734
2018-07-06,70.10652923583984
2018-07-09,70.93863677978516
2018-07-10,71.3131103515625
2018-07-11,69.84024047851562
2018-07-12,70.36447143554688
2018-07-13,69.59889221191406
2018-07-16,68.67526245117188
2018-07-17,68.80840301513672
2018-07-18,69.03308868408203
2018-07-19,69.04974365234375
2018-07-20,69.13292694091797
2018-07-23,68.60869598388672
2018-07-24,69.44914245605469
2018-07-25,70.173095703125
2018-07-26,70.03164672851562
2018-07-27,69.45745086669922
2018-07-30,69.32433319091797
2018-07-31,69.84024047851562
2018-08-01,68.76679229736328
2018-08-02,68.43395233154297
2018-08-03,68.47555541992188
2018-08-06,68.48387145996094
2018-08-07,68.18431854248047
2018-08-08,67.56851959228516
2018-08-09,64.73100280761719
2018-08-10,65.55479431152344
2018-08-13,65.0222396850586
2018-08-14,66.28709411621094
2018-08-15,64.01536560058594
2018-08-16,64.9223861694336
2018-08-17,65.36339569091797
2018-08-20,65.74618530273438
2018-08-21,65.6463394165039
2018-08-22,66.0124740600586
2018-08-23,65.72122192382812
2018-08-24,66.0207748413086
2018-08-27,66.74473571777344
2018-08-28,66.6615219116211
2018-08-29,66.76136779785156
2018-08-30,66.67815399169922
2018-08-31,66.4618148803711
2018-09-04,65.96251678466797
2018-09-05,65.85436248779297
2018-09-06,64.54793548583984
2018-09-07,64.43024444580078
2018-09-10,64.62356567382812
2018-09-11,64.82530212402344
2018-09-12,63.66530990600586
2018-09-13,64.4218521118164
2018-09-14,65.21197509765625
2018-09-17,65.2287826538086
2018-09-18,66.30471801757812
2018-09-19,66.72502136230469
2018-09-20,66.59894561767578
2018-09-21,66.90995788574219
2018-09-24,67.87660217285156
2018-09-25,68.34732055664062
2018-09-26,68.09516143798828
2018-09-27,68.22965240478516
2018-09-28,69.07024383544922
2018-10-01,69.8771743774414
2018-10-02,69.65863800048828
2018-10-03,69.30559539794922
2018-10-04,69.07865142822266
2018-10-05,68.42300415039062
2018-10-08,68.71719360351562
2018-10-09,69.12065124511719
2018-10-10,65.49776458740234
2018-10-11,64.32937622070312
2018-10-12,64.69083404541016
2018-10-15,60.72330856323242
2018-10-16,61.46298599243164
2018-10-17,61.294891357421875
2018-10-18,60.43751907348633
2018-10-19,60.67287063598633
2018-10-22,60.765323638916016
2018-10-23,59.37837600708008
2018-10-24,57.35258865356445
2018-10-25,57.70561981201172
2018-10-26,57.083595275878906
2018-10-29,55.86476516723633
2018-10-30,56.7809944152832
2018-10-31,56.37751388549805
2018-11-01,57.453453063964844
2018-11-02,57.419822692871094
2018-11-05,58.79837417602539
2018-11-06,61.64793395996094
2018-11-07,61.967342376708984
2018-11-08,61.05112075805664
2018-11-09,61.824466705322266
2018-11-12,60.65606689453125
2018-11-13,59.496055603027344
2018-11-14,59.638954162597656
2018-11-15,61.01749038696289
2018-11-16,61.681549072265625
2018-11-19,61.66474533081055
2018-11-20,59.09258270263672
2018-11-21,60.58879470825195
2018-11-23,58.697505950927734
2018-11-26,59.37837600708008
2018-11-27,58.31924057006836
2018-11-28,59.43720626831055
2018-11-29,59.6053352355957
2018-11-30,59.06736373901367
2018-12-03,59.949954986572266
2018-12-04,58.56301498413086
2018-12-06,56.75577926635742
2018-12-07,56.585689544677734
2018-12-10,54.79985427856445
2018-12-11,55.020957946777344
2018-12-12,55.6247444152832
2018-12-13,56.70475387573242
2018-12-14,55.361106872558594
2018-12-17,54.51921844482422
2018-12-18,53.694332122802734
2018-12-19,52.9289665222168
2018-12-20,51.55982971191406
2018-12-21,51.00707244873047
2018-12-24,48.566410064697266
2018-12-26,51.53430938720703
2018-12-27,51.670379638671875
2018-12-28,51.42375946044922
2018-12-31,52.197628021240234
2019-01-02,52.7248649597168
2019-01-03,52.07856369018555
2019-01-04,53.75385665893555
2019-01-07,54.83387756347656
2019-01-08,55.26757049560547
2019-01-09,55.939395904541016
2019-01-10,56.28805160522461
2019-01-11,56.31355667114258
2019-01-14,55.769317626953125
2019-01-15,55.71828079223633
2019-01-16,55.39513397216797
2019-01-17,55.98192596435547
2019-01-18,57.00238037109375
2019-01-22,55.37812042236328
2019-01-23,54.91040802001953
2019-01-24,55.25907897949219
2019-01-25,56.57719039916992
2019-01-28,56.19451904296875
2019-01-29,56.534671783447266
2019-01-30,56.95136642456055
2019-01-31,56.789798736572266
2019-02-01,57.86130142211914
2019-02-04,57.60618209838867
2019-02-05,57.231998443603516
2019-02-06,56.662227630615234
2019-02-07,55.208045959472656
2019-02-08,55.2420539855957
2019-02-11,55.140010833740234
2019-02-12,55.913875579833984
2019-02-13,55.99890899658203
2019-02-14,56.611209869384766
2019-02-15,57.13845443725586
2019-02-19,57.51262664794922
2019-02-20,58.039886474609375
2019-02-21,56.63672637939453
2019-02-22,56.06695556640625
2019-02-25,56.32207107543945
2019-02-26,56.16049575805664
2019-02-27,56.67924880981445
2019-02-28,56.2540397644043
2019-03-01,57.444610595703125
2019-03-04,57.35955810546875
2019-03-05,57.42759323120117
2019-03-06,56.28805160522461
2019-03-07,55.905372619628906
2019-03-08,53.968990325927734
2019-03-11,54.97590637207031
2019-03-12,55.25130081176758
2019-03-13,55.99142837524414
2019-03-14,56.12053680419922
2019-03-15,56.34429168701172
2019-03-18,57.66962814331055
2019-03-19,56.94671630859375
2019-03-20,57.8847770690918
2019-03-21,57.86757278442383
2019-03-22,56.146339416503906
2019-03-25,56.05168151855469
2019-03-26,57.72987365722656
2019-03-27,57.101619720458984
2019-03-28,57.290950775146484
2019-03-29,56.9725341796875
2019-04-01,57.815940856933594
2019-04-02,57.342586517333984
2019-04-03,56.8520393371582
2019-04-04,57.17908477783203
2019-04-05,58.55606460571289
2019-04-08,58.84005355834961
2019-04-09,57.9019889831543
2019-04-10,57.815940856933594
2019-04-11,57.815940856933594
2019-04-12,56.22380828857422
2019-04-15,54.52839279174805
2019-04-16,54.79518127441406
2019-04-17,53.917362213134766
2019-04-18,53.20304870605469
2019-04-22,54.2616081237793
2019-04-23,53.66778564453125
2019-04-24,53.35796356201172
2019-04-25,53.22026443481445
2019-04-26,52.76413345336914
2019-04-29,51.748619079589844
2019-04-30,50.67284393310547
2019-05-01,49.467987060546875
2019-05-02,49.35610580444336
2019-05-03,49.87248229980469
2019-05-06,50.578182220458984
2019-05-07,51.36994552612305
2019-05-08,51.817474365234375
2019-05-09,48.478294372558594
2019-05-10,47.30786895751953
2019-05-13,46.61936569213867
2019-05-14,46.946407318115234
2019-05-15,46.68821716308594
2019-05-16,46.25791549682617
2019-05-17,45.405914306640625
2019-05-20,46.008338928222656
2019-05-21,46.051353454589844
2019-05-22,45.42312240600586
2019-05-23,45.534996032714844
2019-05-24,46.01694107055664
2019-05-28,44.992801666259766
2019-05-29,44.751834869384766
2019-05-30,44.67437744140625
2019-05-31,42.832672119140625
2019-06-03,42.44539260864258
2019-06-04,42.763824462890625
2019-06-05,40.818843841552734
2019-06-06,42.204429626464844
2019-06-07,41.837127685546875
2019-06-10,41.88960647583008
2019-06-11,42.895294189453125
2019-06-12,42.66792297363281
2019-06-13,43.489967346191406
2019-06-14,43.122684478759766
2019-06-17,43.559932708740234
2019-06-18,44.03218460083008
2019-06-19,43.988441467285156
2019-06-20,44.862972259521484
2019-06-21,44.259552001953125
2019-06-24,43.62989044189453
2019-06-25,43.18389129638672
2019-06-26,44.09339141845703
2019-06-27,43.50746536254883
2019-06-28,43.97095489501953
2019-07-01,43.53371047973633
2019-07-02,42.6591682434082
2019-07-03,43.00023651123047
2019-07-05,43.096435546875
2019-07-08,43.11393356323242
2019-07-09,43.38503646850586
2019-07-10,43.935977935791016
2019-07-11,44.11088180541992
2019-07-12,45.23026657104492
2019-07-15,45.15156936645508
2019-07-16,44.68807601928711
2019-07-17,44.75804138183594
2019-07-18,44.609352111816406
2019-07-19,45.76373291015625
2019-07-22,45.92112731933594
2019-07-23,45.300235748291016
2019-07-24,45.51886749267578
2019-07-25,44.72304916381836
2019-07-26,45.1165885925293
2019-07-29,44.52191162109375
2019-07-30,45.88616180419922
2019-07-31,44.91545104980469
2019-08-01,46.49832534790039
2019-08-02,44.75804138183594
2019-08-05,43.21886444091797
2019-08-06,41.60975646972656
2019-08-07,40.228004455566406
2019-08-08,41.21622085571289
2019-08-09,41.21622085571289
2019-08-12,39.34473419189453
2019-08-13,39.14359664916992
2019-08-14,38.21662139892578
2019-08-15,38.44397735595703
2019-08-16,38.977439880371094
2019-08-19,39.860713958740234
2019-08-20,39.58086013793945
2019-08-21,39.40596008300781
2019-08-22,39.091121673583984
2019-08-23,37.053497314453125
2019-08-26,36.84360885620117
2019-08-27,37.036014556884766
2019-08-28,37.700645446777344
2019-08-29,37.92802047729492
2019-08-30,38.024208068847656
2019-09-03,37.3245964050293
2019-09-04,38.111663818359375
2019-09-05,39.43218994140625
2019-09-06,39.755760192871094
2019-09-09,40.02276611328125
2019-09-10,41.3221435546875
2019-09-11,41.197547912597656
2019-09-12,40.40544891357422
2019-09-13,40.129554748535156
2019-09-16,42.54143142700195
2019-09-17,40.18296432495117
2019-09-18,39.71126174926758
2019-09-19,40.752559661865234
2019-09-20,40.67245864868164
2019-09-23,40.49446105957031
2019-09-24,40.46775436401367
2019-09-25,40.34315872192383
2019-09-26,40.3609504699707
2019-09-27,40.1740608215332
2019-09-30,39.5777587890625
2019-10-01,38.95478057861328
2019-10-02,38.21608352661133
2019-10-03,38.44748306274414
2019-10-04,38.331787109375
2019-10-07,37.53969192504883
2019-10-08,36.33821105957031
2019-10-09,36.34711456298828
2019-10-10,36.51620864868164
2019-10-11,36.596309661865234
2019-10-14,36.05342102050781
2019-10-15,36.3115119934082
2019-10-16,35.90211868286133
2019-10-17,35.89322280883789
2019-10-18,36.000022888183594
2019-10-21,36.32931137084961
2019-10-22,37.57529830932617
2019-10-23,38.19828796386719
2019-10-24,37.63759994506836
2019-10-25,37.8511848449707
2019-10-28,37.62868881225586
2019-10-29,37.67319107055664
2019-10-30,36.809906005859375
2019-10-31,36.04450988769531
2019-11-01,37.63759994506836
2019-11-04,39.36417007446289
2019-11-05,37.29940414428711
2019-11-06,35.2524299621582
2019-11-07,34.736236572265625
2019-11-08,35.688514709472656
2019-11-11,34.60273361206055
2019-11-12,34.21114730834961
2019-11-13,33.92633819580078
2019-11-14,33.6059455871582
2019-11-15,34.6650276184082
2019-11-18,34.976531982421875
2019-11-19,33.94414138793945
2019-11-20,34.24673843383789
2019-11-21,34.81632995605469
2019-11-22,35.225730895996094
2019-11-25,35.53721618652344
2019-11-26,34.326839447021484
2019-11-27,34.487030029296875
2019-11-29,34.326839447021484
2019-12-02,34.42472839355469
2019-12-03,33.837345123291016
2019-12-04,34.22003936767578
2019-12-05,33.80174255371094
2019-12-06,34.71842575073242
2019-12-09,33.91905212402344
2019-12-10,34.12797927856445
2019-12-11,34.10072708129883
2019-12-12,34.74568176269531
2019-12-13,34.255157470703125
2019-12-16,34.80926513671875
2019-12-17,34.80926513671875
2019-12-18,35.127197265625
2019-12-19,35.15446472167969
2019-12-20,35.436058044433594
2019-12-23,36.071922302246094
2019-12-24,36.23543930053711
2019-12-26,36.471614837646484
2019-12-27,36.480690002441406
2019-12-30,36.97122573852539
2019-12-31,37.43450164794922
2020-01-02,38.678993225097656
2020-01-03,39.61461639404297
2020-01-06,40.92269515991211
2020-01-07,41.122535705566406
2020-01-08,40.859107971191406
2020-01-09,41.21337890625
2020-01-10,41.69481658935547
2020-01-13,42.30344009399414
2020-01-14,42.912071228027344
2020-01-15,42.93022155761719
2020-01-16,42.39427185058594
2020-01-17,41.63123321533203
2020-01-21,40.25959014892578
2020-01-22,39.323944091796875
2020-01-23,38.62447738647461
2020-01-24,38.35197448730469
2020-01-27,37.46175765991211
2020-01-28,37.425418853759766
2020-01-29,36.76229476928711
2020-01-30,36.871307373046875
2020-01-31,36.08101272583008
2020-02-03,36.40802764892578
2020-02-04,36.789554595947266
