Date,MS
2016-12-28,32.53929901123047
2016-12-29,32.18048095703125
2016-12-30,32.25682067871094
2017-01-03,32.867610931396484
2017-01-04,33.30277633666992
2017-01-05,32.99739074707031
2017-01-06,33.47836685180664
2017-01-09,32.608028411865234
2017-01-10,32.875244140625
2017-01-11,33.34095001220703
2017-01-12,33.31040573120117
2017-01-13,33.447845458984375
2017-01-17,32.18048095703125
2017-01-18,32.7225456237793
2017-01-19,32.40951919555664
2017-01-20,32.51640701293945
2017-01-23,32.035423278808594
2017-01-24,32.623287200927734
2017-01-25,33.48602294921875
2017-01-26,33.6081657409668
2017-01-27,33.477787017822266
2017-01-30,33.071292877197266
2017-01-31,32.58811950683594
2017-02-01,32.749176025390625
2017-02-02,32.31201171875
2017-02-03,34.07602310180664
2017-02-06,34.22941207885742
2017-02-07,34.41348648071289
2017-02-08,33.67721176147461
2017-02-09,34.39815139770508
2017-02-10,34.28310012817383
2017-02-13,34.71259689331055
2017-02-14,35.310821533203125
2017-02-15,35.65595626831055
2017-02-16,35.364501953125
2017-02-17,35.39519119262695
2017-02-21,35.70965576171875
2017-02-22,35.678951263427734
2017-02-23,35.72496795654297
2017-02-24,34.9196662902832
2017-02-27,35.15742492675781
2017-02-28,35.02703857421875
2017-03-01,35.90138244628906
2017-03-02,35.49489212036133
2017-03-03,35.916725158691406
2017-03-06,35.71730422973633
2017-03-07,35.53324508666992
2017-03-08,35.579261779785156
2017-03-09,35.801673889160156
2017-03-10,35.65595626831055
2017-03-13,35.479557037353516
2017-03-14,35.42586898803711
2017-03-15,35.16510009765625
2017-03-16,35.53324508666992
2017-03-17,34.52852249145508
2017-03-20,34.19873046875
2017-03-21,32.71849060058594
2017-03-22,32.37336349487305
2017-03-23,32.66481018066406
2017-03-24,32.56510543823242
2017-03-27,31.890180587768555
2017-03-28,32.58811950683594
2017-03-29,32.825870513916016
2017-03-30,33.30906295776367
2017-03-31,32.85654830932617
2017-04-03,32.75685119628906
2017-04-04,32.60345458984375
