Date,L
2019-12-27,50.57537841796875
2019-12-30,50.692344665527344
2019-12-31,51.160179138183594
2020-01-02,51.61827850341797
2020-01-03,51.42332458496094
2020-01-06,50.76057052612305
2020-01-07,50.526649475097656
2020-01-08,50.53638458251953
2020-01-09,51.37460708618164
2020-01-10,50.750816345214844
2020-01-13,50.78005599975586
2020-01-14,50.711830139160156
2020-01-15,50.37070083618164
2020-01-16,50.81903839111328
2020-01-17,51.06270980834961
2020-01-21,50.19526290893555
2020-01-22,50.565635681152344
2020-01-23,50.156272888183594
2020-01-24,50.04905700683594
2020-01-27,49.50324630737305
2020-01-28,50.18550491333008
2020-01-29,50.36095428466797
2020-01-30,51.05295944213867
2020-01-31,50.14653396606445
2020-02-03,51.07246017456055
2020-02-04,51.39409637451172
2020-02-05,52.222564697265625
2020-02-06,51.959407806396484
2020-02-07,51.900936126708984
2020-02-10,54.39606857299805
2020-02-11,53.33368682861328
2020-02-12,52.56369400024414
2020-02-13,52.69041442871094
2020-02-14,52.817108154296875
2020-02-18,52.33953094482422
2020-02-19,52.34926223754883
2020-02-20,52.52471160888672
2020-02-21,52.271297454833984
2020-02-24,51.004241943359375
2020-02-25,49.143310546875
2020-02-26,47.76737976074219
2020-02-27,45.093563079833984
2020-02-28,44.527591705322266
2020-03-02,47.513648986816406
2020-03-03,45.94255447387695
2020-03-04,47.328243255615234
2020-03-05,44.429988861083984
2020-03-06,43.11261749267578
2020-03-09,38.43833541870117
2020-03-10,42.136775970458984
2020-03-11,38.770118713378906
2020-03-12,32.38813400268555
2020-03-13,36.1158447265625
2020-03-16,32.61256790161133
2020-03-17,35.83284378051758
2020-03-18,33.754310607910156
2020-03-19,36.40858459472656
2020-03-20,30.504758834838867
2020-03-23,29.021482467651367
2020-03-24,32.92483901977539
2020-03-25,32.48571014404297
2020-03-26,34.55449676513672
2020-03-27,32.88581085205078
2020-03-30,34.574012756347656
2020-03-31,33.98851013183594
2020-04-01,31.84165382385254
2020-04-02,32.37838363647461
2020-04-03,31.90997314453125
2020-04-06,34.83749771118164
2020-04-07,35.393707275390625
2020-04-08,37.05264663696289
