Date,DPZ
2020-12-30,359.203369140625
2020-12-31,358.1200256347656
2021-01-04,354.42169189453125
2021-01-05,356.14007568359375
2021-01-06,359.4367980957031
2021-01-07,357.8678894042969
2021-01-08,363.1351623535156
2021-01-11,364.7321472167969
2021-01-12,360.0251770019531
2021-01-13,356.625732421875
2021-01-14,349.098388671875
2021-01-15,350.4338684082031
2021-01-19,348.0243225097656
2021-01-20,353.9546813964844
2021-01-21,355.9345397949219
2021-01-22,355.2342529296875
2021-01-25,353.4783935546875
2021-01-26,353.8053283691406
2021-01-27,352.0028076171875
2021-01-28,347.0437316894531
2021-01-29,346.2591552734375
2021-02-01,346.8756103515625
2021-02-02,352.2923583984375
2021-02-03,348.659423828125
2021-02-04,348.35125732421875
2021-02-05,352.3017578125
2021-02-08,354.94464111328125
2021-02-09,357.6531066894531
2021-02-10,356.8124694824219
2021-02-11,359.74505615234375
2021-02-12,359.7170104980469
2021-02-16,352.94610595703125
2021-02-17,351.61053466796875
2021-02-18,352.2176513671875
2021-02-19,346.9128723144531
2021-02-22,341.029296875
2021-02-23,342.5048828125
2021-02-24,340.4969787597656
2021-02-25,316.5979919433594
2021-02-26,323.61181640625
2021-03-01,322.2575378417969
2021-03-02,320.343017578125
2021-03-03,310.74237060546875
2021-03-04,308.687744140625
2021-03-05,308.41680908203125
2021-03-08,311.4708557128906
2021-03-09,330.68145751953125
2021-03-10,334.2770690917969
2021-03-11,334.6879577636719
2021-03-12,338.13385009765625
2021-03-15,339.87548828125
2021-03-16,342.7221374511719
2021-03-17,340.1376647949219
2021-03-18,340.67144775390625
2021-03-19,340.5589599609375
2021-03-22,345.8215026855469
2021-03-23,350.59698486328125
2021-03-24,342.9186706542969
2021-03-25,344.21087646484375
2021-03-26,348.1811218261719
2021-03-29,348.4058837890625
2021-03-30,344.7071838378906
2021-03-31,344.38873291015625
2021-04-01,349.6231994628906
2021-04-05,347.9938659667969
2021-04-06,356.4586486816406
2021-04-07,357.9755554199219
2021-04-08,359.4925537109375
2021-04-09,365.5133972167969
2021-04-12,365.7662048339844
2021-04-13,369.802001953125
2021-04-14,365.78497314453125
2021-04-15,367.9853820800781
2021-04-16,369.7083740234375
2021-04-19,372.63922119140625
2021-04-20,372.7234802246094
2021-04-21,369.6802978515625
2021-04-22,373.3882751464844
2021-04-23,372.4050598144531
2021-04-26,374.74603271484375
2021-04-27,375.5137939453125
2021-04-28,378.2481689453125
2021-04-29,389.5126953125
2021-04-30,395.468017578125
2021-05-03,406.0022277832031
2021-05-04,406.37677001953125
2021-05-05,404.4103698730469
2021-05-06,402.668701171875
2021-05-07,404.9534912109375
2021-05-10,403.6424865722656
