Date,DHR
2017-10-03,76.7021255493164
2017-10-04,77.02127838134766
2017-10-05,77.10106658935547
2017-10-06,77.68617248535156
2017-10-09,77.15425872802734
2017-10-10,77.27836608886719
2017-10-11,77.09220123291016
2017-10-12,77.15425872802734
2017-10-13,76.9858169555664
2017-10-16,76.35638427734375
2017-10-17,75.5851058959961
2017-10-18,76.28546142578125
2017-10-19,79.87588500976562
2017-10-20,80.48758697509766
2017-10-23,80.20390319824219
2017-10-24,80.62943267822266
2017-10-25,80.36347198486328
2017-10-26,81.08155822753906
2017-10-27,81.78191375732422
2017-10-30,81.391845703125
2017-10-31,81.79964447021484
2017-11-01,82.36701965332031
2017-11-02,82.18971252441406
2017-11-03,82.56205749511719
2017-11-06,82.10993194580078
2017-11-07,82.62411499023438
2017-11-08,82.65957641601562
2017-11-09,82.4290771484375
2017-11-10,81.7730484008789
2017-11-13,82.73936462402344
2017-11-14,82.61524963378906
2017-11-15,81.93262481689453
2017-11-16,82.96099090576172
2017-11-17,82.7127685546875
2017-11-20,83.04964447021484
2017-11-21,83.49290466308594
2017-11-22,83.12056732177734
2017-11-24,83.35106658935547
2017-11-27,83.3776626586914
2017-11-28,83.61701965332031
2017-11-29,83.28014373779297
2017-11-30,83.65248107910156
2017-12-01,83.17375946044922
2017-12-04,82.2872314453125
2017-12-05,82.21630859375
2017-12-06,82.03014373779297
2017-12-07,82.16312408447266
2017-12-08,82.60638427734375
2017-12-11,82.63298034667969
2017-12-12,83.0851058959961
2017-12-13,83.46630859375
2017-12-14,82.31382751464844
2017-12-15,83.33333587646484
2017-12-18,83.65248107910156
2017-12-19,83.67021179199219
2017-12-20,83.88298034667969
2017-12-21,83.17375946044922
2017-12-22,82.85460662841797
2017-12-26,82.73049926757812
2017-12-27,82.9432601928711
2017-12-28,82.9432601928711
2017-12-29,82.2872314453125
2018-01-02,81.95035552978516
2018-01-03,83.04077911376953
2018-01-04,83.43971252441406
2018-01-05,83.9627685546875
2018-01-08,84.44149017333984
2018-01-09,87.42021179199219
2018-01-10,87.09220123291016
2018-01-11,87.40248107910156
2018-01-12,88.11170196533203
2018-01-16,88.18262481689453
2018-01-17,88.28900909423828
2018-01-18,88.42198944091797
2018-01-19,89.14893341064453
2018-01-22,88.62588500976562
2018-01-23,88.608154296875
2018-01-24,89.87588500976562
2018-01-25,91.04609680175781
2018-01-26,92.02127838134766
2018-01-29,91.92375946044922
2018-01-30,90.0709228515625
2018-01-31,89.7872314453125
2018-02-01,90.3014144897461
2018-02-02,90.5851058959961
2018-02-05,85.7269515991211
2018-02-06,86.0372314453125
2018-02-07,84.44149017333984
2018-02-08,81.7021255493164
2018-02-09,83.74113464355469
2018-02-12,84.58333587646484
2018-02-13,84.2021255493164
2018-02-14,85.19503784179688
2018-02-15,86.40957641601562
2018-02-16,86.47163391113281
2018-02-20,85.85993194580078
2018-02-21,86.30319213867188
2018-02-22,86.31205749511719
2018-02-23,88.05850982666016
2018-02-26,89.38829803466797
2018-02-27,88.27127838134766
2018-02-28,86.68439483642578
2018-03-01,85.09751892089844
2018-03-02,85.3014144897461
2018-03-05,86.50709533691406
2018-03-06,86.65779876708984
2018-03-07,89.37943267822266
2018-03-08,90.07978820800781
2018-03-09,91.96808624267578
2018-03-12,91.66666412353516
2018-03-13,91.13475036621094
2018-03-14,90.5851058959961
2018-03-15,90.62056732177734
2018-03-16,90.36347198486328
2018-03-19,88.92730712890625
2018-03-20,89.14893341064453
2018-03-21,88.48403930664062
2018-03-22,86.42730712890625
2018-03-23,85.05319213867188
2018-03-26,87.02127838134766
2018-03-27,86.21453857421875
2018-03-28,85.56737518310547
2018-03-29,86.79964447021484
2018-04-02,85.19503784179688
2018-04-03,87.08333587646484
2018-04-04,87.81914520263672
2018-04-05,87.96099090576172
2018-04-06,85.69149017333984
2018-04-09,86.52482604980469
2018-04-10,88.2269515991211
2018-04-11,87.25177001953125
2018-04-12,87.76596069335938
2018-04-13,87.97872161865234
2018-04-16,89.02482604980469
2018-04-17,90.15071105957031
2018-04-18,90.78014373779297
2018-04-19,89.98226928710938
2018-04-20,89.84042358398438
2018-04-23,89.71630859375
2018-04-24,88.74113464355469
2018-04-25,89.08687591552734
2018-04-26,90.23049926757812
2018-04-27,90.10638427734375
2018-04-30,88.93617248535156
2018-05-01,89.44149017333984
2018-05-02,88.26241302490234
2018-05-03,87.76596069335938
2018-05-04,88.82978820800781
2018-05-07,88.28014373779297
2018-05-08,87.92552947998047
2018-05-09,88.24468231201172
2018-05-10,89.68971252441406
2018-05-11,90.25709533691406
2018-05-14,91.01950073242188
2018-05-15,88.86524963378906
2018-05-16,89.2730484008789
2018-05-17,89.3439712524414
2018-05-18,89.76063537597656
2018-05-21,90.63829803466797
2018-05-22,89.90248107910156
2018-05-23,90.70922088623047
2018-05-24,90.68262481689453
2018-05-25,90.54077911376953
2018-05-29,89.14006805419922
2018-05-30,89.76063537597656
2018-05-31,88.0141830444336
2018-06-01,89.17552947998047
2018-06-04,90.31028747558594
2018-06-05,90.50531768798828
2018-06-06,91.13475036621094
