Date,NDAQ
2020-06-24,38.426666259765625
2020-06-25,39.563331604003906
2020-06-26,38.606666564941406
2020-06-29,39.18333435058594
2020-06-30,39.823333740234375
2020-07-01,40.253334045410156
2020-07-02,40.02000045776367
2020-07-06,40.36000061035156
2020-07-07,40.15666580200195
2020-07-08,40.56666564941406
2020-07-09,40.266666412353516
2020-07-10,40.959999084472656
2020-07-13,41.0
2020-07-14,41.599998474121094
2020-07-15,42.279998779296875
2020-07-16,42.34333419799805
2020-07-17,42.813331604003906
2020-07-20,43.766666412353516
2020-07-21,43.66999816894531
2020-07-22,44.70000076293945
2020-07-23,43.8033332824707
2020-07-24,43.52000045776367
2020-07-27,43.5099983215332
2020-07-28,42.71666717529297
2020-07-29,43.66999816894531
2020-07-30,43.29999923706055
2020-07-31,43.77000045776367
2020-08-03,43.45000076293945
2020-08-04,43.233333587646484
2020-08-05,43.45333480834961
2020-08-06,43.56666564941406
2020-08-07,44.290000915527344
2020-08-10,43.84333419799805
2020-08-11,43.4900016784668
2020-08-12,43.473331451416016
2020-08-13,43.426666259765625
2020-08-14,43.08000183105469
2020-08-17,43.436668395996094
2020-08-18,43.349998474121094
2020-08-19,43.290000915527344
2020-08-20,43.48666763305664
2020-08-21,43.30666732788086
2020-08-24,43.86000061035156
2020-08-25,43.366668701171875
2020-08-26,44.18000030517578
2020-08-27,43.95000076293945
2020-08-28,43.9466667175293
2020-08-31,44.80666732788086
2020-09-01,44.939998626708984
2020-09-02,45.7599983215332
2020-09-03,44.41999816894531
2020-09-04,43.43000030517578
2020-09-08,42.14666748046875
2020-09-09,43.063331604003906
2020-09-10,41.63666534423828
2020-09-11,41.900001525878906
2020-09-14,42.33000183105469
2020-09-15,42.720001220703125
2020-09-16,42.43333435058594
2020-09-17,41.47999954223633
2020-09-18,40.81666564941406
2020-09-21,40.68333435058594
2020-09-22,41.106666564941406
2020-09-23,39.90999984741211
2020-09-24,40.43333435058594
2020-09-25,41.34333419799805
2020-09-28,41.790000915527344
2020-09-29,40.459999084472656
2020-09-30,40.9033317565918
2020-10-01,41.30666732788086
2020-10-02,41.18000030517578
2020-10-05,41.62333297729492
2020-10-06,41.189998626708984
2020-10-07,40.99333190917969
2020-10-08,41.53333282470703
2020-10-09,41.686668395996094
2020-10-12,42.12666702270508
2020-10-13,42.12666702270508
2020-10-14,42.54999923706055
2020-10-15,42.8033332824707
2020-10-16,42.956668853759766
2020-10-19,42.49333190917969
2020-10-20,42.996665954589844
2020-10-21,44.12333297729492
2020-10-22,43.36333465576172
2020-10-23,43.040000915527344
2020-10-26,42.459999084472656
2020-10-27,41.70000076293945
2020-10-28,40.57666778564453
2020-10-29,40.66999816894531
2020-10-30,40.33000183105469
2020-11-02,41.060001373291016
2020-11-03,41.63666534423828
2020-11-04,43.099998474121094
2020-11-05,44.4033317565918
2020-11-06,44.400001525878906
2020-11-09,43.22666549682617
2020-11-10,42.37666702270508
2020-11-11,43.26333236694336
2020-11-12,42.28333282470703
2020-11-13,41.939998626708984
2020-11-16,41.84333419799805
2020-11-17,41.44333267211914
2020-11-18,40.90999984741211
2020-11-19,41.586666107177734
2020-11-20,42.11000061035156
2020-11-23,42.003334045410156
2020-11-24,42.42333221435547
2020-11-25,42.44333267211914
2020-11-27,42.37333297729492
2020-11-30,42.663333892822266
2020-12-01,43.3033332824707
2020-12-02,43.119998931884766
2020-12-03,41.633331298828125
2020-12-04,41.766666412353516
2020-12-07,42.85333251953125
2020-12-08,42.883331298828125
2020-12-09,42.03333282470703
2020-12-10,41.663333892822266
2020-12-11,41.88999938964844
2020-12-14,41.3466682434082
2020-12-15,42.43000030517578
2020-12-16,42.366668701171875
2020-12-17,42.83333206176758
2020-12-18,42.866668701171875
2020-12-21,42.68333435058594
2020-12-22,43.29999923706055
2020-12-23,42.650001525878906
2020-12-24,42.87333297729492
2020-12-28,42.95000076293945
2020-12-29,43.04666519165039
2020-12-30,43.380001068115234
2020-12-31,44.246665954589844
2021-01-04,44.003334045410156
2021-01-05,43.9900016784668
2021-01-06,45.133331298828125
2021-01-07,45.599998474121094
2021-01-08,46.27000045776367
2021-01-11,46.96666717529297
2021-01-12,47.30666732788086
2021-01-13,47.496665954589844
2021-01-14,47.37666702270508
2021-01-15,46.68000030517578
2021-01-19,47.41999816894531
2021-01-20,47.88999938964844
2021-01-21,47.133331298828125
2021-01-22,46.80666732788086
2021-01-25,47.43333435058594
2021-01-26,47.043331146240234
2021-01-27,47.06666564941406
2021-01-28,46.34333419799805
2021-01-29,45.09000015258789
2021-02-01,46.20333480834961
2021-02-02,47.53666687011719
2021-02-03,47.38666534423828
2021-02-04,47.856666564941406
2021-02-05,47.529998779296875
2021-02-08,47.483333587646484
2021-02-09,47.709999084472656
2021-02-10,47.4900016784668
2021-02-11,47.456668853759766
2021-02-12,47.33000183105469
2021-02-16,47.996665954589844
2021-02-17,48.22999954223633
2021-02-18,48.293331146240234
2021-02-19,48.143333435058594
2021-02-22,47.206668853759766
2021-02-23,46.779998779296875
2021-02-24,47.33000183105469
2021-02-25,46.77333450317383
2021-02-26,46.0966682434082
2021-03-01,47.290000915527344
2021-03-02,46.880001068115234
2021-03-03,45.56999969482422
2021-03-04,46.0
2021-03-05,48.233333587646484
2021-03-08,48.33000183105469
2021-03-09,48.883331298828125
2021-03-10,48.18333435058594
2021-03-11,48.03333282470703
2021-03-12,48.13999938964844
2021-03-15,48.663333892822266
2021-03-16,48.4900016784668
2021-03-17,48.00666809082031
2021-03-18,48.313331604003906
2021-03-19,48.58000183105469
2021-03-22,49.040000915527344
2021-03-23,49.189998626708984
2021-03-24,49.11000061035156
2021-03-25,48.856666564941406
2021-03-26,50.2400016784668
2021-03-29,50.279998779296875
2021-03-30,49.150001525878906
2021-03-31,49.1533317565918
2021-04-01,50.28333282470703
2021-04-05,50.70000076293945
2021-04-06,50.88666534423828
