Date,ESS
2019-12-16,239.06704711914062
2019-12-17,235.2545166015625
2019-12-18,235.4372100830078
2019-12-19,237.23223876953125
2019-12-20,236.1759033203125
2019-12-23,235.7549591064453
2019-12-24,237.0417022705078
2019-12-26,237.9947509765625
2019-12-27,238.06622314453125
2019-12-30,238.0504150390625
2019-12-31,240.5286102294922
2020-01-02,238.46607971191406
2020-01-03,240.8006134033203
2020-01-06,239.84117126464844
2020-01-07,236.9070281982422
2020-01-08,238.27426147460938
2020-01-09,239.40951538085938
2020-01-10,241.75990295410156
2020-01-13,244.23825073242188
2020-01-14,241.29624938964844
2020-01-15,242.10360717773438
2020-01-16,244.66197204589844
2020-01-17,246.93252563476562
2020-01-21,249.0351104736328
2020-01-22,247.7159881591797
2020-01-23,249.84254455566406
2020-01-24,247.41217041015625
2020-01-27,246.98846435546875
2020-01-28,246.56484985351562
2020-01-29,242.6393280029297
2020-01-30,249.53875732421875
2020-01-31,247.64407348632812
2020-02-03,248.94717407226562
2020-02-04,249.09906005859375
2020-02-05,247.8519287109375
2020-02-06,251.62535095214844
2020-02-07,251.66531372070312
2020-02-10,253.70396423339844
2020-02-11,254.09580993652344
2020-02-12,255.1750946044922
2020-02-13,257.03778076171875
2020-02-14,259.1644592285156
2020-02-18,258.9645080566406
2020-02-19,257.13372802734375
2020-02-20,260.7153625488281
2020-02-21,263.0497131347656
2020-02-24,260.4754943847656
2020-02-25,254.15969848632812
2020-02-26,253.3842010498047
2020-02-27,237.19500732421875
2020-02-28,226.5379638671875
2020-03-02,234.59671020507812
2020-03-03,233.3574981689453
2020-03-04,242.1356964111328
2020-03-05,237.50672912597656
2020-03-06,235.5719757080078
2020-03-09,223.24417114257812
2020-03-10,235.1722869873047
2020-03-11,221.88510131835938
2020-03-12,210.02891540527344
2020-03-13,220.4380340576172
2020-03-16,178.81759643554688
2020-03-17,188.73104858398438
2020-03-18,164.8907928466797
2020-03-19,167.1453399658203
2020-03-20,156.9600830078125
2020-03-23,145.6875
2020-03-24,150.30845642089844
2020-03-25,160.5097198486328
2020-03-26,174.84420776367188
2020-03-27,182.7589874267578
2020-03-30,181.94247436523438
2020-03-31,177.6906280517578
2020-04-01,161.61911010742188
2020-04-02,156.89930725097656
2020-04-03,153.98670959472656
2020-04-06,171.53475952148438
2020-04-07,173.16448974609375
2020-04-08,188.88905334472656
2020-04-09,199.24842834472656
2020-04-13,193.4718017578125
2020-04-14,203.81492614746094
2020-04-15,197.9898223876953
2020-04-16,198.49813842773438
2020-04-17,210.44688415527344
2020-04-20,195.16600036621094
2020-04-21,192.65687561035156
2020-04-22,197.4412078857422
2020-04-23,194.64158630371094
2020-04-24,194.93206787109375
2020-04-27,203.37123107910156
2020-04-28,199.65188598632812
2020-04-29,201.0718536376953
2020-04-30,196.9409637451172
2020-05-01,191.0593719482422
2020-05-04,195.48069763183594
2020-05-05,197.2798309326172
2020-05-06,194.75454711914062
2020-05-07,200.94273376464844
2020-05-08,198.99832153320312
2020-05-11,195.98898315429688
2020-05-12,185.48435974121094
2020-05-13,186.19432067871094
2020-05-14,181.53909301757812
2020-05-15,182.7816162109375
2020-05-18,194.11715698242188
2020-05-19,186.36378479003906
2020-05-20,190.2929229736328
2020-05-21,189.94601440429688
2020-05-22,190.73666381835938
2020-05-26,199.45018005371094
2020-05-27,200.1197967529297
2020-05-28,200.78140258789062
2020-05-29,195.8679656982422
2020-06-01,199.2081298828125
2020-06-02,199.1112823486328
2020-06-03,204.16995239257812
2020-06-04,202.08840942382812
2020-06-05,211.8023223876953
2020-06-08,222.8394012451172
2020-06-09,216.25595092773438
2020-06-10,210.01119995117188
2020-06-11,198.54652404785156
2020-06-12,201.4429473876953
2020-06-15,197.37664794921875
2020-06-16,202.98397827148438
2020-06-17,196.1342315673828
2020-06-18,195.99705505371094
2020-06-19,188.61477661132812
2020-06-22,188.45343017578125
2020-06-23,187.38035583496094
2020-06-24,183.765869140625
2020-06-25,184.96800231933594
2020-06-26,181.36160278320312
2020-06-29,184.38931274414062
2020-06-30,186.6205596923828
2020-07-01,194.9267578125
2020-07-02,193.03750610351562
2020-07-06,191.53099060058594
2020-07-07,185.76551818847656
2020-07-08,184.788330078125
2020-07-09,182.34532165527344
2020-07-10,183.49354553222656
2020-07-13,183.13522338867188
2020-07-14,185.91207885742188
2020-07-15,184.25901794433594
2020-07-16,182.62217712402344
2020-07-17,181.73458862304688
2020-07-20,175.27696228027344
2020-07-21,175.6678009033203
2020-07-22,179.8290252685547
2020-07-23,176.16455078125
2020-07-24,174.36485290527344
2020-07-27,173.09449768066406
2020-07-28,177.5488739013672
2020-07-29,178.46092224121094
2020-07-30,179.65798950195312
2020-07-31,179.75575256347656
2020-08-03,174.4626007080078
2020-08-04,174.487060546875
2020-08-05,177.0113983154297
2020-08-06,179.13685607910156
2020-08-07,181.75086975097656
2020-08-10,181.9870147705078
2020-08-11,178.77040100097656
2020-08-12,180.1384735107422
2020-08-13,175.92022705078125
2020-08-14,178.46092224121094
2020-08-17,179.35675048828125
2020-08-18,178.11895751953125
2020-08-19,171.57981872558594
2020-08-20,173.0537872314453
2020-08-21,173.4691162109375
2020-08-24,175.1954803466797
2020-08-25,175.92022705078125
2020-08-26,173.28997802734375
2020-08-27,176.4169921875
2020-08-28,179.67428588867188
2020-08-31,176.31112670898438
2020-09-01,175.25247192382812
2020-09-02,179.95118713378906
2020-09-03,180.73292541503906
2020-09-04,182.62217712402344
2020-09-08,180.43165588378906
2020-09-09,177.9397430419922
2020-09-10,175.88763427734375
2020-09-11,173.6238250732422
2020-09-14,181.099365234375
2020-09-15,176.21339416503906
2020-09-16,178.79481506347656
2020-09-17,176.28665161132812
2020-09-18,172.1824951171875
2020-09-21,166.37623596191406
2020-09-22,168.95767211914062
2020-09-23,164.43812561035156
2020-09-24,162.03587341308594
2020-09-25,166.21334838867188
2020-09-28,168.99029541015625
2020-09-29,164.184814453125
2020-09-30,165.16366577148438
2020-10-01,170.12379455566406
2020-10-02,174.46697998046875
2020-10-05,175.5363006591797
2020-10-06,173.37290954589844
2020-10-07,173.07681274414062
2020-10-08,177.6585235595703
2020-10-09,177.22251892089844
2020-10-12,178.45640563964844
2020-10-13,172.32005310058594
2020-10-14,170.18130493164062
2020-10-15,168.37171936035156
2020-10-16,166.19189453125
2020-10-19,163.74061584472656
2020-10-20,164.39048767089844
2020-10-21,164.45628356933594
2020-10-22,166.58670043945312
2020-10-23,167.1707305908203
2020-10-26,163.70773315429688
2020-10-27,160.68064880371094
2020-10-28,153.26112365722656
2020-10-29,162.5232391357422
2020-10-30,168.2894287109375
2020-11-02,178.49754333496094
2020-11-03,184.28018188476562
2020-11-04,185.4893798828125
2020-11-05,186.00759887695312
2020-11-06,186.85484313964844
2020-11-09,209.30276489257812
2020-11-10,212.99609375
2020-11-11,202.96897888183594
2020-11-12,203.32266235351562
2020-11-13,209.68115234375
2020-11-16,216.29458618164062
2020-11-17,213.86805725097656
2020-11-18,209.09707641601562
2020-11-19,209.0559844970703
2020-11-20,209.01486206054688
2020-11-23,207.674072265625
2020-11-24,211.83627319335938
2020-11-25,209.26158142089844
2020-11-27,205.6505126953125
2020-11-30,202.25332641601562
2020-12-01,202.79620361328125
2020-12-02,204.57293701171875
2020-12-03,204.69635009765625
2020-12-04,207.88792419433594
2020-12-07,208.11004638671875
2020-12-08,207.6905059814453
2020-12-09,205.79037475585938
2020-12-10,201.86672973632812
2020-12-11,200.65756225585938
2020-12-14,197.63050842285156
2020-12-15,199.44834899902344
2020-12-16,197.85255432128906
2020-12-17,198.93838500976562
2020-12-18,192.78553771972656
2020-12-21,192.34133911132812
2020-12-22,193.0816650390625
2020-12-23,190.21090698242188
2020-12-24,192.6868438720703
2020-12-28,196.03469848632812
2020-12-29,193.17214965820312
2020-12-30,196.0594024658203
2020-12-31,197.0120086669922
2021-01-04,189.4026641845703
2021-01-05,188.54795837402344
2021-01-06,196.38963317871094
2021-01-07,192.09959411621094
2021-01-08,194.08279418945312
2021-01-11,191.91702270507812
2021-01-12,192.8629913330078
2021-01-13,196.11581420898438
2021-01-14,196.72988891601562
2021-01-15,199.5844268798828
2021-01-19,196.81285095214844
2021-01-20,203.1276397705078
2021-01-21,203.46786499023438
2021-01-22,202.01568603515625
2021-01-25,201.32696533203125
2021-01-26,202.28123474121094
2021-01-27,198.48077392578125
2021-01-28,201.94932556152344
2021-01-29,198.8292694091797
2021-02-01,200.8705596923828
2021-02-02,202.62977600097656
2021-02-03,205.94898986816406
2021-02-04,209.55030822753906
2021-02-05,214.17236328125
2021-02-08,216.22198486328125
2021-02-09,215.1929931640625
2021-02-10,222.13014221191406
2021-02-11,225.37469482421875
2021-02-12,223.5076141357422
2021-02-16,222.5035858154297
2021-02-17,221.36668395996094
2021-02-18,219.6573028564453
2021-02-19,218.97691345214844
2021-02-22,219.167724609375
2021-02-23,223.35830688476562
2021-02-24,224.15489196777344
2021-02-25,216.62026977539062
2021-02-26,211.42568969726562
2021-03-01,215.72406005859375
2021-03-02,217.21771240234375
2021-03-03,221.77330017089844
2021-03-04,217.5911102294922
2021-03-05,219.80670166015625
2021-03-08,226.12982177734375
2021-03-09,226.478271484375
2021-03-10,226.26254272460938
2021-03-11,229.94692993164062
2021-03-12,238.85064697265625
2021-03-15,243.7631072998047
2021-03-16,237.73873901367188
2021-03-17,237.39019775390625
2021-03-18,237.32382202148438
2021-03-19,228.4781494140625
2021-03-22,229.00921630859375
2021-03-23,229.20004272460938
2021-03-24,229.2664337158203
2021-03-25,230.57752990722656
