Date,CTSH
2018-02-26,73.84004211425781
2018-02-27,73.43067169189453
2018-02-28,72.99459075927734
2018-03-01,71.77534484863281
2018-03-02,72.33599090576172
2018-03-05,73.2170639038086
2018-03-06,73.92903900146484
2018-03-07,74.08924102783203
2018-03-08,74.06253051757812
2018-03-09,75.38858032226562
2018-03-12,74.81900024414062
2018-03-13,74.56979370117188
2018-03-14,74.42741394042969
2018-03-15,75.49535369873047
2018-03-16,75.29068756103516
2018-03-19,74.5876235961914
2018-03-20,75.03257751464844
2018-03-21,74.17820739746094
2018-03-22,72.06013488769531
2018-03-23,70.53829193115234
2018-03-26,72.64747619628906
2018-03-27,71.26802825927734
2018-03-28,70.9031753540039
2018-03-29,71.6418228149414
2018-04-02,70.49378967285156
2018-04-03,71.24137878417969
2018-04-04,71.83761596679688
2018-04-05,72.01560974121094
2018-04-06,70.36918640136719
2018-04-09,70.22679901123047
2018-04-10,71.55284118652344
2018-04-11,71.1345443725586
2018-04-12,72.57630157470703
2018-04-13,71.9266128540039
2018-04-16,72.77207946777344
2018-04-17,73.14585876464844
2018-04-18,73.59973907470703
2018-04-19,73.3060531616211
2018-04-20,72.77207946777344
2018-04-23,72.5940933227539
2018-04-24,71.90882873535156
2018-04-25,72.0067367553711
2018-04-26,72.73649597167969
2018-04-27,72.63861083984375
2018-04-30,72.81660461425781
2018-05-01,72.81660461425781
2018-05-02,72.42499542236328
2018-05-03,72.40718078613281
2018-05-04,73.12805938720703
2018-05-07,69.29234313964844
2018-05-08,67.23654174804688
2018-05-09,66.77375793457031
2018-05-10,67.59251403808594
2018-05-11,68.15319061279297
2018-05-14,67.51242065429688
2018-05-15,67.15642547607422
2018-05-16,67.0941390991211
2018-05-17,67.44121551513672
2018-05-18,67.67262268066406
2018-05-21,67.59229278564453
2018-05-22,67.1372299194336
2018-05-23,67.60124206542969
2018-05-24,67.7529067993164
2018-05-25,67.61905670166016
2018-05-29,66.3966064453125
2018-05-30,67.5387954711914
2018-05-31,67.23538970947266
2018-06-01,68.59168243408203
2018-06-04,68.90399169921875
2018-06-05,68.73446655273438
