Date,WRK
2018-11-14,30.299999237060547
2018-11-15,28.450000762939453
2018-11-16,28.450000762939453
2018-11-19,28.450000762939453
2018-11-20,27.510000228881836
2018-11-21,28.510000228881836
2018-11-23,28.510000228881836
2018-11-26,28.09000015258789
2018-11-27,28.09000015258789
2018-11-28,28.09000015258789
2018-11-29,28.09000015258789
2018-11-30,27.639999389648438
2018-12-03,28.540000915527344
2018-12-04,26.15999984741211
2018-12-06,26.15999984741211
2018-12-07,26.15999984741211
2018-12-10,26.15999984741211
2018-12-11,26.15999984741211
2018-12-12,26.0
2018-12-13,25.110000610351562
2018-12-14,25.110000610351562
2018-12-17,25.110000610351562
2018-12-18,25.110000610351562
2018-12-19,25.110000610351562
2018-12-20,26.149999618530273
2018-12-21,26.34000015258789
2018-12-24,26.34000015258789
2018-12-26,26.559999465942383
2018-12-27,26.559999465942383
2018-12-28,26.09000015258789
2018-12-31,26.329999923706055
2019-01-02,26.329999923706055
2019-01-03,26.329999923706055
2019-01-04,27.549999237060547
2019-01-07,26.790000915527344
2019-01-08,26.790000915527344
2019-01-09,26.790000915527344
2019-01-10,26.790000915527344
2019-01-11,26.790000915527344
2019-01-14,28.020000457763672
2019-01-15,27.68000030517578
2019-01-16,28.34000015258789
2019-01-17,28.299999237060547
2019-01-18,28.68000030517578
2019-01-22,27.56999969482422
2019-01-23,27.979999542236328
2019-01-24,27.3799991607666
2019-01-25,27.3799991607666
2019-01-28,27.3799991607666
2019-01-29,29.600000381469727
2019-01-30,29.600000381469727
2019-01-31,28.579999923706055
2019-02-01,28.579999923706055
2019-02-04,28.579999923706055
2019-02-05,29.549999237060547
2019-02-06,30.309999465942383
2019-02-07,30.309999465942383
2019-02-08,30.309999465942383
2019-02-11,30.309999465942383
2019-02-12,30.309999465942383
2019-02-13,30.309999465942383
2019-02-14,30.90999984741211
2019-02-15,30.389999389648438
2019-02-19,30.389999389648438
2019-02-20,29.979999542236328
2019-02-21,29.06999969482422
2019-02-22,29.239999771118164
2019-02-25,29.559999465942383
2019-02-26,29.559999465942383
2019-02-27,29.559999465942383
2019-02-28,29.559999465942383
2019-03-01,28.329999923706055
2019-03-04,28.329999923706055
2019-03-05,28.329999923706055
2019-03-06,28.329999923706055
2019-03-07,28.110000610351562
2019-03-08,27.190000534057617
2019-03-11,27.190000534057617
2019-03-12,27.190000534057617
2019-03-13,29.100000381469727
2019-03-14,29.100000381469727
2019-03-15,28.780000686645508
2019-03-18,28.780000686645508
2019-03-19,28.780000686645508
2019-03-20,28.780000686645508
2019-03-21,30.059999465942383
2019-03-22,30.059999465942383
2019-03-25,30.059999465942383
2019-03-26,27.950000762939453
2019-03-27,27.799999237060547
2019-03-28,27.799999237060547
2019-03-29,27.860000610351562
2019-04-01,27.860000610351562
2019-04-02,27.860000610351562
2019-04-03,27.860000610351562
2019-04-04,30.579999923706055
2019-04-05,30.920000076293945
2019-04-08,31.209999084472656
2019-04-09,29.510000228881836
2019-04-10,29.950000762939453
2019-04-11,29.34000015258789
2019-04-12,30.260000228881836
2019-04-15,30.049999237060547
2019-04-16,30.399999618530273
2019-04-17,30.670000076293945
2019-04-18,30.670000076293945
2019-04-22,30.670000076293945
2019-04-23,30.670000076293945
2019-04-24,29.829999923706055
2019-04-25,29.829999923706055
2019-04-26,30.510000228881836
2019-04-29,30.510000228881836
2019-04-30,30.510000228881836
2019-05-01,29.56999969482422
2019-05-02,29.56999969482422
2019-05-03,30.739999771118164
2019-05-06,29.799999237060547
2019-05-07,29.799999237060547
2019-05-08,29.510000228881836
2019-05-09,29.510000228881836
2019-05-10,29.510000228881836
2019-05-13,29.510000228881836
2019-05-14,29.510000228881836
2019-05-15,29.510000228881836
2019-05-16,28.190000534057617
2019-05-17,27.84000015258789
2019-05-20,27.84000015258789
2019-05-21,27.84000015258789
2019-05-22,27.84000015258789
2019-05-23,27.84000015258789
2019-05-24,28.540000915527344
2019-05-28,28.540000915527344
2019-05-29,28.540000915527344
2019-05-30,27.979999542236328
2019-05-31,27.389999389648438
2019-06-03,27.389999389648438
2019-06-04,27.389999389648438
2019-06-05,27.389999389648438
2019-06-06,27.389999389648438
2019-06-07,28.799999237060547
2019-06-10,28.799999237060547
2019-06-11,28.799999237060547
2019-06-12,28.799999237060547
2019-06-13,30.1200008392334
2019-06-14,29.6200008392334
2019-06-17,29.6200008392334
2019-06-18,30.0
2019-06-19,30.0
2019-06-20,30.0
2019-06-21,30.0
2019-06-24,30.0
2019-06-25,30.25
2019-06-26,30.25
2019-06-27,30.25
2019-06-28,30.25
2019-07-01,31.0
2019-07-02,31.270000457763672
2019-07-03,31.270000457763672
2019-07-05,30.950000762939453
2019-07-08,30.950000762939453
2019-07-09,30.950000762939453
2019-07-10,31.059999465942383
2019-07-11,32.38999938964844
2019-07-12,33.279998779296875
2019-07-15,33.279998779296875
2019-07-16,32.119998931884766
2019-07-17,32.119998931884766
2019-07-18,32.119998931884766
2019-07-19,31.670000076293945
2019-07-22,31.670000076293945
