Date,CRWD
2024-10-21,309.54998779296875
2024-10-22,308.510009765625
2024-10-23,299.29998779296875
2024-10-24,304.4700012207031
2024-10-25,300.6199951171875
2024-10-28,301.32000732421875
2024-10-29,310.94000244140625
2024-10-30,307.45001220703125
2024-10-31,296.8699951171875
2024-11-01,303.1300048828125
2024-11-04,298.8800048828125
2024-11-05,307.5799865722656
2024-11-06,320.0
2024-11-07,330.7799987792969
2024-11-08,330.0299987792969
2024-11-11,342.4200134277344
2024-11-12,343.5
2024-11-13,347.8800048828125
2024-11-14,344.3599853515625
2024-11-15,336.75
2024-11-18,342.9700012207031
2024-11-19,353.2900085449219
2024-11-20,350.1499938964844
2024-11-21,357.54998779296875
2024-11-22,372.260009765625
2024-11-25,363.67999267578125
2024-11-26,364.29998779296875
2024-11-27,347.5899963378906
2024-11-29,345.9700012207031
2024-12-02,346.79998779296875
2024-12-03,349.95001220703125
2024-12-04,364.1600036621094
2024-12-05,364.8399963378906
2024-12-06,365.6499938964844
2024-12-09,353.6000061035156
2024-12-10,346.7749938964844
2024-12-11,362.9700012207031
2024-12-12,365.5
2024-12-13,368.0199890136719
2024-12-16,388.20001220703125
2024-12-17,376.4200134277344
2024-12-18,349.17999267578125
2024-12-19,351.0299987792969
2024-12-20,362.2900085449219
2024-12-23,361.5
2024-12-24,365.7900085449219
2024-12-26,365.0799865722656
2024-12-27,354.989990234375
2024-12-30,349.30999755859375
2024-12-31,342.1600036621094
2025-01-02,347.3399963378906
2025-01-03,359.0199890136719
2025-01-06,366.3599853515625
2025-01-07,359.92999267578125
2025-01-08,358.7200012207031
2025-01-10,348.8399963378906
2025-01-13,341.4599914550781
2025-01-14,348.0400085449219
2025-01-15,362.0199890136719
2025-01-16,363.3800048828125
2025-01-17,357.0
2025-01-21,366.4100036621094
2025-01-22,377.9800109863281
2025-01-23,377.70001220703125
2025-01-24,374.9200134277344
2025-01-27,373.75
2025-01-28,408.67999267578125
2025-01-29,397.07000732421875
2025-01-30,396.8699951171875
2025-01-31,398.07000732421875
2025-02-03,397.57000732421875
2025-02-04,407.5199890136719
2025-02-05,417.2200012207031
2025-02-06,420.510009765625
2025-02-07,421.5899963378906
2025-02-10,428.9200134277344
2025-02-11,431.6400146484375
2025-02-12,434.6300048828125
2025-02-13,453.7699890136719
2025-02-14,451.739990234375
2025-02-18,455.3599853515625
2025-02-19,450.1400146484375
2025-02-20,436.1400146484375
2025-02-21,406.67999267578125
2025-02-24,391.7200012207031
2025-02-25,379.75
2025-02-26,394.55999755859375
2025-02-27,380.239990234375
2025-02-28,389.6600036621094
2025-03-03,382.7300109863281
2025-03-04,390.1600036621094
2025-03-05,365.44000244140625
2025-03-06,347.7300109863281
2025-03-07,333.5
2025-03-10,308.8599853515625
2025-03-11,329.75
2025-03-12,346.760009765625
2025-03-13,332.5299987792969
2025-03-14,353.7349853515625
2025-03-17,364.8299865722656
2025-03-18,363.1499938964844
2025-03-19,375.04998779296875
2025-03-20,369.0299987792969
2025-03-21,362.239990234375
2025-03-24,372.6400146484375
2025-03-25,384.95001220703125
2025-03-26,371.4100036621094
2025-03-27,366.55999755859375
2025-03-28,357.1099853515625
2025-03-31,352.5799865722656
2025-04-01,362.3800048828125
2025-04-02,371.489990234375
2025-04-03,347.3900146484375
2025-04-04,321.6300048828125
2025-04-07,324.3599853515625
2025-04-08,325.0400085449219
2025-04-09,378.010009765625
2025-04-10,368.6099853515625
2025-04-11,377.8999938964844
2025-04-14,378.6600036621094
2025-04-15,392.79998779296875
2025-04-16,379.8399963378906
2025-04-17,375.6199951171875
2025-04-21,362.69000244140625
2025-04-22,368.45001220703125
2025-04-23,385.75
2025-04-24,414.04998779296875
2025-04-25,424.8800048828125
2025-04-28,423.0799865722656
2025-04-29,430.989990234375
2025-04-30,428.8699951171875
2025-05-01,431.8800048828125
2025-05-02,440.5799865722656
2025-05-05,443.4700012207031
2025-05-06,443.2099914550781
2025-05-07,422.5199890136719
2025-05-08,428.6300048828125
2025-05-09,410.57000732421875
2025-05-12,429.44000244140625
2025-05-13,440.20001220703125
2025-05-14,435.94000244140625
2025-05-15,431.8399963378906
2025-05-16,439.260009765625
2025-05-19,444.3500061035156
2025-05-20,442.25
2025-05-21,434.739990234375
2025-05-22,444.07000732421875
2025-05-23,455.5899963378906
2025-05-27,472.2200012207031
2025-05-28,468.8299865722656
2025-05-29,458.80999755859375
2025-05-30,471.3699951171875
2025-06-02,479.1700134277344
2025-06-03,488.760009765625
2025-06-04,460.55999755859375
2025-06-05,462.94000244140625
2025-06-06,468.4100036621094
2025-06-09,464.3900146484375
2025-06-10,467.6499938964844
2025-06-11,476.9800109863281
2025-06-12,481.7300109863281
2025-06-13,480.6199951171875
2025-06-16,479.3900146484375
2025-06-17,492.0299987792969
2025-06-18,485.1600036621094
2025-06-20,476.29998779296875
2025-06-23,491.80999755859375
2025-06-24,485.3800048828125
2025-06-25,494.0899963378906
2025-06-26,505.2200012207031
2025-06-27,499.3299865722656
2025-06-30,509.30999755859375
2025-07-01,492.07000732421875
2025-07-02,496.1000061035156
2025-07-03,514.0999755859375
2025-07-07,505.4599914550781
2025-07-08,507.7099914550781
2025-07-09,513.510009765625
2025-07-10,487.1099853515625
2025-07-11,478.45001220703125
2025-07-14,476.17999267578125
2025-07-15,473.2799987792969
2025-07-16,470.45001220703125
2025-07-17,469.8299865722656
2025-07-18,475.9599914550781
2025-07-21,481.5799865722656
2025-07-22,471.2300109863281
2025-07-23,461.5199890136719
2025-07-24,462.0299987792969
2025-07-25,467.9200134277344
