Date,AAP
2018-10-31,139.96707153320312
2018-11-01,143.25250244140625
2018-11-02,144.55789184570312
2018-11-05,144.65432739257812
2018-11-06,147.26507568359375
2018-11-07,149.38525390625
2018-11-08,151.08489990234375
2018-11-09,149.97225952148438
2018-11-12,146.36265563964844
2018-11-13,161.83477783203125
2018-11-14,155.66697692871094
2018-11-15,156.86727905273438
2018-11-16,157.00741577148438
2018-11-19,155.72833251953125
2018-11-20,150.27891540527344
2018-11-21,153.0299072265625
2018-11-23,155.28147888183594
2018-11-26,155.70201110839844
2018-11-27,157.0599365234375
2018-11-28,156.77957153320312
2018-11-29,155.65817260742188
2018-11-30,155.69325256347656
2018-12-03,155.8509063720703
2018-12-04,156.11380004882812
2018-12-06,153.98483276367188
2018-12-07,146.82699584960938
2018-12-10,145.58297729492188
2018-12-11,145.25875854492188
2018-12-12,146.29258728027344
2018-12-13,145.68809509277344
2018-12-14,143.48910522460938
2018-12-17,139.16107177734375
2018-12-18,138.63539123535156
2018-12-19,136.77806091308594
2018-12-20,133.6579132080078
2018-12-21,132.7025604248047
2018-12-24,130.520263671875
2018-12-26,135.87533569335938
2018-12-27,135.5773162841797
2018-12-28,136.25221252441406
2018-12-31,138.00509643554688
2019-01-02,138.40823364257812
2019-01-03,142.72911071777344
2019-01-04,139.18836975097656
2019-01-07,141.2304229736328
2019-01-08,140.24880981445312
2019-01-09,144.11392211914062
2019-01-10,144.67483520507812
2019-01-11,139.72288513183594
2019-01-14,139.1094207763672
2019-01-15,140.4766082763672
2019-01-16,142.36976623535156
2019-01-17,145.73536682128906
2019-01-18,146.90101623535156
2019-01-22,143.8509979248047
2019-01-23,144.02622985839844
2019-01-24,136.99720764160156
2019-01-25,134.28895568847656
2019-01-28,135.72633361816406
2019-01-29,136.1908416748047
2019-01-30,139.38983154296875
2019-01-31,139.53012084960938
2019-02-01,139.38983154296875
2019-02-04,141.41444396972656
2019-02-05,141.51087951660156
2019-02-06,137.7947235107422
2019-02-07,142.97454833984375
2019-02-08,142.34347534179688
2019-02-11,144.7274169921875
2019-02-12,147.14642333984375
2019-02-13,145.89309692382812
2019-02-14,147.89138793945312
2019-02-15,148.9869842529297
2019-02-19,146.4890594482422
2019-02-20,145.48992919921875
2019-02-21,141.37940979003906
2019-02-22,141.51963806152344
2019-02-25,138.22421264648438
2019-02-26,142.79046630859375
2019-02-27,138.74130249023438
2019-02-28,141.7913360595703
2019-03-01,140.77462768554688
2019-03-04,138.82894897460938
2019-03-05,137.8736114501953
2019-03-06,138.4521026611328
2019-03-07,135.0865478515625
2019-03-08,133.01817321777344
2019-03-11,136.25221252441406
2019-03-12,135.73509216308594
2019-03-13,135.5861053466797
2019-03-14,134.97259521484375
2019-03-15,135.708740234375
2019-03-18,141.60726928710938
2019-03-19,143.2287139892578
2019-03-20,143.86849975585938
2019-03-21,148.2347869873047
2019-03-22,144.52609252929688
2019-03-25,147.10377502441406
2019-03-26,147.53338623046875
2019-03-27,146.323486328125
2019-03-28,147.9542694091797
2019-03-29,149.514892578125
2019-04-01,152.23284912109375
2019-04-02,151.97860717773438
2019-04-03,150.53195190429688
2019-04-04,152.5572509765625
2019-04-05,154.99464416503906
2019-04-08,155.7048797607422
2019-04-09,154.00389099121094
2019-04-10,156.76573181152344
2019-04-11,158.65953063964844
2019-04-12,157.91432189941406
2019-04-15,159.0716094970703
2019-04-16,157.7740020751953
2019-04-17,155.0209503173828
2019-04-18,153.7847137451172
2019-04-22,149.12033081054688
2019-04-23,151.2157745361328
2019-04-24,150.68099975585938
2019-04-25,149.61135864257812
2019-04-26,149.21678161621094
2019-04-29,146.2182159423828
2019-04-30,145.82369995117188
2019-05-01,143.64053344726562
2019-05-02,146.22702026367188
2019-05-03,143.14956665039062
2019-05-06,142.0272979736328
2019-05-07,140.86123657226562
2019-05-08,139.07260131835938
2019-05-09,140.18612670898438
2019-05-10,138.6342010498047
2019-05-13,136.2230682373047
2019-05-14,136.55624389648438
2019-05-15,136.6263885498047
2019-05-16,137.8977508544922
2019-05-17,138.502685546875
2019-05-20,139.0901336669922
2019-05-21,141.4223175048828
2019-05-22,145.7974090576172
2019-05-23,140.107177734375
2019-05-24,138.60791015625
2019-05-28,135.51290893554688
2019-05-29,136.58258056640625
2019-05-30,139.74771118164062
2019-05-31,135.898681640625
2019-06-03,134.29421997070312
2019-06-04,135.5567626953125
2019-06-05,135.5567626953125
2019-06-06,135.81100463867188
2019-06-07,136.20555114746094
2019-06-10,134.60108947753906
2019-06-11,133.41746520996094
2019-06-12,131.98831176757812
2019-06-13,132.0496826171875
2019-06-14,133.0930633544922
2019-06-17,133.0404815673828
2019-06-18,135.74966430664062
2019-06-19,134.82028198242188
2019-06-20,134.4343719482422
2019-06-21,134.4080352783203
2019-06-24,133.60986328125
2019-06-25,135.51319885253906
2019-06-26,131.5048065185547
2019-06-27,133.06607055664062
2019-06-28,135.1974334716797
2019-07-01,137.34637451171875
2019-07-02,140.15310668945312
2019-07-03,140.88990783691406
2019-07-05,140.881103515625
2019-07-08,138.74966430664062
2019-07-09,136.3903045654297
2019-07-10,137.2060089111328
2019-07-11,137.083251953125
2019-07-12,139.09178161621094
2019-07-15,139.38999938964844
2019-07-16,141.8810272216797
2019-07-17,138.2936248779297
2019-07-18,138.49534606933594
2019-07-19,137.64453125
2019-07-22,139.3724365234375
2019-07-23,138.2672882080078
2019-07-24,139.0216064453125
2019-07-25,131.592529296875
2019-07-26,133.86424255371094
2019-07-29,134.2326202392578
2019-07-30,133.14501953125
2019-07-31,132.12753295898438
2019-08-01,131.52235412597656
2019-08-02,127.86483764648438
2019-08-05,125.56683349609375
2019-08-06,127.74208068847656
2019-08-07,126.3386459350586
2019-08-08,126.68072509765625
2019-08-09,126.593017578125
2019-08-12,124.689697265625
2019-08-13,124.75111389160156
2019-08-14,119.71646881103516
2019-08-15,120.60234832763672
2019-08-16,119.80419158935547
2019-08-19,119.59370422363281
2019-08-20,118.74287414550781
2019-08-21,119.48841094970703
2019-08-22,120.60234832763672
2019-08-23,118.45344543457031
2019-08-26,118.40960693359375
