Date,AYI
2016-10-04,255.0
2016-10-05,242.99000549316406
2016-10-06,243.97000122070312
2016-10-07,240.74000549316406
2016-10-10,243.7899932861328
2016-10-11,240.08999633789062
2016-10-12,244.64999389648438
2016-10-13,244.7100067138672
2016-10-14,248.02000427246094
2016-10-17,242.14999389648438
2016-10-18,246.47999572753906
2016-10-19,243.05999755859375
2016-10-20,242.14999389648438
2016-10-21,239.8300018310547
2016-10-24,239.75999450683594
2016-10-25,233.88999938964844
2016-10-26,231.33999633789062
2016-10-27,225.83999633789062
2016-10-28,223.10000610351562
2016-10-31,223.57000732421875
2016-11-01,220.60000610351562
2016-11-02,217.3699951171875
2016-11-03,219.22999572753906
2016-11-04,226.32000732421875
2016-11-07,226.64999389648438
2016-11-08,231.11000061035156
2016-11-09,241.64999389648438
2016-11-10,254.94000244140625
2016-11-11,253.55999755859375
2016-11-14,256.17999267578125
2016-11-15,258.6499938964844
2016-11-16,256.5299987792969
2016-11-17,251.72999572753906
2016-11-18,248.9600067138672
2016-11-21,251.5500030517578
2016-11-22,253.6300048828125
2016-11-23,254.77999877929688
2016-11-25,257.5299987792969
2016-11-28,250.77999877929688
2016-11-29,252.16000366210938
2016-11-30,251.41000366210938
2016-12-01,251.4600067138672
2016-12-02,249.99000549316406
2016-12-05,252.32000732421875
2016-12-06,251.85000610351562
2016-12-07,254.25999450683594
2016-12-08,246.77000427246094
2016-12-09,248.8300018310547
2016-12-12,248.32000732421875
2016-12-13,249.33999633789062
2016-12-14,244.11000061035156
2016-12-15,243.8300018310547
2016-12-16,248.16000366210938
2016-12-19,245.57000732421875
2016-12-20,231.72000122070312
2016-12-21,230.33999633789062
2016-12-22,232.3000030517578
2016-12-23,234.9199981689453
2016-12-27,235.58999633789062
2016-12-28,230.8000030517578
2016-12-29,232.7899932861328
2016-12-30,230.86000061035156
2017-01-03,234.19000244140625
2017-01-04,239.92999267578125
2017-01-05,238.6699981689453
2017-01-06,237.36000061035156
2017-01-09,202.50999450683594
2017-01-10,208.94000244140625
2017-01-11,210.32000732421875
2017-01-12,214.97999572753906
2017-01-13,215.17999267578125
2017-01-17,210.75
2017-01-18,206.27999877929688
2017-01-19,206.4499969482422
2017-01-20,207.86000061035156
2017-01-23,207.3699951171875
2017-01-24,208.89999389648438
2017-01-25,210.72000122070312
2017-01-26,212.02000427246094
2017-01-27,205.36000061035156
2017-01-30,204.85000610351562
2017-01-31,207.22999572753906
2017-02-01,206.11000061035156
2017-02-02,206.07000732421875
2017-02-03,206.35000610351562
2017-02-06,206.83999633789062
2017-02-07,206.69000244140625
2017-02-08,209.13999938964844
2017-02-09,212.1699981689453
2017-02-10,212.16000366210938
2017-02-13,214.5500030517578
2017-02-14,211.9499969482422
2017-02-15,216.47999572753906
2017-02-16,218.49000549316406
2017-02-17,220.2899932861328
2017-02-21,223.22999572753906
2017-02-22,217.52999877929688
2017-02-23,219.5500030517578
2017-02-24,218.1300048828125
2017-02-27,219.83999633789062
2017-02-28,211.3000030517578
2017-03-01,212.82000732421875
2017-03-02,214.00999450683594
2017-03-03,209.57000732421875
2017-03-06,204.91000366210938
2017-03-07,205.41000366210938
2017-03-08,206.8699951171875
2017-03-09,208.22999572753906
2017-03-10,211.58999633789062
2017-03-13,210.1999969482422
2017-03-14,205.75
2017-03-15,207.35000610351562
2017-03-16,209.42999267578125
