Date,RHI
2017-11-28,55.90999984741211
2017-11-29,56.81999969482422
2017-11-30,57.040000915527344
2017-12-01,56.08000183105469
2017-12-04,56.65999984741211
2017-12-05,53.290000915527344
2017-12-06,53.08000183105469
2017-12-07,53.529998779296875
2017-12-08,54.68000030517578
2017-12-11,54.560001373291016
2017-12-12,54.36000061035156
2017-12-13,54.349998474121094
2017-12-14,54.220001220703125
2017-12-15,55.2599983215332
2017-12-18,55.369998931884766
2017-12-19,55.400001525878906
2017-12-20,55.869998931884766
2017-12-21,55.869998931884766
2017-12-22,55.68000030517578
2017-12-26,55.310001373291016
2017-12-27,55.43000030517578
2017-12-28,56.029998779296875
2017-12-29,55.540000915527344
2018-01-02,55.90999984741211
2018-01-03,55.810001373291016
2018-01-04,55.97999954223633
2018-01-05,56.310001373291016
2018-01-08,56.77000045776367
2018-01-09,56.630001068115234
2018-01-10,55.790000915527344
2018-01-11,56.59000015258789
2018-01-12,56.36000061035156
2018-01-16,55.70000076293945
2018-01-17,57.119998931884766
2018-01-18,55.91999816894531
2018-01-19,57.02000045776367
2018-01-22,57.45000076293945
2018-01-23,57.060001373291016
2018-01-24,57.43000030517578
2018-01-25,57.34000015258789
2018-01-26,58.540000915527344
2018-01-29,57.61000061035156
2018-01-30,57.400001525878906
2018-01-31,57.880001068115234
2018-02-01,58.529998779296875
2018-02-02,56.2400016784668
2018-02-05,54.40999984741211
2018-02-06,56.0099983215332
2018-02-07,56.220001220703125
2018-02-08,52.2599983215332
2018-02-09,53.220001220703125
2018-02-12,53.599998474121094
2018-02-13,54.63999938964844
2018-02-14,56.119998931884766
2018-02-15,56.380001068115234
2018-02-16,56.20000076293945
2018-02-20,56.31999969482422
2018-02-21,57.56999969482422
2018-02-22,57.33000183105469
2018-02-23,57.849998474121094
2018-02-26,57.68000030517578
2018-02-27,57.43000030517578
2018-02-28,57.06999969482422
2018-03-01,56.75
2018-03-02,57.97999954223633
2018-03-05,58.63999938964844
2018-03-06,59.54999923706055
2018-03-07,59.869998931884766
2018-03-08,59.65999984741211
2018-03-09,60.5099983215332
2018-03-12,59.34000015258789
2018-03-13,59.130001068115234
2018-03-14,58.45000076293945
2018-03-15,58.720001220703125
2018-03-16,59.439998626708984
2018-03-19,59.41999816894531
2018-03-20,59.630001068115234
2018-03-21,59.65999984741211
2018-03-22,58.060001373291016
2018-03-23,55.7599983215332
2018-03-26,56.880001068115234
2018-03-27,56.40999984741211
2018-03-28,56.83000183105469
2018-03-29,57.88999938964844
2018-04-02,57.47999954223633
2018-04-03,58.91999816894531
2018-04-04,58.54999923706055
2018-04-05,59.22999954223633
2018-04-06,57.150001525878906
2018-04-09,57.970001220703125
2018-04-10,59.290000915527344
2018-04-11,58.2599983215332
2018-04-12,58.91999816894531
2018-04-13,58.560001373291016
2018-04-16,59.27000045776367
2018-04-17,59.70000076293945
2018-04-18,60.45000076293945
2018-04-19,60.54999923706055
2018-04-20,58.560001373291016
2018-04-23,58.36000061035156
2018-04-24,57.45000076293945
2018-04-25,60.47999954223633
2018-04-26,60.709999084472656
2018-04-27,61.16999816894531
2018-04-30,60.75
2018-05-01,60.77000045776367
2018-05-02,61.70000076293945
2018-05-03,61.40999984741211
2018-05-04,62.04999923706055
2018-05-07,61.90999984741211
2018-05-08,62.7599983215332
2018-05-09,63.11000061035156
2018-05-10,63.060001373291016
2018-05-11,63.150001525878906
2018-05-14,62.849998474121094
