Date,GE
2018-05-21,69.36157989501953
2018-05-22,69.49794006347656
2018-05-23,64.45264434814453
2018-05-24,66.3616714477539
2018-05-25,66.49803161621094
2018-05-29,64.45264434814453
2018-05-30,64.40717315673828
2018-05-31,63.998104095458984
2018-06-01,64.08898162841797
2018-06-04,62.316341400146484
2018-06-05,62.725406646728516
2018-06-06,61.99816131591797
2018-06-07,62.63450622558594
2018-06-08,63.3162956237793
2018-06-11,63.54356002807617
2018-06-12,63.54356002807617
2018-06-13,63.13448715209961
2018-06-14,61.99816131591797
2018-06-15,60.98931884765625
2018-06-18,60.53074645996094
2018-06-19,59.38433074951172
2018-06-20,59.0633430480957
2018-06-21,58.513065338134766
2018-06-22,59.8428955078125
2018-06-25,58.467185974121094
2018-06-26,63.00701904296875
2018-06-27,64.01586151123047
2018-06-28,63.419708251953125
2018-06-29,62.410884857177734
2018-07-02,61.31031799316406
2018-07-03,61.31031799316406
2018-07-05,61.585445404052734
2018-07-06,63.51143264770508
2018-07-09,63.9699821472168
2018-07-10,64.97882843017578
2018-07-11,64.15341186523438
2018-07-12,64.15341186523438
2018-07-13,63.69485855102539
2018-07-16,63.74070739746094
2018-07-17,62.7777214050293
2018-07-18,63.05286407470703
2018-07-19,62.96114730834961
2018-07-20,60.16389465332031
2018-07-23,59.56775665283203
2018-07-24,60.16389465332031
2018-07-25,60.11803436279297
2018-07-26,60.30146026611328
2018-07-27,59.888755798339844
2018-07-30,60.347328186035156
2018-07-31,62.50257110595703
2018-08-01,60.71417236328125
2018-08-02,60.39318084716797
2018-08-03,60.25558853149414
2018-08-06,60.07216262817383
2018-08-07,60.347328186035156
2018-08-08,59.8428955078125
2018-08-09,59.338470458984375
2018-08-10,58.55891036987305
2018-08-13,57.09150314331055
2018-08-14,56.632938385009766
2018-08-15,56.03679656982422
2018-08-16,56.40365219116211
2018-08-17,56.40365219116211
2018-08-20,56.40365219116211
2018-08-21,57.91691970825195
2018-08-22,57.18321990966797
2018-08-23,57.504215240478516
2018-08-24,57.32077407836914
2018-08-27,58.55891036987305
2018-08-28,58.513065338134766
2018-08-29,59.476036071777344
2018-08-30,58.55891036987305
2018-08-31,59.338470458984375
2018-09-04,58.10033416748047
2018-09-05,57.595924377441406
2018-09-06,57.36663818359375
2018-09-07,56.86220169067383
2018-09-10,57.36663818359375
2018-09-11,56.541221618652344
2018-09-12,57.82520294189453
2018-09-13,58.283775329589844
2018-09-14,58.700416564941406
2018-09-17,58.79300308227539
2018-09-18,58.60783386230469
2018-09-19,59.5337028503418
2018-09-20,57.68194580078125
2018-09-21,56.33942794799805
2018-09-24,54.34880447387695
2018-09-25,52.172996520996094
2018-09-26,52.728519439697266
2018-09-27,53.37664031982422
2018-09-28,52.265586853027344
2018-10-01,55.969085693359375
2018-10-02,57.033851623535156
2018-10-03,57.77454376220703
2018-10-04,58.60783386230469
2018-10-05,61.015098571777344
2018-10-08,63.00574493408203
2018-10-09,62.72795486450195
2018-10-10,61.47804260253906
2018-10-11,58.88558578491211
2018-10-12,57.033851623535156
2018-10-15,56.2468376159668
2018-10-16,56.01537322998047
2018-10-17,56.43202590942383
2018-10-18,57.31161117553711
2018-10-19,58.144893646240234
2018-10-22,57.31161117553711
2018-10-23,58.74671936035156
2018-10-24,56.33942794799805
2018-10-25,54.62657165527344
2018-10-26,52.3118782043457
2018-10-29,51.663780212402344
2018-10-30,47.126983642578125
2018-10-31,46.756649017333984
2018-11-01,44.34937286376953
2018-11-02,43.0068473815918
2018-11-05,42.9605598449707
2018-11-06,43.608673095703125
2018-11-07,42.5902099609375
2018-11-08,42.12726974487305
2018-11-09,39.719993591308594
2018-11-12,36.98866653442383
2018-11-13,39.858882904052734
2018-11-14,38.516361236572266
2018-11-15,37.82195281982422
2018-11-16,37.12755584716797
2018-11-19,36.29425811767578
2018-11-20,35.41468811035156
2018-11-21,36.15537643432617
2018-11-23,35.04433059692383
2018-11-26,35.09062957763672
2018-11-27,34.44251251220703
2018-11-28,35.831329345703125
2018-11-29,36.75719451904297
2018-11-30,34.72027587890625
2018-12-03,36.15537643432617
2018-12-04,33.70181655883789
2018-12-06,34.02587890625
2018-12-07,32.45188522338867
2018-12-10,32.08152770996094
2018-12-11,31.2945499420166
2018-12-12,31.063072204589844
2018-12-13,33.331478118896484
2018-12-14,32.8685302734375
2018-12-17,33.100006103515625
2018-12-18,33.70181655883789
2018-12-19,35.509765625
2018-12-20,34.48988723754883
2018-12-21,33.145538330078125
2018-12-24,32.079315185546875
2018-12-26,34.25810241699219
2018-12-27,33.70180892944336
2018-12-28,34.814388275146484
2018-12-31,35.092529296875
2019-01-02,37.317691802978516
2019-01-03,37.36404800415039
2019-01-04,38.152122497558594
2019-01-07,40.51633834838867
2019-01-08,39.68191146850586
2019-01-09,39.403770446777344
2019-01-10,41.4434928894043
2019-01-11,41.4434928894043
2019-01-14,41.258079528808594
2019-01-15,40.46998977661133
2019-01-16,41.62892150878906
2019-01-17,42.370635986328125
2019-01-18,41.99979782104492
2019-01-22,40.14549255371094
2019-01-23,40.46998977661133
2019-01-24,40.7017707824707
2019-01-25,42.463356018066406
2019-01-28,41.39714050292969
2019-01-29,41.258079528808594
2019-01-30,42.18521499633789
2019-01-31,47.09910202026367
2019-02-01,47.2381706237793
2019-02-04,47.33087921142578
2019-02-05,49.27789306640625
2019-02-06,48.536170959472656
2019-02-07,46.63551712036133
2019-02-08,45.476585388183594
2019-02-11,46.49643325805664
2019-02-12,46.26466369628906
2019-02-13,48.07261276245117
2019-02-14,46.54280090332031
2019-02-15,46.774600982666016
2019-02-19,46.96002197265625
2019-02-20,46.820960998535156
2019-02-21,46.49643325805664
2019-02-22,47.145450592041016
2019-02-25,50.1586799621582
2019-02-26,51.393638610839844
2019-02-27,52.45430374145508
2019-02-28,50.09192657470703
2019-03-01,49.513389587402344
2019-03-04,50.04372787475586
