Date,PLD
2021-04-23,99.6751480102539
2021-04-26,99.97885131835938
2021-04-27,99.65778350830078
2021-04-28,99.87471008300781
2021-04-29,100.88993072509766
2021-04-30,101.11553955078125
2021-05-03,100.66433715820312
2021-05-04,100.30856323242188
2021-05-05,98.0611801147461
2021-05-06,99.54498291015625
2021-05-07,100.67301177978516
2021-05-10,100.82919311523438
2021-05-11,99.66645812988281
2021-05-12,97.50582885742188
2021-05-13,98.4863510131836
2021-05-14,99.4842300415039
2021-05-17,99.08507537841797
2021-05-18,99.77059936523438
2021-05-19,100.09162139892578
2021-05-20,101.83575439453125
2021-05-21,101.98326873779297
2021-05-24,102.52124786376953
2021-05-25,102.54728698730469
2021-05-26,101.9659423828125
2021-05-27,101.40189361572266
2021-05-28,102.25225830078125
2021-06-01,103.97903442382812
2021-06-02,105.6363754272461
2021-06-03,105.74918365478516
2021-06-04,106.20039367675781
2021-06-07,106.45203399658203
2021-06-08,107.3023910522461
2021-06-09,107.25901794433594
2021-06-10,109.57584381103516
2021-06-11,108.21351623535156
2021-06-14,109.47171783447266
2021-06-15,107.38745880126953
2021-06-16,105.88745880126953
2021-06-17,106.92524719238281
2021-06-18,104.27413940429688
2021-06-21,106.90780639648438
2021-06-22,106.37584686279297
2021-06-23,105.6258544921875
2021-06-24,105.75666046142578
2021-06-25,106.39327239990234
2021-06-28,106.06187438964844
2021-06-29,105.91364288330078
2021-06-30,104.23924255371094
2021-07-01,104.63167572021484
2021-07-02,105.54737091064453
2021-07-06,106.86421966552734
2021-07-07,107.51825714111328
2021-07-08,107.36128234863281
2021-07-09,109.34960174560547
2021-07-12,111.11122131347656
2021-07-13,109.54145812988281
2021-07-14,110.08216857910156
2021-07-15,110.69261932373047
2021-07-16,110.99784088134766
2021-07-19,110.56180572509766
2021-07-20,111.61699676513672
2021-07-21,110.66644287109375
2021-07-22,110.90189361572266
2021-07-23,111.52979278564453
2021-07-26,111.6082763671875
2021-07-27,112.66349792480469
2021-07-28,111.30306243896484
2021-07-29,111.52979278564453
2021-07-30,111.66061401367188
2021-08-02,112.02689361572266
2021-08-03,113.08210754394531
2021-08-04,112.41059112548828
2021-08-05,113.7623062133789
