Date,ACN
2018-12-10,157.72000122070312
2018-12-11,158.3000030517578
2018-12-12,158.6199951171875
2018-12-13,160.25
2018-12-14,155.52999877929688
2018-12-17,151.6699981689453
2018-12-18,152.13999938964844
2018-12-19,150.9600067138672
2018-12-20,143.5
2018-12-21,137.1999969482422
2018-12-24,133.6699981689453
2018-12-26,139.00999450683594
2018-12-27,140.41000366210938
2018-12-28,139.82000732421875
2018-12-31,141.00999450683594
2019-01-02,140.58999633789062
2019-01-03,135.7899932861328
2019-01-04,141.07000732421875
2019-01-07,141.55999755859375
2019-01-08,145.13999938964844
2019-01-09,145.8699951171875
2019-01-10,147.02000427246094
2019-01-11,146.22999572753906
2019-01-14,144.92999267578125
2019-01-15,146.88999938964844
2019-01-16,147.8800048828125
2019-01-17,149.1199951171875
2019-01-18,150.4499969482422
2019-01-22,148.97000122070312
2019-01-23,148.4199981689453
2019-01-24,150.14999389648438
2019-01-25,151.85000610351562
2019-01-28,152.24000549316406
2019-01-29,152.02000427246094
2019-01-30,154.08999633789062
2019-01-31,153.5500030517578
2019-02-01,154.74000549316406
2019-02-04,156.5500030517578
2019-02-05,157.32000732421875
2019-02-06,157.16000366210938
2019-02-07,155.17999267578125
2019-02-08,155.58999633789062
2019-02-11,155.32000732421875
2019-02-12,156.6300048828125
2019-02-13,158.02999877929688
2019-02-14,157.85000610351562
2019-02-15,159.22999572753906
2019-02-19,159.47999572753906
2019-02-20,159.7100067138672
2019-02-21,159.52999877929688
2019-02-22,161.5
2019-02-25,161.6699981689453
2019-02-26,161.33999633789062
2019-02-27,160.6300048828125
2019-02-28,161.3800048828125
2019-03-01,164.1999969482422
2019-03-04,162.82000732421875
2019-03-05,163.6699981689453
2019-03-06,162.38999938964844
2019-03-07,161.85000610351562
2019-03-08,161.69000244140625
2019-03-11,163.94000244140625
2019-03-12,163.99000549316406
2019-03-13,164.11000061035156
2019-03-14,164.82000732421875
2019-03-15,166.38999938964844
2019-03-18,166.42999267578125
2019-03-19,166.1999969482422
2019-03-20,166.27000427246094
2019-03-21,168.24000549316406
2019-03-22,165.24000549316406
2019-03-25,165.0800018310547
2019-03-26,166.94000244140625
2019-03-27,166.47000122070312
2019-03-28,175.1199951171875
2019-03-29,176.02000427246094
2019-04-01,176.32000732421875
2019-04-02,175.3699951171875
2019-04-03,177.19000244140625
2019-04-04,177.16000366210938
2019-04-05,178.14999389648438
2019-04-08,178.91000366210938
2019-04-09,177.72999572753906
2019-04-10,177.0
2019-04-11,178.36000061035156
2019-04-12,178.63999938964844
2019-04-15,179.3000030517578
2019-04-16,179.05999755859375
2019-04-17,178.9499969482422
2019-04-18,178.61000061035156
2019-04-22,178.07000732421875
2019-04-23,180.47999572753906
2019-04-24,180.80999755859375
2019-04-25,179.9499969482422
2019-04-26,180.8300018310547
2019-04-29,181.2100067138672
2019-04-30,182.6699981689453
2019-05-01,181.30999755859375
2019-05-02,179.38999938964844
2019-05-03,176.97999572753906
2019-05-06,176.25999450683594
2019-05-07,173.94000244140625
2019-05-08,173.82000732421875
2019-05-09,174.4600067138672
2019-05-10,174.3000030517578
2019-05-13,171.02000427246094
2019-05-14,173.61000061035156
2019-05-15,175.39999389648438
2019-05-16,178.1699981689453
2019-05-17,178.3300018310547
2019-05-20,178.5399932861328
2019-05-21,179.57000732421875
2019-05-22,180.38999938964844
2019-05-23,178.27000427246094
2019-05-24,178.80999755859375
2019-05-28,178.38999938964844
2019-05-29,177.61000061035156
2019-05-30,178.82000732421875
2019-05-31,178.07000732421875
2019-06-03,175.16000366210938
2019-06-04,177.97000122070312
2019-06-05,179.55999755859375
2019-06-06,180.39999389648438
2019-06-07,182.9199981689453
2019-06-10,184.44000244140625
2019-06-11,183.3699951171875
2019-06-12,184.58999633789062
2019-06-13,184.9499969482422
2019-06-14,184.97000122070312
2019-06-17,183.89999389648438
2019-06-18,184.5
2019-06-19,183.9499969482422
2019-06-20,186.52000427246094
2019-06-21,185.55999755859375
2019-06-24,186.11000061035156
2019-06-25,184.89999389648438
2019-06-26,183.30999755859375
2019-06-27,183.0
2019-06-28,184.77000427246094
2019-07-01,186.8699951171875
2019-07-02,188.60000610351562
2019-07-03,190.97000122070312
2019-07-05,191.38999938964844
