Date,COR
2024-04-23,237.69000244140625
2024-04-24,237.9499969482422
2024-04-25,239.75999450683594
2024-04-26,240.8800048828125
2024-04-29,239.92999267578125
2024-04-30,239.0500030517578
2024-05-01,229.1999969482422
2024-05-02,224.74000549316406
2024-05-03,223.9499969482422
2024-05-06,224.0399932861328
2024-05-07,226.74000549316406
2024-05-08,224.11000061035156
2024-05-09,224.08999633789062
2024-05-10,224.60000610351562
2024-05-13,222.9199981689453
2024-05-14,221.94000244140625
2024-05-15,221.80999755859375
2024-05-16,221.85000610351562
2024-05-17,222.1199951171875
2024-05-20,221.0
2024-05-21,217.0800018310547
2024-05-22,216.75
2024-05-23,219.82000732421875
2024-05-24,218.88999938964844
2024-05-28,216.2100067138672
2024-05-29,219.05999755859375
2024-05-30,220.52999877929688
2024-05-31,226.57000732421875
2024-06-03,230.50999450683594
2024-06-04,230.6699981689453
2024-06-05,231.77000427246094
2024-06-06,236.6699981689453
2024-06-07,235.47000122070312
2024-06-10,234.57000732421875
2024-06-11,232.6199951171875
2024-06-12,230.13999938964844
2024-06-13,232.22999572753906
2024-06-14,232.52999877929688
2024-06-17,234.6999969482422
2024-06-18,237.1999969482422
2024-06-20,235.67999267578125
2024-06-21,236.67999267578125
2024-06-24,239.36000061035156
2024-06-25,238.3300018310547
2024-06-26,237.27999877929688
2024-06-27,227.9600067138672
2024-06-28,225.3000030517578
2024-07-01,223.52999877929688
2024-07-02,222.50999450683594
2024-07-03,222.5
2024-07-05,222.67999267578125
2024-07-08,223.69000244140625
2024-07-09,222.3699951171875
2024-07-10,222.4199981689453
2024-07-11,222.0
2024-07-12,222.60000610351562
2024-07-15,222.1999969482422
2024-07-16,225.3800048828125
2024-07-17,225.16000366210938
2024-07-18,223.7100067138672
2024-07-19,223.60000610351562
2024-07-22,224.72000122070312
2024-07-23,224.25999450683594
2024-07-24,225.97999572753906
2024-07-25,227.11000061035156
2024-07-26,227.6199951171875
2024-07-29,227.17999267578125
2024-07-30,231.02999877929688
2024-07-31,237.8800048828125
2024-08-01,244.4600067138672
2024-08-02,247.57000732421875
2024-08-05,241.25
2024-08-06,239.82000732421875
2024-08-07,241.10000610351562
2024-08-08,237.0
2024-08-09,237.77000427246094
2024-08-12,237.77000427246094
2024-08-13,236.30999755859375
2024-08-14,237.75
2024-08-15,236.6699981689453
2024-08-16,238.11000061035156
2024-08-19,238.85000610351562
2024-08-20,238.41000366210938
2024-08-21,239.33999633789062
2024-08-22,240.58999633789062
2024-08-23,237.74000549316406
2024-08-26,234.44000244140625
2024-08-27,233.5
2024-08-28,236.4499969482422
2024-08-29,237.60000610351562
2024-08-30,239.57000732421875
2024-09-03,243.72000122070312
2024-09-04,243.39999389648438
2024-09-05,236.24000549316406
2024-09-06,234.97000122070312
2024-09-09,236.52999877929688
2024-09-10,237.52999877929688
2024-09-11,236.22000122070312
2024-09-12,237.64999389648438
2024-09-13,239.8800048828125
2024-09-16,241.24000549316406
2024-09-17,234.52999877929688
2024-09-18,228.47999572753906
2024-09-19,226.55999755859375
2024-09-20,228.11000061035156
2024-09-23,228.3300018310547
2024-09-24,225.35000610351562
2024-09-25,223.42999267578125
2024-09-26,223.8800048828125
2024-09-27,224.9199981689453
2024-09-30,225.0800018310547
2024-10-01,224.22999572753906
2024-10-02,221.63999938964844
2024-10-03,220.9600067138672
2024-10-04,219.94000244140625
2024-10-07,219.5
2024-10-08,220.80999755859375
2024-10-09,221.16000366210938
2024-10-10,222.1999969482422
2024-10-11,222.55999755859375
2024-10-14,224.80999755859375
2024-10-15,233.1199951171875
2024-10-16,236.57000732421875
2024-10-17,235.63999938964844
2024-10-18,237.42999267578125
2024-10-21,236.5399932861328
2024-10-22,234.1699981689453
2024-10-23,234.52000427246094
2024-10-24,235.16000366210938
2024-10-25,234.47000122070312
2024-10-28,233.57000732421875
2024-10-29,231.77000427246094
2024-10-30,229.47999572753906
2024-10-31,228.0800018310547
2024-11-01,234.27000427246094
2024-11-04,233.88999938964844
2024-11-05,233.99000549316406
2024-11-06,245.3800048828125
2024-11-07,247.75999450683594
2024-11-08,248.41000366210938
2024-11-11,249.08999633789062
2024-11-12,248.7899932861328
2024-11-13,249.97000122070312
2024-11-14,243.41000366210938
2024-11-15,240.24000549316406
2024-11-18,242.8699951171875
2024-11-19,240.97999572753906
2024-11-20,243.1999969482422
2024-11-21,245.69000244140625
2024-11-22,245.02000427246094
2024-11-25,244.22999572753906
2024-11-26,248.4499969482422
2024-11-27,249.69000244140625
2024-11-29,251.5500030517578
2024-12-02,249.8699951171875
2024-12-03,250.0500030517578
2024-12-04,248.33999633789062
2024-12-05,244.30999755859375
2024-12-06,243.41000366210938
2024-12-09,240.50999450683594
2024-12-10,237.00999450683594
2024-12-11,231.88999938964844
2024-12-12,232.1199951171875
2024-12-13,232.24000549316406
2024-12-16,229.82000732421875
2024-12-17,227.63999938964844
2024-12-18,226.99000549316406
2024-12-19,226.27000427246094
2024-12-20,227.69000244140625
2024-12-23,227.63999938964844
2024-12-24,227.5399932861328
2024-12-26,226.58999633789062
2024-12-27,226.92999267578125
2024-12-30,224.7100067138672
2024-12-31,224.67999267578125
2025-01-02,224.74000549316406
2025-01-03,229.1999969482422
2025-01-06,228.8800048828125
2025-01-07,234.24000549316406
2025-01-08,237.8300018310547
2025-01-10,236.19000244140625
2025-01-13,236.08999633789062
2025-01-14,240.0500030517578
2025-01-15,237.6699981689453
2025-01-16,240.88999938964844
2025-01-17,242.0500030517578
2025-01-21,245.07000732421875
2025-01-22,246.9600067138672
2025-01-23,247.94000244140625
2025-01-24,248.47999572753906
2025-01-27,254.88999938964844
2025-01-28,255.10000610351562
2025-01-29,255.94000244140625
2025-01-30,258.4599914550781
2025-01-31,254.2100067138672
2025-02-03,254.42999267578125
2025-02-04,251.57000732421875
2025-02-05,253.27999877929688
2025-02-06,246.1300048828125
2025-02-07,247.8800048828125
2025-02-10,246.3800048828125
2025-02-11,246.75
2025-02-12,243.58999633789062
2025-02-13,244.52999877929688
2025-02-14,242.6300048828125
2025-02-18,241.44000244140625
2025-02-19,245.4199981689453
2025-02-20,243.4600067138672
2025-02-21,241.42999267578125
2025-02-24,244.24000549316406
2025-02-25,250.52999877929688
2025-02-26,250.64999389648438
2025-02-27,249.00999450683594
2025-02-28,253.5399932861328
2025-03-03,255.3800048828125
2025-03-04,253.27999877929688
2025-03-05,251.52999877929688
2025-03-06,253.77000427246094
2025-03-07,254.5800018310547
2025-03-10,261.55999755859375
2025-03-11,260.6700134277344
2025-03-12,254.0
2025-03-13,256.010009765625
2025-03-14,258.07000732421875
2025-03-17,260.9599914550781
2025-03-18,264.1400146484375
2025-03-19,265.80999755859375
2025-03-20,267.8399963378906
2025-03-21,267.42999267578125
2025-03-24,267.5
2025-03-25,268.4800109863281
2025-03-26,271.3900146484375
2025-03-27,273.9700012207031
2025-03-28,275.2099914550781
2025-03-31,278.0899963378906
2025-04-01,277.4100036621094
2025-04-02,279.510009765625
2025-04-03,289.3599853515625
2025-04-04,278.3900146484375
2025-04-07,274.55999755859375
2025-04-08,274.7300109863281
2025-04-09,273.8900146484375
2025-04-10,279.1499938964844
2025-04-11,284.3299865722656
2025-04-14,284.2900085449219
2025-04-15,284.5400085449219
2025-04-16,284.44000244140625
2025-04-17,286.739990234375
2025-04-21,281.1600036621094
2025-04-22,286.2699890136719
2025-04-23,284.7099914550781
2025-04-24,282.3900146484375
2025-04-25,285.8999938964844
2025-04-28,287.75
2025-04-29,290.1700134277344
2025-04-30,292.6700134277344
2025-05-01,290.42999267578125
2025-05-02,292.1199951171875
2025-05-05,291.9700012207031
2025-05-06,290.80999755859375
2025-05-07,304.5799865722656
2025-05-08,283.7699890136719
2025-05-09,283.0
2025-05-12,278.3800048828125
2025-05-13,279.0
2025-05-14,279.1499938964844
2025-05-15,285.9700012207031
2025-05-16,290.2200012207031
2025-05-19,292.6300048828125
2025-05-20,292.92999267578125
2025-05-21,291.3599853515625
2025-05-22,290.1099853515625
2025-05-23,292.3500061035156
2025-05-27,293.3900146484375
