Date,SLG
2017-01-06,117.3091812133789
2017-01-09,114.0709457397461
2017-01-10,112.59515380859375
2017-01-11,111.53343963623047
2017-01-12,112.72256469726562
2017-01-13,113.03046417236328
2017-01-17,114.6761245727539
2017-01-18,115.58920288085938
2017-01-19,113.95415496826172
2017-01-20,114.77167510986328
2017-01-23,116.37487030029297
2017-01-24,116.13067626953125
2017-01-25,115.44055938720703
2017-01-26,116.81017303466797
2017-01-27,116.3642578125
2017-01-30,115.76969146728516
2017-01-31,115.69537353515625
2017-02-01,113.49761962890625
2017-02-02,115.18574523925781
2017-02-03,115.59981536865234
2017-02-06,115.20698547363281
2017-02-07,114.01786041259766
2017-02-08,115.16451263427734
2017-02-09,115.71660614013672
2017-02-10,116.56597900390625
2017-02-13,117.11807250976562
2017-02-14,117.89312744140625
2017-02-15,118.0205307006836
2017-02-16,117.54276275634766
2017-02-17,118.14794158935547
2017-02-21,119.25212860107422
2017-02-22,119.3582992553711
2017-02-23,118.94422912597656
2017-02-24,118.6363296508789
2017-02-27,119.67681121826172
2017-02-28,119.63434600830078
2017-03-01,120.7703857421875
2017-03-02,118.38151550292969
2017-03-03,119.22027587890625
2017-03-06,119.7829818725586
2017-03-07,119.03977966308594
2017-03-08,117.61708068847656
2017-03-09,115.56796264648438
2017-03-10,113.2640380859375
2017-03-13,113.00922393798828
2017-03-14,112.23416900634766
2017-03-15,115.51487731933594
2017-03-16,114.88846588134766
2017-03-17,116.05635833740234
2017-03-20,115.61043548583984
2017-03-21,113.3595962524414
2017-03-22,112.23416900634766
2017-03-23,114.19834899902344
2017-03-24,113.38082885742188
2017-03-27,112.0324478149414
2017-03-28,112.01121520996094
2017-03-29,111.07689666748047
2017-03-30,111.65023040771484
2017-03-31,113.20033264160156
2017-04-03,113.41268157958984
2017-04-04,113.98600769042969
2017-04-05,113.86921691894531
2017-04-06,115.29191589355469
2017-04-07,114.25143432617188
2017-04-10,115.18574523925781
2017-04-11,115.78031158447266
2017-04-12,115.63166809082031
2017-04-13,114.5062484741211
2017-04-17,116.50227355957031
2017-04-18,115.28130340576172
2017-04-19,114.62303924560547
2017-04-20,113.45514678955078
2017-04-21,114.31513977050781
2017-04-24,113.67810821533203
2017-04-25,114.9415512084961
2017-04-26,112.57392120361328
2017-04-27,111.61837768554688
2017-04-28,111.40603637695312
2017-05-01,112.11738586425781
2017-05-02,112.76502990722656
2017-05-03,111.65023040771484
2017-05-04,111.33171081542969
2017-05-05,112.0218276977539
2017-05-08,111.20430755615234
2017-05-09,109.88777923583984
2017-05-10,110.66282653808594
2017-05-11,109.85592651367188
2017-05-12,109.03839874267578
2017-05-15,109.05963897705078
2017-05-16,108.55001068115234
2017-05-17,108.31643676757812
2017-05-18,108.14656066894531
2017-05-19,108.56063079833984
2017-05-22,108.82605743408203
2017-05-23,109.26136016845703
2017-05-24,108.47569274902344
2017-05-25,108.99593353271484
2017-05-26,108.12532806396484
2017-05-30,107.46705627441406
2017-05-31,107.26533508300781
2017-06-01,109.04901885986328
2017-06-02,109.68605041503906
2017-06-05,109.53740692138672
2017-06-06,107.94483184814453
2017-06-07,108.64556884765625
2017-06-08,109.94086456298828
2017-06-09,112.7331771850586
2017-06-12,115.01587677001953
2017-06-13,113.7842788696289
2017-06-14,112.79688262939453
2017-06-15,112.61639404296875
2017-06-16,112.25540924072266
2017-06-19,111.62899017333984
2017-06-20,111.82010650634766
2017-06-21,113.09416198730469
2017-06-22,112.86058807373047
2017-06-23,113.3595962524414
2017-06-26,113.31712341308594
2017-06-27,112.51021575927734
2017-06-28,112.24478912353516
2017-06-29,112.24478912353516
2017-06-30,112.32972717285156
2017-07-03,114.1558837890625
2017-07-05,112.4571304321289
2017-07-06,109.09149169921875
2017-07-07,108.75173950195312
2017-07-10,106.93620300292969
2017-07-11,105.58782196044922
2017-07-12,106.93620300292969
2017-07-13,109.90901184082031
2017-07-14,111.16183471679688
2017-07-17,111.35294342041016
2017-07-18,109.71790313720703
2017-07-19,111.38479614257812
2017-07-20,107.38212585449219
2017-07-21,108.22087860107422
2017-07-24,108.29519653320312
2017-07-25,108.31643676757812
2017-07-26,108.12532806396484
2017-07-27,109.15518951416016
2017-07-28,109.62234497070312
2017-07-31,109.6435775756836
2017-08-01,110.48233795166016
2017-08-02,109.18704223632812
2017-08-03,108.58186340332031
2017-08-04,108.92161560058594
2017-08-07,108.60309600830078
2017-08-08,108.13594055175781
2017-08-09,107.9766845703125
2017-08-10,106.20361328125
2017-08-11,105.11004638671875
2017-08-14,106.5645980834961
2017-08-15,105.60905456542969
2017-08-16,105.3223876953125
2017-08-17,103.68734741210938
2017-08-18,102.42390441894531
2017-08-21,103.4856185913086
2017-08-22,102.96537780761719
2017-08-23,104.18635559082031
2017-08-24,103.09278106689453
2017-08-25,103.88906860351562
2017-08-28,102.80612182617188
2017-08-29,102.09477233886719
2017-08-30,103.0396957397461
2017-08-31,102.3283462524414
2017-09-01,103.10340118408203
2017-09-05,101.63822937011719
2017-09-06,102.49822235107422
2017-09-07,102.28588104248047
2017-09-08,101.34095001220703
2017-09-11,102.56192779541016
2017-09-12,102.10538482666016
2017-09-13,102.05229949951172
2017-09-14,103.87845611572266
2017-09-15,104.51548767089844
2017-09-18,104.23944091796875
2017-09-19,102.28588104248047
2017-09-20,103.75104522705078
2017-09-21,107.37150573730469
2017-09-22,106.88311767578125
2017-09-25,107.9766845703125
2017-09-26,109.42062377929688
2017-09-27,107.49890899658203
2017-09-28,106.97866821289062
2017-09-29,107.57323455810547
