Date,AVB
2020-03-03,208.72999572753906
2020-03-04,217.72000122070312
2020-03-05,213.30999755859375
2020-03-06,209.05999755859375
2020-03-09,197.1699981689453
2020-03-10,208.83999633789062
2020-03-11,195.85000610351562
2020-03-12,181.97999572753906
2020-03-13,193.16000366210938
2020-03-16,163.47000122070312
2020-03-17,181.58999633789062
2020-03-18,153.8800048828125
2020-03-19,146.57000732421875
2020-03-20,131.6199951171875
2020-03-23,121.08000183105469
2020-03-24,127.45999908447266
2020-03-25,140.77999877929688
2020-03-26,151.05999755859375
2020-03-27,160.27000427246094
2020-03-30,152.10000610351562
2020-03-31,147.1699981689453
2020-04-01,138.02000427246094
2020-04-02,135.33999633789062
2020-04-03,132.22000122070312
2020-04-06,145.07000732421875
2020-04-07,147.35000610351562
2020-04-08,160.72999572753906
2020-04-09,167.36000061035156
2020-04-13,161.41000366210938
2020-04-14,167.02999877929688
2020-04-15,161.0800018310547
2020-04-16,161.25
2020-04-17,170.3699951171875
2020-04-20,160.50999450683594
2020-04-21,158.25
2020-04-22,159.83999633789062
2020-04-23,157.4499969482422
2020-04-24,158.3800048828125
2020-04-27,160.75
2020-04-28,162.47000122070312
2020-04-29,165.80999755859375
2020-04-30,162.9499969482422
2020-05-01,158.44000244140625
2020-05-04,158.16000366210938
2020-05-05,159.33999633789062
2020-05-06,156.8000030517578
2020-05-07,160.44000244140625
2020-05-08,163.9600067138672
2020-05-11,157.24000549316406
2020-05-12,151.5
2020-05-13,151.05999755859375
2020-05-14,151.86000061035156
2020-05-15,150.35000610351562
2020-05-18,158.47999572753906
2020-05-19,154.64999389648438
2020-05-20,155.8300018310547
2020-05-21,154.17999267578125
2020-05-22,153.6699981689453
2020-05-26,160.41000366210938
2020-05-27,158.89999389648438
2020-05-28,159.02999877929688
2020-05-29,156.00999450683594
2020-06-01,160.4199981689453
2020-06-02,158.77000427246094
2020-06-03,162.0
2020-06-04,158.8699951171875
2020-06-05,172.69000244140625
2020-06-08,178.07000732421875
2020-06-09,174.22000122070312
2020-06-10,171.35000610351562
2020-06-11,161.8699951171875
2020-06-12,163.75
2020-06-15,160.7100067138672
2020-06-16,167.3300018310547
2020-06-17,162.74000549316406
2020-06-18,160.30999755859375
2020-06-19,155.08999633789062
2020-06-22,156.22999572753906
2020-06-23,155.30999755859375
2020-06-24,151.57000732421875
2020-06-25,153.3699951171875
2020-06-26,151.3800048828125
2020-06-29,153.0
2020-06-30,154.63999938964844
2020-07-01,159.0500030517578
2020-07-02,159.9199981689453
2020-07-06,159.49000549316406
2020-07-07,154.72000122070312
2020-07-08,153.3000030517578
2020-07-09,151.63999938964844
2020-07-10,152.74000549316406
2020-07-13,152.13999938964844
2020-07-14,154.39999389648438
2020-07-15,154.5399932861328
2020-07-16,154.3699951171875
2020-07-17,153.88999938964844
2020-07-20,149.55999755859375
2020-07-21,147.47999572753906
2020-07-22,150.41000366210938
2020-07-23,148.14999389648438
2020-07-24,146.85000610351562
2020-07-27,145.72000122070312
2020-07-28,150.24000549316406
2020-07-29,151.5800018310547
2020-07-30,151.1999969482422
2020-07-31,153.1199951171875
2020-08-03,149.92999267578125
2020-08-04,151.6999969482422
2020-08-05,150.92999267578125
2020-08-06,150.97000122070312
2020-08-07,153.86000061035156
2020-08-10,153.8000030517578
2020-08-11,151.74000549316406
2020-08-12,152.91000366210938
2020-08-13,150.6999969482422
2020-08-14,153.0500030517578
2020-08-17,155.3699951171875
2020-08-18,154.6699981689453
2020-08-19,152.14999389648438
2020-08-20,153.6999969482422
2020-08-21,152.41000366210938
2020-08-24,155.77999877929688
2020-08-25,155.52000427246094
