Date,TYL
2022-04-14,404.8299865722656
2022-04-18,397.1000061035156
2022-04-19,410.7900085449219
2022-04-20,406.54998779296875
2022-04-21,396.8500061035156
2022-04-22,385.3999938964844
2022-04-25,396.45001220703125
2022-04-26,375.0400085449219
2022-04-27,370.5
2022-04-28,403.6600036621094
2022-04-29,394.7099914550781
2022-05-02,394.6099853515625
2022-05-03,387.29998779296875
2022-05-04,393.489990234375
2022-05-05,380.2099914550781
2022-05-06,363.9100036621094
2022-05-09,354.20001220703125
2022-05-10,354.6600036621094
2022-05-11,340.4800109863281
2022-05-12,345.20001220703125
2022-05-13,358.3599853515625
2022-05-16,345.4200134277344
2022-05-17,347.07000732421875
2022-05-18,331.1300048828125
2022-05-19,340.2900085449219
2022-05-20,341.7300109863281
2022-05-23,343.3699951171875
2022-05-24,333.8800048828125
2022-05-25,342.2099914550781
2022-05-26,351.3900146484375
2022-05-27,362.4800109863281
2022-05-31,355.82000732421875
2022-06-01,345.8699951171875
2022-06-02,361.0899963378906
2022-06-03,356.8500061035156
2022-06-06,356.4200134277344
2022-06-07,363.5799865722656
2022-06-08,363.45001220703125
2022-06-09,351.6099853515625
2022-06-10,337.5199890136719
2022-06-13,315.9200134277344
2022-06-14,310.5799865722656
2022-06-15,318.2699890136719
2022-06-16,303.3900146484375
2022-06-17,310.70001220703125
2022-06-21,311.8299865722656
2022-06-22,315.1099853515625
2022-06-23,327.260009765625
2022-06-24,345.3299865722656
2022-06-27,341.70001220703125
2022-06-28,334.20001220703125
2022-06-29,335.3299865722656
2022-06-30,332.4800109863281
2022-07-01,333.8800048828125
2022-07-05,340.1300048828125
2022-07-06,338.6700134277344
2022-07-07,347.1300048828125
2022-07-08,346.489990234375
2022-07-11,340.8299865722656
2022-07-12,324.19000244140625
2022-07-13,320.8299865722656
2022-07-14,328.45001220703125
2022-07-15,339.1199951171875
2022-07-18,340.17999267578125
2022-07-19,353.79998779296875
2022-07-20,365.9599914550781
2022-07-21,370.9700012207031
2022-07-22,367.30999755859375
2022-07-25,365.510009765625
2022-07-26,358.8699951171875
2022-07-27,374.3399963378906
2022-07-28,398.3500061035156
2022-07-29,399.0
2022-08-01,401.2799987792969
2022-08-02,401.2699890136719
2022-08-03,411.739990234375
2022-08-04,415.19000244140625
2022-08-05,418.9200134277344
2022-08-08,414.07000732421875
2022-08-09,406.4700012207031
2022-08-10,415.55999755859375
2022-08-11,407.2200012207031
2022-08-12,409.3399963378906
2022-08-15,415.42999267578125
2022-08-16,410.8500061035156
2022-08-17,404.45001220703125
2022-08-18,405.80999755859375
2022-08-19,397.29998779296875
2022-08-22,389.8500061035156
2022-08-23,387.2799987792969
2022-08-24,387.3299865722656
2022-08-25,394.75
2022-08-26,378.260009765625
2022-08-29,375.9599914550781
2022-08-30,373.8999938964844
2022-08-31,371.510009765625
2022-09-01,366.989990234375
2022-09-02,363.6700134277344
2022-09-06,363.5899963378906
2022-09-07,373.7099914550781
2022-09-08,380.239990234375
2022-09-09,385.19000244140625
2022-09-12,386.8599853515625
2022-09-13,364.55999755859375
2022-09-14,368.5400085449219
2022-09-15,362.760009765625
2022-09-16,360.9800109863281
2022-09-19,362.20001220703125
2022-09-20,353.8599853515625
2022-09-21,351.29998779296875
2022-09-22,342.489990234375
2022-09-23,341.1199951171875
2022-09-26,342.75
2022-09-27,341.75
