Date,MAS
2019-10-17,43.63999938964844
2019-10-18,43.849998474121094
2019-10-21,44.119998931884766
2019-10-22,44.27000045776367
2019-10-23,44.0099983215332
2019-10-24,44.16999816894531
2019-10-25,44.619998931884766
2019-10-28,44.560001373291016
2019-10-29,44.650001525878906
2019-10-30,46.220001220703125
2019-10-31,46.25
2019-11-01,46.65999984741211
2019-11-04,46.16999816894531
2019-11-05,46.560001373291016
2019-11-06,46.11000061035156
2019-11-07,46.22999954223633
2019-11-08,46.29999923706055
2019-11-11,46.150001525878906
2019-11-12,46.63999938964844
2019-11-13,46.66999816894531
2019-11-14,46.08000183105469
2019-11-15,45.630001068115234
2019-11-18,45.709999084472656
2019-11-19,45.61000061035156
2019-11-20,45.7599983215332
2019-11-21,46.119998931884766
2019-11-22,46.060001373291016
2019-11-25,46.41999816894531
2019-11-26,47.119998931884766
2019-11-27,47.130001068115234
2019-11-29,46.54999923706055
2019-12-02,45.86000061035156
2019-12-03,45.099998474121094
2019-12-04,45.56999969482422
2019-12-05,46.0099983215332
2019-12-06,46.36000061035156
2019-12-09,45.97999954223633
2019-12-10,45.84000015258789
2019-12-11,46.41999816894531
2019-12-12,47.41999816894531
2019-12-13,47.0099983215332
2019-12-16,47.099998474121094
2019-12-17,47.45000076293945
2019-12-18,47.540000915527344
2019-12-19,47.16999816894531
2019-12-20,47.869998931884766
2019-12-23,47.81999969482422
2019-12-24,47.9900016784668
2019-12-26,48.16999816894531
2019-12-27,48.130001068115234
2019-12-30,48.09000015258789
2019-12-31,47.9900016784668
2020-01-02,48.27000045776367
2020-01-03,47.900001525878906
2020-01-06,47.529998779296875
2020-01-07,47.08000183105469
2020-01-08,47.459999084472656
2020-01-09,47.41999816894531
2020-01-10,47.279998779296875
2020-01-13,47.7599983215332
2020-01-14,47.560001373291016
2020-01-15,48.0099983215332
2020-01-16,48.900001525878906
2020-01-17,49.09000015258789
2020-01-21,49.31999969482422
2020-01-22,49.290000915527344
2020-01-23,49.40999984741211
2020-01-24,48.54999923706055
2020-01-27,47.959999084472656
2020-01-28,48.72999954223633
2020-01-29,48.0
2020-01-30,48.689998626708984
2020-01-31,47.52000045776367
2020-02-03,48.20000076293945
2020-02-04,49.09000015258789
2020-02-05,49.900001525878906
2020-02-06,49.529998779296875
2020-02-07,48.810001373291016
2020-02-10,49.650001525878906
2020-02-11,47.529998779296875
2020-02-12,47.060001373291016
2020-02-13,46.4900016784668
2020-02-14,45.61000061035156
2020-02-18,45.54999923706055
2020-02-19,45.029998779296875
2020-02-20,45.400001525878906
2020-02-21,45.18000030517578
2020-02-24,45.099998474121094
2020-02-25,44.29999923706055
2020-02-26,44.33000183105469
2020-02-27,43.099998474121094
2020-02-28,41.31999969482422
2020-03-02,43.349998474121094
2020-03-03,43.16999816894531
2020-03-04,45.189998626708984
2020-03-05,43.939998626708984
2020-03-06,42.099998474121094
2020-03-09,39.040000915527344
2020-03-10,40.81999969482422
2020-03-11,39.529998779296875
2020-03-12,37.380001068115234
2020-03-13,39.790000915527344
2020-03-16,35.13999938964844
2020-03-17,36.38999938964844
2020-03-18,33.61000061035156
2020-03-19,32.58000183105469
2020-03-20,29.469999313354492
2020-03-23,27.530000686645508
2020-03-24,31.6200008392334
2020-03-25,34.119998931884766
2020-03-26,35.70000076293945
2020-03-27,34.650001525878906
2020-03-30,35.27000045776367
2020-03-31,34.56999969482422
2020-04-01,33.20000076293945
2020-04-02,33.0099983215332
2020-04-03,32.40999984741211
2020-04-06,35.380001068115234
2020-04-07,37.40999984741211
2020-04-08,39.540000915527344
2020-04-09,40.369998931884766
2020-04-13,39.40999984741211
2020-04-14,39.709999084472656
2020-04-15,38.22999954223633
2020-04-16,39.09000015258789
2020-04-17,39.9900016784668
2020-04-20,39.04999923706055
2020-04-21,38.459999084472656
2020-04-22,39.25
2020-04-23,39.68000030517578
2020-04-24,40.04999923706055
2020-04-27,41.529998779296875
2020-04-28,41.720001220703125
2020-04-29,41.5
2020-04-30,41.040000915527344
2020-05-01,40.040000915527344
2020-05-04,39.84000015258789
2020-05-05,40.81999969482422
2020-05-06,41.290000915527344
2020-05-07,41.54999923706055
2020-05-08,42.13999938964844
2020-05-11,41.540000915527344
2020-05-12,40.150001525878906
2020-05-13,39.86000061035156
2020-05-14,41.38999938964844
2020-05-15,42.720001220703125
2020-05-18,44.43000030517578
2020-05-19,45.15999984741211
2020-05-20,45.91999816894531
